{'CALIB_RAW_DAC_START_I': 98304, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 4, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-1C2E18,-1C2AB9,-1C2B04
-1AB155,-1AB147,-1AB304
-1C2B0B,-1C2E29,-1C2D41
-1AB208,-1AB1A3,-1AB25F
-1C2AD8,-1C2BC9,-1C2B54
-1AB1C7,-1AB412,-1AB279
-1C2D30,-1C2C80,-1C2B18
-1AB2D1,-1AB105,-1AB0B2
-1C2CF7,-1C2C3D,-1C2C7A
-1AB2C2,-1AB0A6,-1AB18B
-1C2D3F,-1C2E14,-1C2D5C
-1AB159,-1AB32A,-1AB2A8
-1C2C50,-1C2BD2,-1C2EDB
-1AB3E6,-1AB2EF,-1AB2B2
-1C2C5A,-1C2D2F,-1C2C37
-1AB303,-1AB24F,-1AB22D
-1C2B97,-1C2BB6,-1C2C7C
-1AB363,-1AB413,-1AB42F
-1C2C13,-1C2D91,-1C2E41
-1AB39E,-1AB507,-1AB54C
-1C2F15,-1C2E41,-1C2DE8
-1AB51E,-1AB3FF,-1AB3EE
-1C2D6C,-1C2CD3,-1C2DC0
-1AB40A,-1AB2BE,-1AB3B0
-1C2D35,-1C2D35,-1C2D3A
-1AB519,-1AB3BA,-1AB4E7
-1C2F42,-1C2E57,-1C2F3D
-1AB563,-1AB623,-1AB370
-1C2E76,-1C2D41,-1C2ED6
-1AB510,-1AB56A,-1AB3D0
-1C3036,-1C2EFA,-1C2F65
-1AB4DE,-1AB54E,-1AB2C8
-1C2C0B,-1C2CDB,-1C2BAB
-1AB1A2,-1AB290,-1AB2C3
-1C2B49,-1C2C9C,-1C2D8C
-1AB285,-1AB2C3,-1AB224
-1C2EBE,-1C2E44,-1C2D6A
-1AB22C,-1AB421,-1AB310
-1C2CCE,-1C2D7D,-1C2D6F
-1AB3BD,-1AB1E5,-1AB2B5
-1C2D07,-1C2C5C,-1C2C21
-1AB478,-1AB37B,-1AB49E
-1C2C61,-1C2DB4,-1C2E32
-1AB378,-1AB39C,-1AB4B8
-1C2D98,-1C2EC9,-1C2C94
-1AB2E3,-1AB4B9,-1AB5DF
-1C2ED4,-1C2F0C,-1C2EA9
-1AB35C,-1AB69E,-1AB36F
-1C2F5D,-1C3099,-1C2F63
-1AB447,-1AB2FF,-1AB40D
-1C3035,-1C2E79,-1C2D94
-1AB344,-1AB525,-1AB3E2
-1C2DAD,-1C2F50,-1C2FCA
-1AB556,-1AB505,-1AB59D
-1C2F3B,-1C2F25,-1C2E0C
-1AB500,-1AB464,-1AB53B
-1C2F41,-1C2E12,-1C2E0B
-1AB571,-1AB3CE,-1AB6D7
-1C30FA,-1C2FB2,-1C30D3
-1AB543,-1AB49A,-1AB4A7
-1C30B8,-1C31B1,-1C3003
-1AB556,-1AB54D,-1AB428
-1C2F8E,-1C2FBD,-1C2F89
-1AB5C1,-1AB4AD,-1AB4B8
-1C3060,-1C31FA,-1C3155
-1AB889,-1AB86D,-1AB76B
-1C326A,-1C3363,-1C32C6
-1AB6E6,-1AB749,-1AB89D
-1C3364,-1C33F9,-1C335D
-1AB88C,-1AB83C,-1AB847
-1C31C9,-1C3329,-1C3322
-1ABA31,-1AB840,-1AB8B0
-1C32BA,-1C344A,-1C3471
-1AB969,-1AB84F,-1ABAA8
-1C330A,-1C34EB,-1C32D1
-1AB8F5,-1AB9F5,-1ABA72
-1C35BF,-1C33CD,-1C322F
-1ABA90,-1AB7DE,-1AB93B
-1C3370,-1C356B,-1C3362
-1AB949,-1AB92A,-1ABA9D
-1C3390,-1C327E,-1C33CA
-1AB8CE,-1AB903,-1ABA13
-1C3367,-1C3420,-1C3276
-1AB96C,-1ABA88,-1ABA08
-1C35AE,-1C33CE,-1C3678
-1ABA84,-1AB99C,-1ABA80
-1C349E,-1C3523,-1C334E
-1AB942,-1ABC00,-1AB962
-1C33C4,-1C3397,-1C33FE
-1ABB77,-1ABA73,-1AB9B2
-1C330D,-1C3362,-1C3480
-1ABA65,-1AB9F2,-1ABAF4
-1C33F2,-1C357B,-1C3520
-1ABA62,-1AB93F,-1AB9CA
-1C3351,-1C3379,-1C3374
-1ABA83,-1AB79E,-1AB9A1
-1C324F,-1C324A,-1C307D
-1AB60C,-1AB827,-1AB662
-1C34E0,-1C3359,-1C33B8
-1AB8EB,-1AB7CD,-1AB8B6
-1C32A9,-1C34D6,-1C334B
-1AB9F1,-1AB950,-1AB9D9
-1C332B,-1C3453,-1C3307
-1AB8E8,-1AB82A,-1AB7CD
-1C31C4,-1C3346,-1C3346
-1AB84B,-1AB8EA,-1AB811
-1C338B,-1C3410,-1C31C9
-1ABA1C,-1AB95A,-1AB7CC
-1C330C,-1C33E8,-1C3489
-1AB975,-1AB805,-1AB85C
-1C32FB,-1C3534,-1C328A
-1AB7D8,-1AB78D,-1AB89A
-1C32C2,-1C32E6,-1C33A1
-1AB90F,-1AB918,-1ABAF9
-1C34D6,-1C34FD,-1C32F6
-1AB90E,-1AB9B0,-1AB978
-1C34B0,-1C336F,-1C3313
-1AB99E,-1ABA51,-1AB99F
-1C343D,-1C342A,-1C33A9
-1AB92D,-1AB7FF,-1AB8C6
-1C3542,-1C3551,-1C34ED
-1ABABF,-1ABA1A,-1ABA4A
-1C3472,-1C3500,-1C3438
-1ABB4A,-1ABA43,-1AB991
-1C34C9,-1C34AF,-1C3484
-1ABAB2,-1ABA15,-1AB9B1
-1C34A1,-1C3767,-1C3620
-1AC0CA,-1ABF6F,-1AC04F
-1C3080,-1C3040,-1C3047
-1AB452,-1AB777,-1AB697
-1C2FAB,-1C3030,-1C2FF7
-1AB687,-1AB5C4,-1AB623
-1C2F26,-1C2E65,-1C2F49
-1AB3DF,-1AB3A2,-1AB404
-1C2EE0,-1C2F59,-1C30F1
-1AB51E,-1AB422,-1AB57C
-1C2E78,-1C305F,-1C2E79
-1AB64F,-1AB59D,-1AB617
-1C2FBA,-1C2FEA,-1C329E
-1AB79E,-1AB5BC,-1AB65F
-1C309B,-1C3061,-1C3101
-1AB777,-1AB60A,-1AB5C5
-1C30BD,-1C2FE0,-1C3071
-1AB4EE,-1AB520,-1AB519
-1C30DF,-1C3084,-1C2E7F
-1AB731,-1AB85F,-1AB55C
-1C31AD,-1C31C5,-1C30F9
-1AB648,-1AB682,-1AB4F5
-1C31FA,-1C3296,-1C30ED
-1AB776,-1AB71C,-1AB611
-1C306E,-1C323D,-1C2FC5
-1AB818,-1AB5AE,-1AB4FB
-1C2FE9,-1C3060,-1C2F1B
-1AB723,-1AB5C2,-1AB612
