{'CALIB_RAW_DAC_START_I': 131072, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 4, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-19D989,-19D77A,-19DAC1
-185F6C,-185DF9,-185EBA
-19D97B,-19D990,-19D859
-185FAA,-185F6C,-185EDE
-19D939,-19D960,-19D856
-186027,-185F89,-185EB5
-19D83B,-19DBED,-19DAC5
-185FF7,-185EDD,-186001
-19DA05,-19D9F3,-19D9CE
-185FEB,-185DE5,-185F12
-19DA42,-19DA79,-19D8B7
-185F61,-185F6A,-1860B2
-19DAC3,-19DB7C,-19DB96
-18626B,-185FB0,-1860A7
-19DBF7,-19DA85,-19DAC0
-185F2F,-185F1B,-185F0E
-19DAE9,-19DA75,-19DD82
-186172,-186016,-1860A8
-19DAB9,-19DB1D,-19DAAB
-186038,-1860D5,-185FE4
-19DACF,-19DAF4,-19DAD0
-18605E,-186159,-18610A
-19D9AA,-19DC31,-19DCCD
-1861FB,-18610A,-186237
-19DCBE,-19DC61,-19DBE1
-18628C,-1861C9,-186145
-19DB60,-19DC00,-19DB92
-18606C,-186053,-186111
-19DC76,-19DBAA,-19DBDA
-1862D4,-186293,-186104
-19DBF4,-19DC06,-19DCCB
-1862DC,-1861DB,-186269
-19DB5F,-19D96D,-19DC51
-1860AD,-185F58,-185F8C
-19D9DB,-19D9C2,-19DB2B
-185F15,-185F34,-186057
-19D969,-19DAA7,-19DB6A
-185FA0,-1861ED,-185F85
-19DB7E,-19D9E2,-19D9F8
-1860D6,-186004,-185E42
-19D8A9,-19D958,-19D992
-1860F5,-186201,-186098
-19D95B,-19DC31,-19DC2A
-1860FC,-186024,-186150
-19DA16,-19D9AD,-19DB23
-1860F2,-18603A,-185E7D
-19D913,-19DA4C,-19DC47
-185F2B,-186004,-185F0E
-19DA27,-19DAA3,-19DA14
-186143,-186105,-1861ED
-19DAE6,-19DB3C,-19DB21
-185FB9,-185E55,-185F4D
-19DADA,-19DBAD,-19DC6B
-186297,-186277,-185FAB
-19DB4A,-19DD6C,-19DBEA
-1861EE,-1860BD,-186103
-19DB61,-19DBFD,-19DC17
-1860B3,-186166,-1860FD
-19DB73,-19DC1F,-19DDAD
-186224,-18622A,-186247
-19DC96,-19DD08,-19DD4B
-1861C0,-186014,-1861FC
-19DD16,-19DCCA,-19DAA9
-18632F,-18647D,-186424
-19E0A4,-19DFD9,-19E0AC
-186532,-186497,-186506
-19E049,-19E131,-19DFCE
-186528,-186628,-186581
-19E039,-19E020,-19E0C8
-1864BA,-18649D,-18656E
-19DEEC,-19DFE5,-19E02D
-186631,-186640,-186530
-19DEB4,-19DDD9,-19E053
-1865A4,-1864D0,-1864B7
