{'CALIB_RAW_DAC_START_I': 163840, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 4, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-17A7CC,-17A73F,-17A641
-162D5E,-162C53,-162C21
-17A6DC,-17A62C,-17A660
-162C20,-162C03,-162D06
-17A452,-17A6F2,-17A68B
-162CEC,-162C46,-162E77
-17A78F,-17A767,-17A7CC
-162C83,-162C48,-162D9F
-17A8F7,-17A791,-17A7D2
-163010,-163049,-162CE0
-17A75B,-17A691,-17A874
-162C5E,-162C77,-162D57
-17A9A1,-17A6E6,-17A846
-162DAD,-162E03,-162C4A
-17A881,-17A6BF,-17A7B3
-162CB2,-162CEA,-162DC0
-17A86D,-17A92D,-17A796
-162EB4,-162F5E,-162DA9
-17A8A5,-17A80E,-17A8FB
-162E17,-162EBB,-162D6A
-17A87D,-17A785,-17A985
-162E7A,-162F59,-162F9A
-17A980,-17A929,-17A84B
-162ED5,-162DAA,-162E96
-17A99D,-17AA41,-17AA3C
-162EDB,-162F58,-162FA9
-17A866,-17A783,-17A6E1
-162E10,-162DA2,-162E74
-17A92E,-17A7D2,-17A8D8
-162EEB,-162F08,-162EB9
-17A8A1,-17A8B5,-17A837
-162F54,-162E4E,-162EE6
-17A77F,-17A7A1,-17A77A
-162D3B,-162D32,-162D02
-17A820,-17A73C,-17A6B5
-162D81,-162C6C,-162DC9
-17A874,-17A812,-17A842
-162FA9,-162F0E,-162D8F
-17A7D4,-17A740,-17A995
-162EF4,-162D78,-162E5D
-17A79C,-17A765,-17A90A
-162D8F,-163006,-163050
-17A941,-17A7A3,-17A787
-162D9B,-162CD8,-162E4E
-17A777,-17A7DA,-17A62E
-162EAE,-162E4C,-162E80
-17A9A3,-17A833,-17A948
-162DA3,-162F51,-162D8C
-17A912,-17A810,-17A8A3
-162E87,-162D85,-162F94
-17A8FF,-17A997,-17A98A
-162F48,-162DC8,-162F45
-17A813,-17AA9F,-17A94B
-162FC9,-162CDA,-162CF3
-17A9A3,-17A92B,-17A8B3
-162E0D,-162E5D,-163016
-17A8FD,-17A994,-17A819
-162FA4,-162EB6,-163048
-17AB6E,-17A961,-17A891
-16301F,-1631D2,-162FED
-17AA2E,-17A970,-17A92E
-162E99,-162F28,-162F6A
-17A966,-17A9E6,-17A9A1
-163204,-16307F,-162F7E
-17AC00,-17AC02,-17AB47
-163179,-16320B,-1632C8
-17AE1F,-17ACA3,-17AD40
-16340C,-16328A,-163119
-17AD11,-17AD5B,-17AC1E
-1635A8,-163188,-1632AF
-17AD3A,-17ABC6,-17ACB9
-1632CD,-1634AD,-1630E1
-17ABEE,-17AD54,-17AC6D
-163278,-163258,-163215
-17AC21,-17AD0D,-17ADAF
-163329,-163303,-1632E0
-17AE38,-17AE79,-17AC81
-16321C,-163286,-1631E9
-17AEB9,-17ACB1,-17ACF8
-16323C,-16308E,-1630ED
-17AC57,-17AD35,-17AC34
-163334,-16322C,-163215
-17AD7E,-17AD85,-17ACFF
-163359,-16325C,-163359
-17AC32,-17AE3E,-17AE11
-16347C,-16333A,-1633D0
-17AD38,-17AE57,-17ABD5
-16333D,-1633EB,-1634CC
-17AC6C,-17AEAC,-17AD77
-1633FE,-163423,-1632AD
-17AE6A,-17AC81,-17AC6E
-163392,-16331A,-163403
-17AD0E,-17ACA2,-17ABAD
-1634AB,-1635CD,-16354D
-17AF30,-17AD71,-17AE35
-1632ED,-163316,-16340A
-17AD4C,-17AA81,-17AA51
-16319E,-162FF5,-1631C3
-17AB6A,-17AC1C,-17ABDC
-1631C9,-163033,-163324
-17ABD3,-17AE09,-17AE79
-1632FF,-163353,-16332C
-17AC57,-17AD19,-17AE52
-16338A,-16323B,-163204
-17AE30,-17ACB7,-17AC7A
-16332B,-163313,-163019
-17AEFE,-17ADA3,-17ACE9
-163144,-163274,-16336C
-17AD21,-17AD9E,-17AF16
-16339B,-1632E1,-163461
-17ACB2,-17AC74,-17AE9D
-163379,-163350,-1633F2
-17ADB5,-17AE95,-17ADAE
-1633A3,-16359F,-1633C3
-17AF5A,-17AD2E,-17AF56
-1632BA,-1632E2,-1631DE
-17ABDD,-17AE48,-17AEE8
-1634B8,-163345,-163366
-17AD04,-17AD6F,-17AE21
-163340,-163333,-16333F
-17B0FA,-17ADEC,-17AF7A
-163566,-1633C8,-163486
-17AE5C,-17AFF4,-17B011
-163423,-16349B,-163379
-17ADBC,-17B037,-17AF6A
-163448,-1635B4,-163499
-17AFFB,-17B101,-17AFEE
-163966,-163AFD,-1639E0
-17A921,-17A7DA,-17A951
-162F0C,-162F27,-162DEC
-17A8B4,-17AA1C,-17AB10
-16306A,-163069,-1630FF
-17AA6F,-17A9ED,-17AA8C
-16315B,-1631C2,-162FBD
-17AA20,-17A8BF,-17A926
-162F4D,-162E87,-162EEC
-17A9F3,-17A903,-17A9DE
-163061,-162E30,-162EED
-17AA6E,-17A902,-17A8B2
-163249,-162EB2,-1630E4
-17AB7B,-17ABEA,-17AA58
-1630D1,-162EB5,-162E00
-17AAEB,-17AA61,-17AAA7
-16306E,-162E91,-162F78
-17AA7C,-17AC18,-17AA1A
-1630C9,-16314D,-1630EE
-17A9E2,-17AB47,-17ABFE
-1630C8,-16300B,-163166
-17AA05,-17AA1B,-17AA76
-1631D2,-16312D,-1631B9
-17AB79,-17AACF,-17A9D6
-16303C,-162FFC,-163149
-17AA50,-17ACAC,-17AB5D
-16302D,-1630B9,-162F6E
-17AAAF,-17AB83,-17ABC2
-163101,-1630B8,-163093
-17AABE,-17AC4C,-17AC39
-16323D,-1630C9,-16325F
-17AB7C,-17AAFD,-17ACF6
-162FD2,-1630B3,-163118
-17A7D8,-17A95D,-17AA61
-162FF3,-162ED7,-162F9D
-17A78E,-17A815,-17A890
-16305F,-162FA7,-162E7D
-17AA25,-17A8D2,-17A9CD
-162DF8,-162ED8,-1630B6
-17A929,-17AAFE,-17A9D1
-162F1C,-162D22,-162E36
-17AA29,-17A99E,-17A961
-162E8C,-162F32,-162D76
-17A8DF,-17A9B5,-17A936
-16304E,-16319B,-16304E
-17AB2E,-17AA63,-17AAC6
-1630C5,-162EED,-162F20
-17AA15,-17AB3B,-17AA02
-162F9F,-162E05,-162E8D
-17A9EA,-17A8C7,-17AB26
-16317D,-163109,-1630D8
-17AB55,-17AA94,-17A90F
-162F7B,-1631A1,-16308E
-17A83E,-17AA04,-17A92D
-163344,-162F09,-163037
-17AB32,-17AAC7,-17AB34
-162E73,-16309F,-162FD1
-17AA34,-17AB3A,-17AA60
-163121,-163064,-1630CD
-17A90E,-17AB4B,-17AA74
-163013,-162FB8,-1630F4
-17AA20,-17ABB3,-17ABAD
-1630C1,-163124,-1630DC
-17AC68,-17ABEA,-17AB76
-1631CE,-163282,-16310E
-17ADDD,-17ACF5,-17AD25
-163419,-163320,-1634CC
-17AC34,-17ADEA,-17AF4F
-1632A3,-1632D1,-16343B
-17AE9B,-17ADD2,-17AF93
-16326A,-1632AF,-163394
-17ADF7,-17AE07,-17B006
-163421,-1633FE,-163396
-17AF9D,-17AE1B,-17AFA0
-163477,-1634E1,-1634D9
-17AE80,-17AF79,-17AEA6
-163570,-1633AF,-163185
-17AF4E,-17AFA7,-17B054
-163512,-16354D,-163606
-17B0A8,-17AE5C,-17AEB6
-163559,-1633B0,-163349
-17AF6C,-17AEF4,-17AEE6
-16365B,-1632BA,-1636A2
-17AD5D,-17AF22,-17AF97
-16347F,-16344B,-163451
-17AF90,-17AEA7,-17AF83
-163443,-16368A,-163441
-17AFCE,-17AE77,-17AE6A
-16341E,-1633D0,-1636A0
-17B001,-17AF5F,-17B15B
-163484,-163659,-1633F4
-17AF46,-17B19A,-17B12D
-16382F,-16360F,-163674
-17AEBA,-17B0C4,-17B1F4
-16365C,-16364F,-163652
-17AFE3,-17B07F,-17B117
-163652,-1635E7,-16366D
-17ACD4,-17AD35,-17AD38
-16349E,-163484,-16355A
-17AD36,-17ABF0,-17AEFF
-1634F2,-163492,-163482
-17AF0F,-17AE6D,-17AEE4
-163423,-1635E5,-16364A
-17AF41,-17AF6E,-17AEAA
-163491,-1633C5,-163329
-17B0DD,-17AF2C,-17AEE1
-163527,-1635C9,-163508
-17AF36,-17B0E3,-17AFDE
-1636B4,-163555,-1636A3
-17B075,-17B010,-17AFD7
-1636E3,-1636AE,-163653
-17B0D8,-17B04E,-17B21D
-1633BE,-163567,-163518
-17AFF7,-17AFAB,-17AF1A
-1634E1,-16363E,-16356F
-17AF1E,-17AE66,-17B220
-163583,-163701,-1635A0
-17B0EF,-17B0BC,-17AFCD
-1635DA,-16366F,-1636BD
-17B13C,-17B018,-17B236
-163419,-16361A,-1635AE
-17AFEB,-17AE46,-17B07D
-16361E,-163373,-163680
-17B0D1,-17AF78,-17B0A7
-163777,-1635E7,-163474
-17B0BA,-17AFE7,-17B189
-16364B,-16373A,-163777
-17B14F,-17B17D,-17B01B
-16444D,-164403,-16446A
-17ACD3,-17ACF0,-17AD56
-1631CC,-16330E,-16327B
-17ACF9,-17ABBA,-17ACDE
-1632FC,-163491,-1632F2
-17ACFA,-17AC6E,-17AE50
-163502,-1634F2,-1634DB
-17AE90,-17ADA2,-17AF2F
-163491,-16348E,-1633BF
-17AE62,-17AE88,-17ACF5
-16331F,-1632DB,-163417
-17AEFA,-17B028,-17B166
-1637A5,-163268,-1632C5
-17ABA9,-17AF22,-17ADD1
-16344E,-16335F,-16337E
-17AEDE,-17AE57,-17AF6B
-163421,-1632AD,-1634D6
-17AC5E,-17ADC8,-17AF5D
-1633A8,-163468,-163452
-17ADDF,-17AC90,-17AE72
-163308,-163473,-163337
-17ACA3,-17AD63,-17AE18
-163430,-1634BD,-163526
-17AE77,-17AD30,-17AF47
-163325,-163430,-1634B1
-17AF56,-17AD4E,-17AE79
-163562,-163526,-1634B1
-17AFC0,-17AF2A,-17AE94
-163594,-1633CC,-163577
-17AE70,-17AEA6,-17AF0E
-163600,-1637E3,-16379C
-17B02D,-17B1E3,-17AFEC
-1634E3,-1634DD,-163542
-17AE35,-17AD48,-17AD45
-16342F,-163298,-163223
-17ABC7,-17AD18,-17AE30
-1631F7,-16334C,-1632CB
-17AEEB,-17AF35,-17AEEC
-1634C5,-1634B0,-163318
-17AD6B,-17AF9E,-17AEA4
-163562,-1634EC,-16360B
-17ADCE,-17AD73,-17AE96
-1636DF,-1634C5,-1634A9
-17AEB7,-17AF9A,-17AE13
-1633D1,-163526,-1634D2
-17AF1D,-17AED2,-17AD38
-163449,-163351,-163404
-17AEDC,-17AF58,-17B03E
-163431,-1635C8,-16341F
-17AD73,-17AEE3,-17ADAC
-163594,-163663,-163430
-17B053,-17AFF2,-17AF52
-16357F,-16340C,-163645
-17AFA3,-17AEE5,-17B044
-1634A0,-1635FC,-1634B5
-17B02D,-17B091,-17AF11
-163613,-16340C,-163393
-17B0C6,-17B05D,-17B06D
-163662,-16340F,-16357D
-17B114,-17AE96,-17B05B
-1634BC,-1635C7,-16350D
-17B121,-17AEB2,-17AFCB
-163704,-1636A5,-163648
-17AEA7,-17B15B,-17AE06
-16347C,-163657,-1636F1
-17B25F,-17B351,-17B235
-1638C0,-16382E,-1637E1
-17B0C9,-17B36F,-17B158
-16387E,-163718,-1637EE
-17B18E,-17B36B,-17B4A7
-163992,-16390C,-1639A9
-17B2C7,-17B207,-17B2E9
