{'CALIB_RAW_DAC_START_I': 229376, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 4, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-13163F,-131623,-1317C9
-119BEE,-119D02,-119D7D
-131796,-131862,-1315FD
-119C6F,-119BC5,-119CF2
-1317A7,-131730,-1315F7
-119C7D,-119DD1,-119CCE
-131639,-1316B4,-1317BA
-119C8E,-119CDC,-119F1D
-131734,-1317E9,-1319F3
-119D82,-119D96,-119E0B
-131758,-1317C0,-131724
-119E65,-119E37,-119D77
-131841,-13171F,-1317FF
-119F86,-119D47,-119DAE
-13186A,-1317C6,-1318D3
-119D15,-119D92,-119E95
-1316EB,-131953,-131880
-119FD4,-119E41,-119EEB
-13186B,-13189D,-1317DB
-119E24,-119E44,-119F1C
-131871,-13193B,-1318AC
-11A011,-119F29,-119E32
-131857,-131996,-131745
-119EEB,-119DE6,-119DC8
-1318C6,-1319C1,-1319E5
-119F05,-119E74,-119F20
-13188C,-131A04,-1318E4
-119DC1,-119DAF,-119D2F
-131805,-13170F,-13191C
-119FCB,-119E85,-119E78
-131969,-131851,-131865
-119E4F,-119D82,-11A088
-1317F5,-1317A1,-131902
-119CAC,-119E43,-119E3E
-131546,-13170D,-1316A4
-119C50,-119BC7,-119DE2
-1317F0,-1317FB,-131783
-119EE8,-119E91,-119CBA
-131885,-13183F,-13191A
-119DC2,-119CDE,-119C58
-13170F,-1319A8,-13180C
-119D79,-119EA3,-119E73
-13190A,-131AA3,-131800
-119E03,-119DE8,-119DAA
-1317DF,-13192B,-131A93
-119FF5,-119EAB,-119E26
-131AB4,-1319DB,-13171A
-119DA9,-119DE8,-119F0F
-1317EA,-131875,-1319E2
-119FAA,-119F3F,-119EEC
-13191A,-131A62,-131A18
-119DC6,-119F1E,-119D4D
-131805,-131A1E,-131913
-119F0A,-119ED6,-11A014
-131B5D,-1319D6,-131C52
-11A1D2,-11A0BA,-11A024
-131A6A,-131A16,-131BDB
-119F5F,-11A16E,-11A05B
-131A7D,-131939,-131886
-11A031,-119FF5,-119DBF
-1319A4,-131A87,-131B42
-119F38,-119FDD,-119E50
-131AB8,-1319F3,-131997
-11A08F,-119FC9,-11A111
-131E60,-131C44,-131D5A
-11A2A3,-11A375,-11A2F0
-131D26,-131C1A,-131BB1
-11A250,-11A1D8,-11A290
-131CA3,-131CBD,-131CCB
-11A3A6,-11A116,-11A399
-131D6B,-131D4E,-131F41
-11A342,-11A2B6,-11A318
-131C8E,-131E40,-131F20
-11A2D9,-11A421,-11A2F1
-131E6E,-131ECA,-131E26
-11A38E,-11A3AF,-11A2C3
-131D11,-131E04,-131A80
-11A419,-11A317,-11A44F
-131EB2,-131E13,-131E2E
-11A308,-11A322,-11A200
-131E11,-131D22,-131EC5
-11A492,-11A4D1,-11A3B2
-131CAA,-131D48,-131D0A
-11A3F7,-11A412,-11A3E1
-131D46,-131DFD,-131F6E
-11A46D,-11A36A,-11A47C
-131E58,-131C03,-131E06
-11A447,-11A36B,-11A3C0
-131D6A,-131E4D,-131CDC
-11A5A7,-11A32F,-11A5DA
-131E74,-131CBA,-131E36
-11A26E,-11A335,-11A505
-131E9C,-131EC8,-131F35
-11A39F,-11A44B,-11A3CA
-131F73,-131EEE,-131EBA
-11A3BA,-11A2A7,-11A39A
-131D02,-131B1F,-131C2A
-11A2B2,-11A1AC,-11A2CF
-131BAA,-131CE6,-131CB3
-11A199,-11A17D,-11A128
-131B56,-131C1A,-131D58
-11A359,-11A1EF,-11A0A8
-131BF4,-131CBB,-131B6C
-11A43A,-11A3BB,-11A2CD
-131D01,-131D8E,-131C30
-11A4A9,-11A3E3,-11A400
-131F04,-131D0A,-131D05
-11A320,-11A2F0,-11A2D3
-131CB0,-131F6E,-131E87
-11A57C,-11A41D,-11A59A
-131F75,-131FA9,-131F12
-11A16E,-11A436,-11A37D
-131D8F,-131C65,-131E96
-11A56A,-11A3E3,-11A3BA
-131D86,-131E48,-131EF2
-11A2A1,-11A2F0,-11A303
-131EA7,-131EB3,-131D91
-11A66A,-11A45C,-11A37A
-131D4C,-131C61,-131F5B
-11A308,-11A2BB,-11A2E8
-131F08,-131F2D,-131C94
-11A3D0,-11A4BF,-11A23D
-131DD1,-131ECC,-132075
-11A467,-11A543,-11A328
-131F93,-131F95,-131EF5
-11A545,-11A4F1,-11A3E3
-131F34,-131F3C,-131EC9
-11A91F,-11A7CA,-11A7F4
-1316D7,-131A21,-131B96
-119FF0,-119DDC,-11A148
-1318E0,-1319C7,-131AA8
-119E4B,-119FAA,-119FE3
-13192E,-131BBB,-1319E3
-11A03C,-11A105,-11A08F
-131B3C,-131ACD,-131ACF
-119E23,-119E71,-11A142
-131ADD,-131A83,-131AFE
-11A065,-11A262,-11A0FE
-131BD7,-1319BB,-131A7C
-11A101,-11A17A,-11A01A
-131B04,-131CA0,-131C3B
-11A0B1,-11A2B5,-11A298
-131B03,-131D71,-131DA3
-11A0D6,-11A215,-11A1A3
-131DF8,-131C11,-131B61
-11A1E4,-119FF4,-11A172
-1319A7,-131A79,-131C1E
-119FBA,-11A0FF,-11A031
-131C5C,-131C18,-131B0F
-11A1E2,-11A20D,-11A232
-131C7C,-131CFE,-131BAE
-11A10C,-11A1DB,-11A0C8
-131B08,-131C22,-131B17
-11A2B7,-11A13B,-11A30B
-131957,-131A62,-131C58
-11A0AC,-11A13B,-11A282
-131C5F,-131A94,-131A8F
-11A257,-11A0EA,-11A11F
-131D2F,-131CDE,-131BD6
-11A33F,-11A100,-11A1D2
-131B4C,-131C98,-131B20
-119FE3,-11A108,-11A146
-131A78,-131B95,-131B48
-11A081,-119F91,-11A121
-131A29,-131B26,-131B16
-119F98,-119FE9,-11A1B1
-131BFE,-131CC1,-131BF5
-11A0CB,-11A27C,-11A27E
-131C2F,-131B95,-131C76
-11A143,-11A25C,-11A216
-131AD5,-131BD3,-131B0C
-11A1F3,-11A258,-11A11A
-131CCF,-131B93,-131C02
-11A17D,-11A23C,-11A112
-131C19,-131D08,-131C74
-11A03A,-11A0D8,-11A38A
-131C20,-131C09,-131BAE
-11A291,-11A2B9,-11A277
-131D0E,-131CB6,-131C98
-11A3DA,-11A3D6,-11A296
-131CC9,-131EBD,-131D03
-11A2A4,-11A2DE,-11A38D
-131CEA,-131DA1,-131F10
-11A233,-11A267,-11A285
-131DC7,-131D07,-131D12
-11A2C9,-11A2F3,-11A49E
-131B54,-131B19,-131E00
-11A449,-11A3BE,-11A18A
-131BBC,-131BC3,-131E05
-11A48A,-11A3A9,-11A2D1
-131DF2,-131DE1,-131EF3
-11A3A5,-11A1A4,-11A2A7
-131E8A,-131FC0,-1320AC
-11A562,-11A689,-11A5A6
-131F92,-131E9B,-1320F1
-11A3D1,-11A582,-11A3A3
-131F49,-131F89,-131F78
-11A644,-11A48D,-11A444
-131FCD,-13200E,-1320C7
-11A6E0,-11A648,-11A57C
-132003,-131EDE,-132152
-11A6E4,-11A5F9,-11A6EF
-131F0A,-131F64,-131EAC
-11A63A,-11A511,-11A56F
-131D6C,-132193,-132064
-11A54A,-11A5D1,-11A610
-131FD5,-132039,-1321B1
-11A4DC,-11A41A,-11A4B5
-131EFF,-131F95,-131EBE
-11A337,-11A537,-11A575
-131F6B,-1320C5,-132037
-11A4D6,-11A7CE,-11A5F5
-132017,-131FCD,-1320E6
-11A736,-11A69D,-11A8BE
-13218A,-13212B,-132253
-11A7CA,-11A586,-11A5EE
-132108,-131FF4,-132047
-11A71C,-11A750,-11A660
-132200,-132117,-132205
-11A674,-11A75C,-11A681
-13222E,-131F7B,-1320BF
-11A67F,-11A72E,-11A72B
-132170,-1321D0,-1320E4
-11A5B7,-11A672,-11A7CD
-131F88,-131F82,-131E6E
-11A4CB,-11A327,-11A3F0
-1320DC,-132159,-131F18
-11A51D,-11A524,-11A6FD
-131F94,-1320B8,-13217F
-11A5E8,-11A63B,-11A7C7
-13221B,-132210,-131D83
-11A537,-11A672,-11A6F3
-131E70,-13204C,-131F4B
-11A5CC,-11A57E,-11A588
-131EB4,-132195,-132145
-11A584,-11A4F8,-11A6B4
-1320F8,-132044,-13207F
-11A74E,-11A5BC,-11A640
-132063,-13220B,-132070
-11A6F4,-11A7C7,-11A5DE
-131FAE,-131FD7,-131D8E
-11A657,-11A6F2,-11A687
-1320D3,-1321D1,-132121
-11A651,-11A59E,-11A5BE
-1320D9,-131F63,-132270
-11A83B,-11A80C,-11A840
-1321C5,-13226C,-1322A8
-11A7A3,-11A69B,-11A748
-132369,-132235,-132326
-11A761,-11A7CB,-11A79E
-1320F8,-132200,-132409
-11A694,-11A663,-11A7F7
-132077,-13218F,-13227C
-11A76C,-11A777,-11A7F0
-1321BA,-1322F9,-1320CA
-11B322,-11B46B,-11B3EC
-131BD1,-131C83,-131D34
-11A50B,-11A438,-11A311
-131CF6,-131D1F,-131C80
-11A18B,-11A3C1,-11A37B
-131C87,-131E3A,-131E49
-11A447,-11A419,-11A370
-131D32,-131DEE,-131ED8
-11A3E1,-11A159,-11A32A
-131D75,-131E01,-131DD9
-11A426,-11A2FE,-11A4DC
-131E25,-131D3F,-131D66
-11A47C,-11A5E1,-11A4AA
-131F6C,-132021,-131FD6
-11A6B8,-11A4DA,-11A53C
-131F32,-131F48,-131D72
-11A5ED,-11A3A7,-11A31E
-131EDA,-131E1F,-131E52
-11A5A8,-11A69A,-11A50F
-131E60,-13216F,-131EAA
-11A4E0,-11A524,-11A56E
-131FDE,-13201A,-131FA7
-11A6FC,-11A68D,-11A5D4
-1320EC,-132009,-132009
-11A5D2,-11A426,-11A5A3
-13210B,-131F14,-132054
