{'CALIB_RAW_DAC_START_I': 262144, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 4, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-10CCBC,-10CC22,-10CCED
-F5323,-F5393,-F4FE0
-10CCC4,-10CCE0,-10CC23
-F52F3,-F510A,-F525F
-10CCE5,-10CED6,-10CCD0
-F5448,-F541D,-F5304
-10CE17,-10CE50,-10CDDB
-F53AA,-F54C0,-F54BB
-10CEAD,-10CFAB,-10CC94
-F530E,-F530F,-F53A3
-10CC8E,-10CF27,-10CC3F
-F5427,-F5305,-F5366
-10CF82,-10CE7F,-10CF5B
-F52FF,-F522E,-F551B
-10CD80,-10CF4C,-10CEBB
-F5314,-F51E7,-F53BB
-10CE78,-10CDD5,-10CDA3
-F5368,-F532C,-F549E
-10CDBD,-10CB6E,-10CEF2
-F53E0,-F52A3,-F53A9
-10CC90,-10CE1A,-10CFE5
-F5784,-F5402,-F5468
-10CD9A,-10CCDE,-10CF31
-F54E9,-F52B0,-F55DF
-10CDF6,-10CE19,-10D01A
-F540A,-F544F,-F557E
-10D03F,-10D0A2,-10CE14
-F543C,-F538C,-F54F8
-10CE52,-10CEDF,-10CE21
-F5505,-F540D,-F5789
-10CFE1,-10CFBA,-10CEA9
-F5622,-F53C5,-F553F
-10CD2E,-10CE09,-10CC90
-F551D,-F53A7,-F553A
-10CFC5,-10CF86,-10CFE5
-F5432,-F5420,-F561A
-10D024,-10CEA8,-10CE7D
-F55EB,-F54D7,-F541E
-10CD05,-10CED3,-10CF53
-F5591,-F558B,-F53AF
-10CF2F,-10CFAA,-10D005
-F572C,-F5493,-F55BE
-10CD08,-10CE35,-10CD3B
-F52B8,-F545C,-F54FA
-10CF33,-10CE78,-10CDCD
-F5539,-F526A,-F5317
-10CE89,-10CEE1,-10CE63
-F50E2,-F533F,-F52CD
-10CD97,-10CE1E,-10CC99
-F5253,-F53DF,-F52AC
-10CD7B,-10CE3F,-10CF8D
-F5273,-F5469,-F5380
