{'CALIB_RAW_DAC_START_I': 294912, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 4, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-E84D6,-E85D9,-E867B
-D0C42,-D0BA7,-D0BCC
-E8540,-E85F5,-E86B9
-D0C87,-D0B19,-D0BC6
-E84A5,-E8669,-E8719
-D0CCF,-D0AAA,-D0AFB
-E8603,-E869C,-E87AF
-D0B8B,-D0C9D,-D0C76
-E8440,-E8700,-E858E
-D0E82,-D0D5D,-D0BD9
-E86C6,-E8659,-E8846
-D0CE7,-D0E4B,-D0BB4
-E8731,-E85C5,-E85C3
-D0D76,-D0C46,-D0B4F
-E85DA,-E883F,-E8682
-D0D40,-D0BE6,-D0B7B
-E86BC,-E8720,-E8615
-D0CDC,-D0F29,-D0DCB
-E85BE,-E8675,-E8644
-D0C52,-D0D9C,-D0CD9
-E873A,-E8794,-E8625
-D0DD0,-D0E55,-D0D83
-E8879,-E8756,-E86FD
-D0F85,-D0E49,-D0D16
-E8A20,-E89A6,-E8834
-D0E65,-D0C65,-D0F99
-E8838,-E89EC,-E8922
-D0FBF,-D0D3E,-D0DDD
-E87C4,-E86CC,-E88B0
-D1099,-D0F78,-D0F74
-E8AA8,-E895D,-E8AEE
-D0EB5,-D0EA1,-D0DCE
-E8592,-E866A,-E864E
-D0C1E,-D0C57,-D0C8B
-E8622,-E8765,-E8608
-D0DD7,-D0D8A,-D0DFC
-E888E,-E8876,-E868F
-D0EAE,-D0E19,-D0C86
-E880E,-E880A,-E879C
-D0CDB,-D0D9D,-D0C09
-E877E,-E878F,-E868E
-D0D90,-D0CED,-D0E6F
-E890E,-E8855,-E86D9
-D0CA3,-D0DB3,-D0DDA
-E8835,-E874B,-E8822
-D0DFB,-D0DC0,-D0DBF
-E8B76,-E8AD2,-E89AA
-D0F07,-D0DB4,-D0DF0
-E89A8,-E87AE,-E87F2
-D0F71,-D0E4A,-D0D61
-E8798,-E8723,-E8927
