{'CALIB_RAW_DAC_START_I': 327680, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 4, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-C2DE8,-C2C9D,-C2D25
-AB2DC,-AB2B8,-AB4BD
-C2F86,-C2E24,-C3039
-AB37E,-AB63C,-AB42E
-C2FD7,-C3013,-C3013
-AB5FD,-AB5D3,-AB42E
-C3000,-C306B,-C2D85
-AB6C4,-AB5F2,-AB5D3
-C30BC,-C2FAE,-C3046
-AB4F4,-AB32F,-AB545
-C2F0E,-C2FBF,-C2F6A
-AB457,-AB41B,-AB3A2
-C307C,-C2EB1,-C2EFA
-AB6B1,-AB5EE,-AB562
-C2FD8,-C30F3,-C3136
-AB5C2,-AB4E2,-AB392
-C2E9B,-C2EE9,-C2FB5
-AB6D2,-AB5AC,-AB563
-C306C,-C2F41,-C3126
-AB629,-AB46A,-AB736
-C3055,-C2F35,-C3134
-AB6CA,-AB4B2,-AB60F
-C30E9,-C2FA5,-C3063
-AB65D,-AB584,-AB3A2
-C2F2A,-C2F79,-C2FD7
-AB79F,-AB631,-AB5BA
-C301F,-C2F90,-C2FF1
-AB4E9,-AB6DB,-AB55C
-C2EDE,-C2F4A,-C30D0
-AB4D4,-AB86D,-AB461
-C312D,-C2FB3,-C2FCF
-AB62B,-AB4D0,-AB6AE
-C2DE3,-C2DD4,-C2F03
-AB499,-AB48A,-AB263
-C309E,-C3054,-C2FDB
-AB64B,-AB7F1,-AB605
-C3023,-C326D,-C2FE5
-AB537,-AB6E8,-AB7CF
-C30EC,-C3186,-C309F
-AB660,-AB465,-AB5AB
-C3211,-C30CA,-C305C
-AB5E5,-AB69C,-AB526
-C31BE,-C3001,-C3081
-AB62F,-AB626,-AB641
-C30A2,-C304F,-C2EB6
-AB786,-AB56D,-AB65D
-C31A5,-C301E,-C30C0
-AB872,-AB603,-AB2B7
-C3119,-C2EEE,-C2E87
-AB737,-AB5D9,-AB60E
-C30D0,-C31C0,-C3025
-AB885,-AB811,-AB87C
-C300C,-C2FC3,-C3074
-AB7C9,-AB775,-AB5EF
-C3164,-C2FE1,-C309D
-AB866,-AB6AE,-AB60E
-C30B1,-C2FE7,-C30F6
-AB4E1,-AB66D,-AB603
-C304C,-C3240,-C31A5
-AB784,-AB90C,-AB876
-C33E5,-C3305,-C33C0
-AB88C,-AB7EB,-AB827
-C3025,-C30C1,-C32BE
-AB893,-AB9E4,-AB7CC
-C33A7,-C3526,-C34CD
-ABA8C,-ABAC9,-AB9D6
-C36C8,-C3658,-C3605
-ABC17,-AB979,-ABBA4
-C33E5,-C34B9,-C3545
-ABBB9,-ABADA,-ABAE0
-C3485,-C36FD,-C3623
-ABAD2,-ABB7F,-ABBCB
-C36A9,-C3740,-C355C
-ABBBD,-ABBBA,-ABAA7
-C349D,-C3777,-C36F9
-ABD19,-ABAEB,-ABB45
-C3565,-C3537,-C3433
-ABD32,-ABB97,-ABC6A
-C3736,-C36A9,-C37D3
-ABD32,-ABD00,-ABC73
-C37D2,-C36B7,-C369B
-ABCBB,-ABBE8,-ABC94
-C35F7,-C3653,-C36E3
-ABD50,-ABBBB,-ABC7D
-C3674,-C34D9,-C378D
-ABE3E,-ABCF8,-ABD8A
-C34D7,-C37B1,-C3763
