{'CALIB_RAW_DAC_START_I': 360448, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 4, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-9EBA9,-9EA89,-9EA9E
-87200,-87287,-87062
-9EAD9,-9E96C,-9E99E
-871F8,-87087,-87189
-9E9B9,-9EBA4,-9EDEE
-87165,-87116,-8702F
-9EE27,-9EADF,-9EBB7
-87307,-87210,-8725A
-9EBC0,-9ECBF,-9EBC1
-8710E,-8729B,-872F6
-9EAF9,-9ED64,-9EB77
-86FF6,-872C1,-872AE
-9ED80,-9EC66,-9EE22
-87213,-8721A,-872F6
-9EB72,-9EC1B,-9ECE3
-8716A,-872F2,-8701E
-9EBE9,-9EB69,-9E9BE
-8718A,-8706B,-8715D
-9EC07,-9EA18,-9ECC9
-87072,-871D4,-870C7
-9EB4A,-9E981,-9EAC7
-87142,-87166,-87097
-9EBA1,-9ED2D,-9EC60
-871CC,-871F5,-8709D
-9EB6B,-9EAF8,-9EC3E
-8745A,-870B6,-87326
-9EE25,-9E991,-9EBF8
-872B0,-87299,-87359
-9ED50,-9EC27,-9ED9B
-87125,-87381,-87344
-9EBC8,-9ED31,-9EC6B
-86F87,-87091,-87040
-9E9F5,-9EAE9,-9E950
-86FA7,-87155,-871E8
-9EAF6,-9EA3D,-9EAC5
-870C1,-86F97,-870AB
-9EAEA,-9EBE6,-9EC49
-8711B,-8710B,-87027
-9EBF3,-9EB5B,-9EBCA
-871A0,-86E4B,-86EB6
-9EB16,-9EB9B,-9EC2B
-87278,-8731F,-87248
-9EB41,-9ED01,-9EC5E
-872F3,-87498,-872BB
-9ED71,-9EC04,-9EDDE
-87379,-874C0,-873C0
-9ED29,-9EDD5,-9EDC2
-873E1,-8718A,-870FE
-9EB9D,-9ED6F,-9EDD8
-87420,-873B2,-873E8
-9ECBD,-9EEF1,-9ED2E
-872CA,-871DF,-87137
-9ECC2,-9EBB5,-9ED0E
-873DA,-8733D,-87303
-9EFEA,-9EF2A,-9EE4D
-8745E,-87314,-871FE
-9ECDB,-9ED3E,-9EB95
-873B1,-87310,-8724F
-9EBA0,-9EE84,-9EDBC
-871E0,-873F6,-87301
-9EC93,-9EDE4,-9EC6F
-87469,-872DE,-87348
-9EE1F,-9ED4C,-9EC27
-87478,-87456,-8747E
-9EE83,-9EE72,-9EE22
-8755E,-87427,-876AD
-9F0A7,-9F05C,-9EFCE
-878DD,-87594,-873DD
-9F16C,-9EFCB,-9F1E9
-877D9,-87841,-87784
-9EF97,-9F16F,-9F1A0
-87885,-8766C,-87639
-9F16F,-9F231,-9F144
-87752,-874E1,-876C3
-9F134,-9EFDB,-9F179
-876C4,-876BF,-87731
-9F0E7,-9F2A2,-9F0B1
-877BE,-876FA,-87752
-9EEBF,-9F101,-9F142
-8754D,-876D3,-87521
-9F054,-9F2C0,-9EF94
-87819,-8771D,-876C7
-9F385,-9F2FC,-9F12D
-87881,-87776,-8778B
-9F27E,-9F2AB,-9F1C0
-878CB,-87630,-876B1
-9F1F2,-9F1B0,-9F2C4
-877D6,-87827,-87744
-9F33C,-9F341,-9F06E
-878D6,-877C8,-8778A
-9F2E7,-9F283,-9EFC2
-87768,-879A1,-877E3
-9F122,-9F2E3,-9F3BD
-878BB,-877B1,-877E6
-9F37F,-9F331,-9F227
-877EE,-87846,-87718
-9F0C0,-9EF07,-9EF09
-876F5,-87752,-87669
-9F181,-9EFB4,-9F136
-87740,-87733,-876C1
-9EFFA,-9F2B5,-9F1E4
-877E3,-877A7,-8777F
-9F3D2,-9F1F0,-9F098
-8760A,-87760,-87783
-9F172,-9F1CC,-9F3B1
-87785,-8781E,-876D1
-9F197,-9F1F5,-9F185
-87870,-878DF,-8785F
-9F457,-9F264,-9F2AC
-877B6,-87824,-87A38
-9F311,-9F388,-9F40C
-87748,-8781C,-87942
-9F3A4,-9F3A7,-9F4AF
