{'CALIB_RAW_DAC_START_I': 393216, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 4, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-782E5,-78467,-7840B
-60A06,-60A48,-60944
-78362,-784DD,-78676
-60AB8,-60982,-6094D
-78439,-7847F,-7835F
-60A5E,-60B19,-608CD
-783E1,-7847D,-786EF
-608CD,-608DB,-6095A
-7847C,-78586,-7860E
-60AD7,-6088D,-609F2
-7839B,-784BA,-78502
-60A4B,-60B71,-60B12
-78396,-78722,-78471
-60B1A,-60BCD,-60B4B
-78625,-78508,-7846B
-60B52,-609A7,-608C3
-784E7,-7845B,-78676
-60BA4,-60BC5,-60A97
-78672,-7849A,-783A2
-60B46,-6094E,-60CE8
-786DF,-785F1,-7876B
-60C4A,-608F2,-608F6
-785FE,-78629,-786E7
-60AE6,-60AF5,-60A1E
-78561,-784E3,-786DE
-60D0D,-60C97,-60BD7
-78604,-78703,-785B8
-60A99,-60B98,-60AC3
-78663,-785C1,-783B8
-60B63,-60C48,-60C36
-785DF,-78485,-7864C
-60C6E,-60C3B,-60D0F
-783CE,-784A4,-783D6
-60A6D,-60AD9,-60A3C
-78445,-78349,-7842E
-60A5C,-609D0,-60B79
-783FF,-78600,-7856E
-60A12,-608DC,-60A35
-785BD,-78485,-785CA
-60ACE,-60B1B,-60A56
-78433,-78702,-7842A
-60D0C,-60B3B,-60BBD
-786DA,-78610,-786AC
-60B9D,-60A93,-60A92
-782C9,-78601,-785A1
-609B5,-60CA8,-60C18
-78517,-78488,-783FA
-60921,-609B2,-60B0B
-7867E,-78549,-7875B
-60D2E,-60B72,-60CD5
-785D0,-78700,-786BA
-60ADB,-60E6C,-60C03
-787DE,-78961,-786A6
-60E7F,-60E0C,-60C34
-78669,-78663,-78802
-60D6E,-60C34,-60BB4
-785A7,-787E6,-78684
-60D96,-60E42,-60BC6
-7848F,-78742,-787F8
-60D3E,-60E72,-60DA3
-78863,-7873A,-78566
-60D2D,-60E99,-60CAF
-7872A,-7897D,-78951
-60E15,-60D26,-60CDB
-788E8,-789D5,-7894F
-61172,-60FA5,-61008
-78A72,-78B99,-78A80
-6112B,-61192,-60FFF
-789F1,-78A21,-788CB
-60F46,-60F29,-610AD
-788C7,-788FE,-7891F
-61083,-60F2D,-61099
-78BD7,-78C8A,-78C5D
-611B3,-6107C,-61219
-78B43,-78B50,-78B5C
-61113,-61072,-61171
-78A95,-789C7,-78A82
-60D9D,-6115D,-61001
-78A7D,-78ADF,-78822
-6108A,-60FA4,-60FC3
-78B9B,-78A89,-78CD3
-610DF,-6129E,-61249
-78B25,-78CA4,-78B31
-6106D,-60F13,-610C0
-78ADE,-78B4E,-78B9E
-60FCC,-60FB4,-60DE5
-78C12,-78BA2,-78B02
-61168,-6100C,-61008
-78CE1,-78A2E,-78D21
-611F7,-61221,-6124E
-78C83,-78C83,-78B43
-6100F,-61116,-610CF
-78B99,-78B84,-78C44
-61270,-61002,-61057
-78ADA,-78A7A,-78B84
-61152,-60F7A,-60E63
-7890D,-787C3,-787A1
-60F17,-60F9E,-60DDE
-78952,-78A6A,-788D3
-61058,-60D8F,-60FC2
-78BB1,-78A4C,-78969
-611D5,-610C3,-60FB6
-7899D,-78966,-789E3
-60E80,-61114,-60F28
-78B13,-7899E,-78A86
-61177,-60F9E,-61007
-78A2F,-78A64,-7895E
-61129,-61163,-61095
-78AA6,-78BB0,-78C63
-61111,-610E1,-6124F
-78A5A,-78C33,-78A98
-60F9B,-61036,-60F01
-78A04,-78A3D,-78A8B
-60FDD,-6101D,-61188
-78B54,-78CD4,-78BB1
-6111B,-610F4,-61193
-78A9A,-78B86,-78B9F
-611EB,-61074,-612E5
-78D0A,-78B8D,-78BB6
-6114A,-611A2,-61147
-78C4F,-78C89,-78A13
-6101A,-610F2,-611C0
-78C25,-78CA2,-78D93
-61106,-611D1,-6109F
-789F4,-78A81,-788CE
-61155,-61190,-611B0
-78B84,-78B9B,-78BE9
-61452,-6167C,-6161A
-7869A,-7880B,-7877B
-60BF2,-60B89,-60C4A
-785AE,-78691,-78453
-60C45,-60C48,-60D5C
-78767,-788DF,-78688
-60E43,-60D64,-60D74
-78710,-78709,-787C6
-60DB7,-60CD3,-60C0C
-78588,-787F5,-78714
-60D95,-60EE3,-60C22
-787A5,-7886C,-78887
-60DD9,-60DA7,-60D78
-788E5,-78723,-78867
-60DBD,-60EF5,-60E27
-7878C,-788FF,-788E6
-60D6D,-60C33,-60F26
-787FA,-7885A,-78759
-60D4A,-60D53,-60CE3
-78790,-7860E,-78701
-6102E,-60EB4,-60EAB
-78756,-787AF,-78A85
-60FAC,-60EF2,-60D33
-78A45,-789D1,-788F4
-60FF7,-60ED2,-60C95
-78982,-78821,-78907
-60DEB,-60EED,-60E53
-787FD,-788F4,-789DC
-60F47,-60DB1,-60F2E
-78748,-789BD,-78B0D
-60FB1,-60DFF,-60D8F
-7895C,-78A5B,-78927
-60FA6,-60E35,-60DB4
-78621,-7888B,-78912
-60AF4,-60CA7,-60D07
-789A6,-78490,-786AA
-60E13,-60BDE,-60EE2
-786C5,-7886F,-786B7
-60D59,-60C54,-60BA0
-786AD,-7890B,-7876C
-60B26,-60C83,-60CA5
-78884,-78893,-787BE
-60D74,-60FB3,-60C70
-787CF,-786D6,-78974
-60CD3,-60E29,-60CDA
-789F9,-787E6,-787CB
-60DFB,-60E4C,-60C9F
-7897C,-7892F,-78835
-60C42,-60AF5,-60C37
-78920,-7880E,-789E5
-60E4B,-60FE8,-60DB9
-787B6,-787F1,-78A1F
-61024,-60DEA,-60EE4
-789AF,-7885F,-78821
-60C34,-60EE7,-60CCE
-78967,-78723,-787F0
-60DD3,-60D85,-60AB8
-7873C,-78892,-788EA
-60F36,-60FC8,-60FE9
-7884B,-78A66,-78906
-60D55,-60F81,-60E4D
-789F1,-78A6B,-78B5A
-61244,-610A6,-60F62
-78A99,-78A0D,-78AB1
-60D9C,-60EF9,-611BD
-78D89,-78BDE,-78B5A
-612D8,-61216,-61434
-78D4C,-78BD3,-78B69
-61183,-61136,-612DF
-78C55,-78D14,-78DCF
-614A2,-613DB,-611F4
-78CC0,-78DA0,-78C74
-61158,-611CF,-61387
-78F2E,-78CEF,-78D3F
-613BC,-61208,-61367
-78C67,-78E2C,-78DB7
-615EC,-61170,-6135A
-78E3B,-78E21,-78BA7
-613D9,-612D5,-61347
-78C71,-78F12,-78D3C
-6103F,-61305,-61185
-78EC7,-78CF1,-78E29
-61279,-614A3,-613B2
-78DBE,-78E3C,-78FA4
-6110E,-612E4,-6112D
-78D76,-78E4F,-78C5F
-612C5,-6146C,-61300
-78CD4,-78BBB,-78C0A
-612FA,-6124E,-612A5
-78D47,-78E0D,-78C80
-6117F,-61334,-6125C
-78BA7,-78DE4,-78EA5
-614BB,-611C0,-6137B
-78D18,-78D9B,-78E65
