{'CALIB_RAW_DAC_START_I': 425984, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 4, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-52D06,-52DF2,-52CC4
-3B56D,-3B450,-3B672
-5306A,-52FA6,-52E77
-3B4F9,-3B48D,-3B538
-52E22,-52FEA,-530DF
-3B52C,-3B3D0,-3B5A0
-5319C,-5309C,-53155
-3B55F,-3B55B,-3B826
-52FDF,-5308F,-52FEA
-3B5BA,-3B496,-3B7DE
-52F50,-53172,-5314A
-3B619,-3B48A,-3B576
-530DF,-53080,-53131
-3B77F,-3B7B6,-3B6BC
-5304E,-52F5D,-531EF
-3B3E0,-3B338,-3B3F8
-52DE5,-53024,-52EE9
-3B4EE,-3B4FC,-3B669
-52F76,-53178,-530ED
-3B4EE,-3B831,-3B60F
-531AD,-53024,-53054
-3B5F0,-3B5D4,-3B793
-531A6,-53051,-53223
-3B73A,-3B643,-3B532
-530C0,-53112,-5304C
-3B8EE,-3B509,-3B586
-5316E,-52FEC,-5313F
-3B5DA,-3B795,-3B801
-531A3,-53190,-532A9
-3B696,-3B6E0,-3B757
-5304A,-53337,-5340D
-3B87F,-3B93F,-3B76E
-52FCC,-531B6,-53000
-3B619,-3B818,-3B679
-53073,-53217,-52F82
-3B588,-3B49E,-3B6AF
-53070,-53263,-5315C
-3B655,-3B72A,-3B50E
-531A2,-531BD,-532CE
-3B65B,-3B74A,-3B68C
-5325F,-533D0,-53293
-3B9A9,-3B5D9,-3B784
-53168,-530F2,-52F61
-3B671,-3B849,-3B5A5
-530D2,-5304C,-531B5
-3B955,-3B753,-3B883
-53219,-530F6,-5331A
-3B6D0,-3B76A,-3B761
-532C6,-5321C,-53187
-3B6DF,-3B8FC,-3B744
-52FF9,-531E5,-5313F
-3B80A,-3B65E,-3B56B
-52F44,-5328E,-52FAD
-3B80B,-3B5E5,-3B929
-5326F,-53219,-531D8
-3B94A,-3B8C1,-3B72B
-53161,-533D3,-531F7
-3B8CC,-3B7C1,-3B616
-532C1,-531E6,-53154
-3B969,-3B6D6,-3B7C3
-531BE,-53331,-53375
-3B83A,-3B852,-3B923
-532BD,-5323E,-533E4
-3B8CF,-3B9EC,-3BB29
-535C2,-534D8,-53401
-3BAEB,-3BB02,-3BA9E
-53562,-53361,-535E2
-3B8A5,-3BA1F,-3BADD
-53479,-53510,-534B8
-3BA50,-3BB29,-3BB16
-535F7,-534FE,-5361B
-3BAF2,-3BA5A,-3BBBB
-53558,-533EC,-5354A
-3BA96,-3BBD5,-3B9E6
-53536,-533AC,-53556
-3BA38,-3BC88,-3BAFA
-5351C,-5342F,-53518
-3BBEF,-3BAED,-3BCA4
-53483,-53573,-5343B
-3BB35,-3B9E5,-3B940
-534F0,-53694,-534B8
-3BA6C,-3B9A6,-3BAAA
-536AA,-53450,-5357B
-3BB00,-3BBDC,-3BA73
-5375F,-534EE,-534D3
-3BB7E,-3B905,-3BA63
-535F1,-53548,-53714
-3BA8E,-3B9B8,-3BBA6
-53696,-5364D,-5377F
-3BF96,-3BCE3,-3BC97
-53705,-53780,-5368D
-3BACA,-3BC21,-3BB53
-535D4,-53721,-535E6
-3BD7B,-3BB0A,-3BD3A
-536D4,-53648,-53789
-3BD31,-3BD2F,-3BD03
-5355F,-53810,-5355B
-3BA92,-3BBB9,-3BACE
-53502,-535D0,-534DF
-3B93D,-3BA1D,-3BAD5
-5354B,-535E9,-53354
-3BCB0,-3BB2B,-3BB1F
-535B1,-535E8,-534AB
-3B9E5,-3B9CE,-3BA1F
-535B8,-53567,-53529
-3BC5C,-3BB24,-3BB29
-534DA,-53409,-534F7
-3BA72,-3BB46,-3BBE2
-535C2,-5356B,-53679
-3BBCB,-3BC38,-3BB84
-535DB,-535CA,-53473
-3B945,-3BCA8,-3BBA2
-53418,-534CE,-534CD
-3BC99,-3BA68,-3BC59
-53676,-5367E,-534C0
-3BB49,-3BAE5,-3BA8E
-5370C,-535D0,-536AC
-3B9AD,-3BB5E,-3BC80
-5343B,-53648,-536D3
-3BBED,-3BB73,-3BB16
-5353A,-5362B,-53610
-3BC99,-3BA71,-3BB58
-536AC,-535D5,-535BA
-3BCC4,-3BBAF,-3BBD0
-53547,-5381E,-53705
-3BCE1,-3BDB5,-3BAEE
-539A2,-537E2,-53727
-3C2CF,-3C3C0,-3C167
-5316A,-5303A,-532DD
-3B79B,-3B7BD,-3B890
-532B9,-5332B,-531F3
-3B57A,-3B774,-3B5DF
-53250,-53100,-53192
-3B7C6,-3B7EC,-3B737
-532F7,-531B7,-5320A
-3B7B2,-3B725,-3B653
-532FA,-533CF,-531E4
-3B857,-3B683,-3B80F
-53259,-53283,-53212
-3B872,-3B7CE,-3B776
-53447,-53431,-53476
-3BA85,-3B958,-3B72A
-533AE,-53386,-53355
-3B880,-3B9C0,-3B7EC
-53449,-53299,-5339D
-3B99D,-3BA32,-3B654
-531BD,-53163,-5323E
-3B93E,-3B639,-3B921
-53243,-53268,-5315F
-3B8AD,-3B79F,-3BA56
-53471,-5354E,-533C2
-3BA37,-3BAD9,-3B950
-535B2,-53482,-5369C
-3BA97,-3BB56,-3B95F
-53521,-534DA,-534F5
-3B94F,-3BA3A,-3BA2F
-533BD,-53384,-534E3
-3B962,-3B9B3,-3BB1E
-53349,-533AC,-53447
-3B995,-3B91A,-3B902
-530EB,-53378,-531B9
-3B6F5,-3B8BE,-3B761
-53201,-53332,-532F7
-3B7B7,-3B7AD,-3B833
-531C4,-53195,-531E2
-3B775,-3B85D,-3B784
-531FC,-530E5,-53294
-3B821,-3B7FB,-3B822
-53348,-533AD,-53176
-3B9EF,-3B7E9,-3B766
-53393,-532BD,-532CF
-3B960,-3B95E,-3B8B0
-53334,-532F7,-53329
-3B8B0,-3B9B0,-3B851
-53415,-53638,-533C3
-3BAFE,-3BA5A,-3B823
-53490,-53441,-53571
-3B862,-3B936,-3B9AA
-53742,-5336F,-5341C
-3BA83,-3BB9A,-3BA35
-53463,-532D4,-534DF
-3B9DD,-3B9D7,-3BB73
-532D2,-53473,-5348F
-3B8DA,-3BA4D,-3B870
-533FC,-53328,-532E2
-3B8D4,-3BA73,-3BA3E
-5325B,-53456,-532C3
-3B835,-3BA60,-3BB2E
-5349B,-53621,-534AE
-3B9B4,-3BA4C,-3BAA4
-533F4,-533D3,-532CC
-3BA34,-3BC2F,-3B978
-536D9,-53848,-536B7
-3BCE7,-3BCDE,-3BB6D
-536AA,-537D0,-53697
-3BCCF,-3BD2E,-3BC31
-53740,-53630,-536B1
-3BC4F,-3BCF4,-3BCF2
-53737,-538F8,-537CE
-3BD92,-3BCEB,-3BEE9
-53812,-5354F,-5384D
-3BC3D,-3BD08,-3BE4C
-535AE,-53848,-53714
-3BE6C,-3BE2B,-3BCB8
-53906,-53826,-537A2
-3C06D,-3C058,-3BD60
-53876,-53993,-539DD
-3BE79,-3BCA7,-3BD4B
-53889,-5368E,-537A7
-3BE03,-3BE81,-3BED1
-53929,-53856,-53967
-3BD84,-3BE4C,-3BE8B
-53979,-53BE0,-53AEE
-3BE6F,-3BE55,-3BF1C
-53A4E,-53904,-53A21
-3BF2A,-3BE44,-3BD56
-539D3,-53932,-539C8
-3C150,-3BDA3,-3BDB7
-5389A,-53888,-53940
-3BD96,-3BED3,-3BF34
-53949,-53778,-53966
-3BFD2,-3BF2F,-3BEB2
-53CE2,-53AE9,-53A56
-3BE9F,-3C001,-3BE45
-537B8,-538B6,-538B9
-3BD76,-3BD42,-3BD64
-53726,-5372F,-53531
-3BDF2,-3BC85,-3BCC1
-538B1,-537E5,-53939
-3BEFB,-3BF7B,-3BD8D
-5364E,-538DE,-53855
-3BCB8,-3BDA9,-3BDCC
-5388C,-53729,-53874
-3BE45,-3BCCF,-3BD16
-5377E,-53983,-537AC
-3C072,-3BD37,-3BE68
-53941,-53976,-53984
-3BE3B,-3BE74,-3C081
