{'CALIB_RAW_DAC_START_I': 458752, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 4, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-2DB89,-2D8E3,-2DAB1
-15E9B,-15FD4,-15F6E
-2D972,-2D906,-2D8FD
-15E7E,-15FB9,-15D29
-2D99D,-2DA5B,-2D989
-15F01,-15F3F,-15F48
-2DA0C,-2DA1F,-2DA57
-160E9,-15E9E,-15F42
-2D9B3,-2DA35,-2DA34
-160A0,-160F2,-1611E
-2D918,-2DA31,-2D972
-15FB5,-15E63,-16000
-2D9D9,-2DA9B,-2DB28
-16050,-1616A,-16065
-2DA27,-2DCD3,-2D8B3
-15F48,-15FEB,-15F0A
-2DBA7,-2DC85,-2DC6A
-16122,-161B2,-16105
-2D9DC,-2DA53,-2DA89
-16085,-16086,-160DF
-2DB54,-2DACD,-2DAE5
-161FD,-161B9,-1609B
-2DB36,-2DAFD,-2D9A6
-16064,-160AD,-15EB5
-2DACA,-2DBF9,-2DB0C
-15FB6,-1621D,-1608A
-2DC9D,-2DB75,-2DBA5
-16132,-16078,-160B3
-2D96F,-2DB19,-2DBC8
-16229,-15FF7,-16076
-2DBD6,-2DB69,-2DC1B
-1616F,-16137,-16107
-2D935,-2DA30,-2D9AC
-15F1F,-16069,-16015
-2DAED,-2DA05,-2D9BF
-1601C,-15FEA,-15E9D
-2DA6A,-2DA80,-2DB0A
-1613B,-15E9C,-15FC7
-2DA45,-2D81E,-2D7D3
-15DB7,-15E4A,-15EFB
-2D9B2,-2D9B8,-2D8CA
-15E5F,-15F6A,-15D8A
-2DB77,-2DB0A,-2D81B
-16013,-15FB6,-15EA4
-2D892,-2DA0A,-2DAF8
-16008,-16022,-15FD7
-2DAC7,-2D9D0,-2DA41
-16109,-16008,-15D4F
-2DA21,-2D90E,-2D96A
-1613F,-16074,-161C7
-2D8B2,-2DC63,-2DA16
-15FE5,-15FED,-15FF2
-2DAD2,-2DBDF,-2DB0D
-1623D,-16119,-15FFD
-2D975,-2DB74,-2DB39
-16067,-15FBF,-16066
-2DC3E,-2DB6B,-2DA23
-1621F,-16183,-16321
-2DC0F,-2DCA4,-2DBD7
-1613D,-162A2,-16060
-2DB9C,-2DCC1,-2DC21
-162DE,-16362,-16117
-2DAAE,-2DBB4,-2DD5C
-16283,-161F7,-16121
-2DCF6,-2DDD3,-2DFA5
-163CB,-16552,-16478
-2DFBD,-2DF35,-2E0E5
-16562,-16461,-16393
-2DF0E,-2DF51,-2DEF1
-16622,-16568,-165FF
-2E0DF,-2E047,-2DF8E
-1636C,-1638E,-16461
-2DD87,-2DF41,-2DF81
-16560,-166D6,-1657D
-2DE40,-2E0B7,-2DF43
-16662,-1667E,-16381
-2DFAE,-2DFB0,-2DF40
-16433,-164CA,-1646F
-2DF13,-2DE44,-2DE3C
-16303,-163F2,-16286
-2DD17,-2DDF8,-2DFB4
-1661E,-1669B,-163B2
-2DEB0,-2DE42,-2DF90
-16497,-163FA,-1657D
-2DFDF,-2E05E,-2DF79
-1678B,-166A6,-16458
-2DF6D,-2E036,-2DE74
-166C8,-164AA,-164BB
-2DF93,-2DE78,-2DFA0
-1669B,-16668,-16788
-2E085,-2DFCD,-2E17C
-16566,-16530,-16406
-2E0FC,-2E04F,-2E013
-16432,-16597,-1641F
-2E108,-2E1D9,-2E16B
-16680,-166A8,-16834
-2DD62,-2DD70,-2E101
-16595,-16493,-1650E
-2DF84,-2DEF1,-2DE90
-16387,-16551,-162BA
-2DEA6,-2DF07,-2DDA7
