{'CALIB_RAW_DAC_START_I': 491520, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 4, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-9B75,-9C3F,-9C29
DDCA,DE73,DE37
-9B90,-9D10,-9D41
DE1A,DEEA,DD92
-9E65,-9B9F,-9BDC
DD32,DE23,DDE1
-9B1C,-9D8D,-9D3A
DED4,DE58,DD98
-9A39,-9AFD,-9A16
DD67,DEAA,DD1A
-9B6E,-9BB0,-9BD5
DDDD,DEB6,DEBE
-9976,-9A1B,-9B40
DEA7,DDB9,DFE6
-9B51,-9A31,-9ACA
DF25,DF5D,E159
-99FC,-9BD1,-9ABC
DEE3,DDBB,DECB
-9B0A,-9B72,-9BE0
DD0A,DECB,E00A
-9BED,-9C35,-9B8F
DD90,DE88,DE56
-9D85,-9C82,-9B47
DF75,DE0C,E006
-9A95,-9B27,-9B42
DDCA,DFAC,DF63
-9A9E,-9B3F,-9B7C
DE8A,DF03,DDDF
-9AE8,-9AE7,-9E06
DC79,DDFD,DE87
-9AA8,-9DE3,-9CBA
DF6E,DD5E,DE08
-9AC3,-99EC,-9B07
DE8B,DFAB,E025
-9A81,-992D,-9B57
DDE0,DE7B,DFE9
-9BA8,-9BB4,-9A37
DEC3,DEEA,E051
-9B3A,-9A82,-9BAA
DFEA,E062,DF9C
-9B37,-9B43,-9A5F
DD85,DFB5,DC91
-9CA3,-9CBF,-9C7B
DE4C,DF6E,DF00
-993B,-9BF4,-9C5C
DC89,DDFE,DC05
-9BDC,-9D87,-9DA8
DDDA,DC4D,DCF8
-9B8D,-9B96,-9B36
DECC,DC7E,DEA4
-9C82,-9C16,-9CC3
DE10,DF2B,E0F0
-996D,-9C14,-9B8C
DF89,DEEC,E090
-9A10,-9AFA,-99CC
DF00,DF26,DED6
-9982,-9D1F,-9AE6
DF77,DE4D,DF20
-9CA7,-9AFA,-9B72
DDC3,DFA8,DDEC
-9BE3,-9955,-9D33
DD6D,DE7B,DF29
-9B62,-9C13,-9CE4
DDEE,DBFF,DC00
-9DFF,-A026,-9EFD
D7CA,D8DF,D97D
-9FE6,-A0C7,-A271
DCD5,D9DB,DAF9
-9FB6,-A062,-9F51
D9EC,D922,DA7F
-9FF4,-9ED8,-9F9D
DAEB,DA2C,DB7D
-A09B,-A0EC,-A13D
DA3B,D934,D9A8
-A027,-9DEE,-A019
DA89,DBF5,DAD3
-A059,-A089,-9F83
DC80,DBF2,D9F9
-A1C4,-A0CF,-A082
DC40,DBA4,DBFE
