{'CALIB_RAW_DAC_START_I': 557056, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 4, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
40C4B,40D04,40C8C
5872C,5860F,58654
40F35,40E86,40D71
5870D,5869B,58601
40C08,40A55,40B98
586B6,586EA,585A6
40D66,40CBD,40D21
5852F,586FD,586BB
40CC1,40D51,40D3E
585FF,5868D,58621
40BAA,40B5F,40C97
586EA,58712,5862D
40AE4,409EE,40AA1
58344,5833F,583D5
40BF3,409C6,40D1E
585BF,587A1,587F1
40CA5,40CF6,40C5B
58691,584B8,58537
40BD1,40CA1,40B6A
586FD,58680,587D6
40AFC,40E14,40BAB
5847F,58472,58486
40C50,409ED,40A3C
584D6,584A9,5859C
40C52,40AEF,40BCD
584D6,5852B,584E8
40AA0,40A0F,409C1
58550,5842E,58451
4099E,40A4B,40C5D
58370,584F9,584EE
40A18,40AD0,40852
58441,582F5,58621
40CB2,40AA2,40BE4
5879E,5865C,58798
40CA3,40AA6,40E7A
5866C,5872A,586E4
40BB8,40DE9,40DE5
584C0,58538,5842B
40AA9,40A36,40BF1
5851F,585FA,58583
40C0F,40BAD,40C3F
586CB,583E6,58523
40ABB,40AFB,40DD5
586FD,58741,585EE
40BA6,40AC8,40BD1
58567,58646,5858C
40A90,409EE,40ADB
58650,585A3,58680
40C77,40B19,40D03
58444,584F8,5852D
40BC9,40B94,40BEF
586B3,586CD,585A1
40C44,40C65,40B4D
583DF,58271,5830B
409A2,40B0E,409CE
58473,58414,584E2
40ABB,408E2,40AE7
584F8,58593,58335
40AC7,40880,40A47
5833D,585C0,58390
40A48,40A89,40ABE
584C9,5836C,58382
40881,407D4,40930
582FC,582BE,582AB
40662,405C9,40643
57F7D,57E62,58076
407C3,406E8,40750
582DA,58014,58053
406E9,408DC,405B4
57F5C,5822B,57F5D
40497,40744,40378
57E0C,57E49,57F43
40424,40640,407E2
57F6C,58127,58152
405D5,40599,404E9
57FA1,57E7D,57F0A
40764,40518,406EB
57E1D,5814F,57F1B
40527,40742,40529
58143,582E3,58163
407BF,40801,404C2
5800E,581A0,57FB1
4050A,40437,403A9
57E94,57E6A,57EC4
40420,404CE,40486
57E65,57E52,58098
40466,40426,404BB
57F52,58016,57EBA
4042F,401E8,40346
57E00,57D37,57D86
402FF,401B2,402D2
57E08,57EDE,57D14
40314,403B7,401C7
57D88,57B96,57EA1
403D0,40392,40259
57BC7,57DED,57E3D
40758,406B9,4077F
57F66,57FF8,57FCC
404DC,4039D,40303
5801C,58222,57FB2
4052A,4049F,404CC
57E8F,57FC4,57FC9
404B0,405AF,406C1
5805C,57E4A,5805D
406AC,4064E,40558
580CF,57F5D,581A6
40641,4040C,404BA
57F73,580FC,580EE
40532,4052F,405D3
57FA8,57EE2,57F79
40434,402F7,404B6
57DA3,57FAF,57FB6
40673,4069C,40332
57D66,57F15,57FEC
404F5,404FD,405DC
58030,57EBD,57F10
403B2,404E8,4053D
57EE5,57DEA,57E43
40390,405D5,405BE
57EE3,57F30,580D8
4043A,405A4,4036F
57E0F,57E6B,57D71
403C5,402EF,40505
57ED0,57DF5,57FBB
4049B,403CF,402B6
57C4E,57F21,57CFD
403BC,4034C,40264
57A0D,57B04,57935
40929,40B6C,40B03
5846B,58443,5853B
409BD,40B62,40A18
5848F,585EC,585BE
408AC,408CD,40758
58261,58066,581AF
409FE,40782,408D7
58303,583AF,5824B
408D9,409D6,4076E
5829E,58194,5824B
409B7,40897,40855
58354,58301,58071
4086E,409B5,40803
58202,582C4,58478
408F7,4081E,40896
581CD,5819E,58455
405C0,40732,407DA
57FB5,5812A,58057
4064B,4083A,40667
58180,5818A,583CB
40818,40721,40852
5823A,581FD,581B1
408A4,40667,408A8
58194,58390,582DA
40801,40848,407D2
58218,58375,57FA0
406F6,40767,406BE
58303,580FC,582FF
40849,40692,40689
57F09,57F6D,57FF0
407AB,40784,4072A
58215,57F73,580C3
408A6,4080B,408CC
58142,5842F,583D3
4087C,408B6,4080D
5831E,58378,583C2
409F4,40B7A,40AE9
58487,58578,5863F
407C3,4088A,409BC
581F4,58271,584BE
407CA,4072C,40931
58329,58279,58193
408B7,407F7,40886
5828A,580EF,580F4
40884,406FA,409E1
580D5,58068,582A4
408F4,4065A,4075B
582D1,58284,58259
40779,407E5,4077C
5832B,58307,58317
4094D,4094F,40929
58328,5840E,5835A
4071C,40905,4082D
5825D,58271,58330
40670,40781,40747
5810B,58373,58236
4088B,4079A,406DF
58229,58053,5808E
40788,4052C,40700
5815E,57EDC,58040
4067E,4061B,406AB
58181,580F6,580E8
406CA,4060E,4030A
57F68,58033,580A1
40331,40353,40444
57E8E,57F1B,57DE7
40674,40501,404C8
57CA3,57DD1,57F80
405AA,403D3,4038C
57CF4,57DF4,57CB9
402B3,402B0,403D6
57DD5,57CE4,57EDE
401F4,40502,40371
57BF3,57BDF,57CFD
40214,40375,40262
579B8,57ED0,57DB3
403A0,402DE,40275
57EA5,57E34,57BDD
403F3,401A3,402B3
57D41,57DBD,57E16
40247,4036A,402C4
57AD5,57CFA,57E55
40211,4016B,40260
57A9F,57D1A,57C8E
3FFCA,4019C,40147
57C2C,57C18,57C69
402C3,402E6,4032B
57C04,57D35,57CC3
40216,400AD,400C3
57CCF,57DB1,57AE0
400A2,401FE,4032A
57D13,57CF7,57E99
401FE,402D3,401A7
57AFE,57BC2,57A79
3FFFB,4014C,3FF81
57D06,57A12,57B4A
403BB,404CA,40311
57D48,57E29,57F67
40496,40470,403E3
57D31,57D18,57C80
40193,402FB,402C0
57C51,57B03,57B1A
4018F,40256,4028E
57BBD,57CF9,57DCF
40117,40271,40283
57C7C,57ED6,57E23
403A4,401EF,40227
57B3D,57BBF,57C5E
402E8,402CC,401AC
57B8F,57A67,57C83
40154,40219,403C7
57DE2,57EC7,57E03
401CA,401E4,4035E
57BA6,57E58,57C30
40324,402F4,403EE
57BBE,57D14,57BFA
402FA,4031D,40216
57D32,57B09,57D0C
40425,4030C,402CE
57E5B,57F0A,57C79
403A0,401AF,40063
57BE5,57E00,57D4D
403BD,40464,4047E
57E7C,57F99,57E42
40229,401CB,40257
57CF3,57C6D,57D77
40225,40132,4032F
56E3D,56E81,56D46
406D5,405BE,404D0
580AF,57E10,57E63
405D2,4058A,405D2
58056,582A3,57F44
40675,40547,4051F
58059,581B7,58129
