{'CALIB_RAW_DAC_START_I': 655360, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 4, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
ACBE8,AC85E,AC9DB
C42D0,C4436,C4306
AC952,ACA5F,AC6E1
C448B,C4323,C450F
ACAF6,ACAA6,AC989
C4520,C434A,C4550
AC96D,AC9B9,AC9CE
C44AB,C421B,C45C5
ACA0C,ACB16,AC9F8
C4385,C432E,C4556
ACB87,AC986,AC93F
C445E,C4588,C4340
ACA73,ACA34,ACA4C
C43C6,C441D,C44B7
ACA42,AC8F0,AC8F2
C42D6,C4254,C4319
AC95C,AC8DD,ACA9E
C4414,C422A,C4400
AC75F,ACA54,AC839
C408C,C439D,C41BE
AC78D,AC96E,AC8E4
C4210,C4168,C4354
AC915,AC902,ACA20
C40F1,C42D5,C4276
AC8C7,AC866,AC7AB
C40B9,C419E,C42A5
AC71F,AC86D,AC849
C4164,C42DA,C432C
AC8E3,AC708,AC740
C42E4,C411D,C4008
AC4B0,AC688,AC6DE
C42F2,C42E7,C415B
ACA0C,AC873,AC8D9
C44D0,C44F9,C4506
AC9D3,AC9D8,AC851
C42D7,C45C6,C46B0
AC9C2,ACA04,AC938
C432B,C45B0,C43D8
ACA7C,AC983,AC9C7
C4438,C41FF,C4459
ACA54,AC9AF,AC9D6
C44B0,C43A3,C436F
AC7F3,AC9D3,AC798
C443D,C41CB,C4462
AC996,AC842,AC9AF
C4421,C4236,C4184
AC83A,AC8BE,AC928
C43CA,C436B,C436E
ACACD,AC7A5,AC9C4
C4444,C4317,C4300
AC9DF,AC862,AC863
C432B,C43E0,C4423
AC972,AC862,AC6D6
C4409,C428F,C42F7
AC8CE,AC9DA,AC7B7
C429B,C41EC,C43DC
ACA17,AC6CB,AC72B
C402F,C4182,C425B
AC8C2,AC67A,AC886
C4423,C4318,C42F4
AC909,AC816,AC8B3
C43A3,C4337,C432C
AC90C,AC89C,AC712
C4011,C414A,C3E7F
AC6F7,AC523,AC586
C3D5E,C4312,C4029
AC7CB,AC642,AC5C4
C4103,C402D,C3FEE
AC560,AC59C,AC4F4
C3FFE,C3F2F,C41E6
AC60B,AC606,AC5C1
C4003,C41BC,C4071
AC65E,AC40E,AC50A
C3EFB,C3FB1,C4160
AC233,AC39F,AC49B
C4071,C3DFF,C3FCE
AC613,AC517,AC4CB
C3E4C,C3F6C,C413D
AC5DA,AC5AE,AC52A
C3F40,C425A,C40FC
AC679,AC6DE,AC6B4
C3ED2,C404B,C406A
AC575,AC717,AC625
C3EB4,C4099,C3FAA
AC623,AC521,AC3A7
C3FD0,C3EAB,C3DA9
AC3ED,AC5D8,AC553
C4001,C3F8E,C3E3E
AC62F,AC320,AC3CF
C4060,C3ECA,C3EA7
AC4AC,AC3BC,AC401
C3E47,C4070,C3F38
AC1FE,AC448,AC307
C3CF1,C3B5B,C3D0F
AC16F,ABFE3,AC33E
C3D76,C3D09,C3FE3
AC4C2,AC4C8,AC555
C3F64,C3D8B,C3FE6
AC426,AC430,AC459
C3E2F,C3CEC,C3E80
AC304,AC280,AC41C
C3CE7,C3C4B,C3D64
AC21D,AC1BE,AC12F
C3D18,C3DB8,C3F17
AC375,AC3B0,AC306
C3D08,C3AF3,C3C8B
AC2FC,AC36D,AC559
C3D3E,C3D73,C3C22
AC1E6,AC2B3,AC0C3
C3BD7,C3A26,C3C12
AC0C9,ABF09,AC2D8
C3CA6,C3E95,C3DD8
AC310,AC392,AC1DC
C3CF9,C3ECD,C3E0A
AC24C,AC1D6,AC35B
C3B78,C3B8C,C3C4C
AC49F,AC179,AC3DD
C3C07,C3DCF,C3CAC
AC2D9,AC2F3,AC275
C3D35,C3F15,C3CE1
AC4F8,AC35B,AC3A4
C3CD6,C3E4F,C3BA8
AC2B1,AC2E7,AC21A
C3FED,C3D44,C3C60
AC13C,AC328,AC3EA
C3D0A,C3F0C,C3D33
AC325,AC1B8,AC23E
C37D3,C3924,C373D
AC854,AC6E0,AC823
C4341,C412B,C42BA
AC8AD,AC93F,AC851
C41A7,C42A8,C4039
AC59E,AC5AE,AC72B
C406D,C420F,C409E
AC6F7,AC585,AC507
C4151,C410E,C40C5
AC713,AC6E8,AC745
C4164,C4062,C3F8B
AC62E,AC793,AC6F5
C414A,C4083,C41CF
AC71E,AC620,AC4D0
C4269,C4204,C4156
AC7F8,AC7F5,AC631
C4216,C41E6,C4239
AC86C,AC72A,AC7F6
C400B,C4185,C4000
AC58C,AC684,AC7E5
C426C,C4233,C422C
AC884,AC5D2,AC4FC
C41A8,C4040,C40AB
AC7F4,AC5E9,AC905
C4261,C4317,C42F6
AC835,AC6EC,AC8BC
C4084,C3FA9,C4169
AC719,AC696,AC5FD
C4151,C429F,C4042
AC7B1,AC78B,AC6B9
C4110,C4168,C418A
AC886,AC834,AC690
