{'CALIB_RAW_DAC_START_I': 688128, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 4, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
D315F,D30DF,D2F1B
EAA4C,EA9E6,EAAE0
D308A,D2FD2,D2F4C
EAAF9,EAB09,EAB5A
D3228,D2F8F,D2FF5
EAB25,EA8D1,EAA67
D3273,D30CF,D30AC
EAB39,EABBB,EAB31
D3097,D31E0,D31FA
EA964,EAA07,EA985
D2FC9,D3232,D2F14
EA971,EAAF6,EAA35
D317A,D308E,D2FF3
EAC26,EAB09,EABC3
D31E7,D3021,D31FA
EAC83,EAA4D,EABAB
D310B,D30C9,D2F80
EA75E,EA9BC,EA9C6
D30CD,D2FF2,D31BC
EABEA,EAAEE,EA9FE
D3157,D301B,D3100
EA948,EAB98,EA9BB
D2F93,D2E93,D2E04
EA8B5,EA792,EA961
D30DF,D3144,D2F77
EA91C,EA9B5,EA9DB
D2D7B,D2ECB,D30B8
EA898,EAA6E,EA948
D2EB2,D2E93,D2F56
EA7DD,EA84E,EA765
D2E7B,D2D8C,D2E5A
EA751,EA90B,EA8E5
D2F84,D3129,D3053
EAA4E,EAB38,EAA2F
D3098,D2EFB,D2EA9
EA993,EAAB2,EA9A0
D2F0B,D3009,D315F
EAA91,EAB1B,EAAF4
D2FC8,D3064,D2EC7
EA8FA,EA9F4,EAA4A
D30BA,D2C3D,D2EAE
EA8E2,EA84E,EA87E
D2FEE,D2E66,D300F
EAAA3,EA9C0,EA9F9
D30DA,D2ED0,D305E
EA9CD,EA90A,EA8A1
D2FF0,D2CBD,D2D03
EA7B8,EAB0A,EAABE
D2E57,D2FE2,D2F2C
EA81A,EA7C7,EA78C
D2D69,D2E56,D2D87
EA665,EA88F,EA975
D2D80,D2CA8,D2D8A
EA729,EA82C,EA717
D2F06,D2CD1,D2FB5
EAA29,EA9FA,EAAC1
D2D04,D3017,D2EAD
EA926,EA5F9,EA8FC
D2E81,D2E08,D2D61
EA78A,EA8AA,EA8D4
D2EE9,D2D2E,D2D42
EA7F0,EA763,EA70E
D2B12,D2C44,D2B62
EA650,EA588,EA63F
D2A3D,D2A63,D2B7D
EA4C7,EA401,EA513
D29F0,D2B32,D2AD4
EA646,EA537,EA739
D2BA4,D2AA5,D2A48
EA42E,EA5EE,EA3CF
D2BAC,D2C45,D2BD7
EA705,EA5DF,EA6D7
D2C02,D2C6E,D2CFB
EA4F6,EA526,EA4F3
D2B0C,D2A55,D2968
EA33E,EA71D,EA6C2
D2B21,D29AF,D29BB
EA5BA,EA454,EA5B6
D2972,D2AB8,D2B6A
EA7C6,EA556,EA5ED
D2A51,D2B73,D29A7
EA3E3,EA3CA,EA399
D28C5,D2AE1,D2847
EA303,EA382,EA3D7
D2938,D29EF,D29EB
EA317,EA256,EA510
D29F2,D29D6,D2A38
EA39A,EA3AE,EA2FF
D2AA7,D2B22,D27FF
EA2DE,EA2BB,EA278
D2771,D2813,D26DB
EA2E0,EA2EE,EA1DA
D28D6,D2772,D2619
EA2F1,EA2D8,EA3B6
D28CC,D2841,D2891
EA5F1,EA565,EA3D0
D2CE6,D2B71,D2CE4
EA5B6,EA4DA,EA447
D29DC,D2A2E,D2B71
EA5D7,EA6F9,EA61C
D2AF3,D28D7,D29EC
EA25B,EA315,EA339
D2C57,D2B6F,D2A4E
EA3F1,EA488,EA3AC
D2A88,D29FA,D2B01
EA3F1,EA3C1,EA4A6
D287E,D2A62,D29E1
EA3C7,EA2F4,EA549
D2AF3,D2A34,D28F0
EA2E0,EA47C,EA1AF
D2902,D295B,D2ABB
EA347,EA528,EA40A
D2893,D28D7,D290F
EA384,EA4C4,EA267
D2A16,D2837,D2A81
EA532,EA2EC,EA4FF
D2A4C,D2966,D2A07
EA1D7,EA094,EA20A
D28A1,D2929,D2920
EA387,EA4FD,EA5B7
D29DA,D288C,D289E
EA2DC,EA32E,EA2AB
D2B2F,D28B2,D274F
EA41C,EA301,EA2CB
D295C,D2857,D29AF
EA3CF,EA33E,EA3A7
D291A,D2933,D26FB
E9FD2,E9EA1,E9E29
D2E14,D2ECD,D2F52
EA791,EA800,EA8F0
D2CDB,D2EE7,D2CA9
EA989,EA7EE,EA929
D2E90,D2FF8,D2C7A
EA7E4,EA7A7,EA969
D2E2E,D2F0A,D2E2D
EA728,EA58D,EA762
D2D73,D2F14,D2E1F
EA5DA,EA80B,EA6BB
D2DBA,D2DB4,D2CAC
EA777,EA61F,EA6A6
D2DDC,D2D62,D2CF7
EA873,EA4D8,EA7B5
D2B90,D2B9A,D2B74
EA7C7,EA745,EA549
D2E29,D2AFE,D2C33
EA4A7,EA6A0,EA64A
D2C67,D2B03,D2D8F
EA6EF,EA71B,EA5A9
D2C42,D2D6E,D2AA1
EA46D,EA5C2,EA4B9
D2A19,D2C5E,D2BBF
EA5AB,EA4D4,EA71B
D2ABC,D2C6E,D2A96
EA686,EA607,EA556
D2AD8,D2B20,D2B79
EA56E,EA62E,EA5E0
D2B06,D2AEA,D2BB6
EA4CD,EA67D,EA488
D2BEA,D29CF,D2C23
EA6B8,EA70C,EA6BC
D2D4A,D2E52,D2E79
EA833,EA6C0,EA73D
D2D06,D2B8A,D2CFB
EA81C,EA8E7,EA830
D2C38,D2BD0,D2DA1
EA8CF,EA6B8,EA6B0
D2D3F,D2D4F,D2C16
EA823,EA7F0,EA81E
D2C49,D2A29,D2D35
EA78A,EA717,EA781
D2D7D,D2CAE,D2C36
EA615,EA69E,EA6A3
D2C9B,D2CC6,D2C53
EA6AD,EA670,EA8FD
D2C02,D2BCE,D2BE0
EA6CF,EA82A,EA8DB
D2E46,D2D10,D2CED
EA68F,EA623,EA651
D2AFC,D2AEF,D2A2B
EA5F6,EA706,EA6B8
D2CC6,D2BCA,D2C46
EA7E6,EA8A3,EA65C
D2C9B,D2BCC,D2AB9
EA4DA,EA664,EA4EE
D2B91,D2B36,D2E3A
EA5DA,EA59A,EA6A7
D2BF5,D2A8F,D2C56
EA6D3,EA6B0,EA535
D2B30,D2B8E,D2C4E
EA671,EA511,EA588
D29EB,D2A27,D2AA8
EA412,EA6E5,EA689
D280E,D28AF,D282A
EA31B,EA37D,EA1DA
D2B11,D281E,D2A91
EA4A4,EA3C0,EA23B
D27AB,D2816,D2812
EA0B3,EA11F,EA2BF
D286E,D28E6,D277F
EA1AB,EA20C,EA25C
D282B,D2854,D2688
EA244,EA281,EA00F
D26A4,D28BF,D2658
EA2B2,EA202,EA222
D25E0,D2515,D250E
EA0B0,E9FC7,EA2A3
D27F4,D252B,D25ED
EA145,EA17B,EA36B
D28C0,D26A2,D27F9
EA3B7,EA097,E9F6C
D25B3,D27BC,D2481
E9FFF,E9EDD,E9F56
D266D,D24BE,D25F4
E9FEC,EA017,E9EDC
D2299,D2660,D251B
E9FF6,EA164,EA0C8
D24EC,D2566,D25C5
EA0C1,E9F31,E9FE8
D25FD,D2478,D2641
E9FF5,E9EC9,E9FD8
D270A,D262F,D251D
E9FA0,E9FEF,E9E2E
D2549,D2339,D2522
E9FCD,EA0BE,EA229
D2760,D2754,D28A5
EA17A,EA2BE,EA28A
D2942,D296D,D253F
EA422,EA2AA,EA220
D265C,D256F,D2677
EA1C9,EA0EE,EA0E3
D2659,D27FB,D287F
EA053,EA0BE,EA22C
D2898,D26A2,D294B
E9FB2,EA235,EA054
D24A7,D257D,D26F6
E9F9F,EA297,E9FDB
D25AF,D25A7,D277B
EA1FA,EA0D9,E9F54
D2624,D2721,D258D
EA076,EA077,EA1F2
D2684,D255C,D24F7
E9E19,E9FE1,EA346
D261F,D2769,D27B1
EA077,EA0A6,EA18F
D27B3,D25FE,D24E5
E9F0E,E9F6C,EA1EC
D2567,D2538,D24CB
EA0E3,EA126,EA10B
D283D,D2714,D2573
EA098,EA074,EA020
D2625,D2687,D23D1
E9E58,E9FC9,EA07A
D245E,D266C,D2534
E9F70,EA148,E9F1A
D2788,D25E5,D25EE
E90DA,E925D,E93EF
D29F6,D28C3,D27C2
EA209,EA1DE,EA57D
D2A0F,D28B8,D295A
EA482,EA4EF,EA5AE
D283D,D2AAC,D28EA
EA410,EA407,EA454
D2A6D,D29BC,D2C0D
EA597,EA4FD,EA298
D299B,D2A2B,D2B07
EA203,EA29C,EA452
D2A3B,D296D,D29D9
EA378,EA411,EA3A7
D28BD,D2AC9,D2A41
EA226,EA217,EA3C0
D275C,D2734,D27F9
EA4EC,EA41A,EA33E
D290A,D2888,D2A32
EA2DA,EA3A7,EA2EE
D29E7,D29E4,D2888
EA422,EA398,EA3E8
D29C1,D2892,D2769
EA16F,EA203,EA309
D278C,D287D,D2608
EA2E7,EA445,EA313
D2928,D2885,D28C2
EA28D,EA3DE,EA226
D2A45,D2915,D2975
EA3A2,EA2C0,EA407
D289F,D2836,D296B
EA108,EA17F,EA1A9
D29F1,D2831,D28D1
EA270,EA12F,EA45E
D2B5D,D2AA0,D28FE
EA465,EA55F,EA4A8
D2ABA,D2C35,D2BDD
EA49A,EA492,EA573
D2C37,D2A07,D2BBE
EA3D9,EA4FB,EA423
D2951,D2780,D28EF
EA375,EA41D,EA4BC
D2983,D29CC,D2B36
EA4E7,EA392,EA43C
D296C,D2930,D2ACA
EA365,EA3F4,EA19D
D276C,D2894,D2ACB
EA223,EA436,EA3DB
D276F,D2846,D294E
EA4B3,EA321,EA281
D28AB,D285C,D2895
EA1B9,EA223,EA2A8
D286D,D277F,D2A2B
EA1B1,EA1FA,EA2D7
D2906,D2731,D2953
EA2BA,EA28F,EA279
D26AB,D27F9,D2746
EA2CA,EA286,EA1E7
D27CA,D257F,D2787
EA2B2,EA136,E9FE1
D268E,D2664,D263C
EA204,EA25A,EA0FD
D274F,D25BF,D2713
E9FA7,EA095,EA12D
D263E,D254D,D2699
EA0CB,EA116,EA01D
D2322,D227E,D23A0
E9D7F,E9E3B,E9EBA
D22C4,D2316,D2412
E9BB4,E9D71,E9C78
D231E,D2421,D2509
E9F05,E9C1B,E9E29
D22EF,D23CE,D2384
E9EBA,E9E39,E9EB4
D2290,D2128,D21B5
E9CEE,E9DB2,E9C00
D2242,D24B8,D22D0
E9D40,E9FA8,E9D28
D2501,D2286,D22BC
E9BD9,E9CEB,E9C66
D2160,D230F,D2126
E9D5A,E9E89,E9B6F
D21B0,D2222,D2280
E9B9D,E9DFA,E9B2E
D205B,D2026,D223A
E9C80,E9BF3,E9BE5
D22C9,D21CE,D20E6
E9AE0,E9D3D,E9BBB
D2369,D2131,D234C
E9E01,E9C9A,E9C57
D2254,D220D,D21FB
E9C31,E9D48,E9B18
D219C,D2254,D240E
E9C94,E9D3C,E9AC6
D22B0,D22D0,D2205
E9BA5,E9D30,E9BE7
D2117,D2233,D2167
E9BE6,E9C83,E9BFA
D24C3,D234B,D2419
E9D44,E9E9F,E9DE3
D22F0,D2590,D2369
E9C57,E9E30,E9DC1
D2343,D242F,D24DC
E9EB2,E9D85,E9E25
D25B3,D2360,D237E
E9F12,E9F45,E9D24
D22EC,D2148,D220E
E9D1E,E9E36,E9B8F
D21F6,D204F,D2033
E9C00,E9E0A,E9D1C
D2258,D220A,D2282
E9DCB,E9DD1,E9CC4
D22B4,D247A,D2332
E9FD1,E9DCA,E9DE4
D24A0,D2403,D2617
E9BCC,E9C5E,E9D1E
D239D,D214C,D23AD
E9D4F,E9B7D,E9E34
D225E,D20FB,D2234
E9BBE,E9BE9,E9D82
D2250,D2141,D20DC
E9A20,E9CBC,E9BF4
D20CD,D2148,D21B8
E9D75,E9E64,E9D72
D211F,D221B,D21A9
E9D2D,E9B6C,E9C7C
D2240,D213A,D21ED
E9DDE,E9B09,E9B3B
D20A0,D2112,D20FF
E978F,E98CA,E974F
D26C6,D2764,D26A8
E9F8C,EA1BD,E9FEB
D2856,D286D,D27D6
EA177,E9F69,EA304
D271E,D26C0,D26A7
EA1EA,EA1E6,EA24C
D24B5,D265A,D2734
E9FF7,EA11B,EA334
D26E3,D264E,D2616
EA048,E9EFD,E9F30
D253A,D260A,D26BC
EA1BD,EA19C,EA123
D271B,D2788,D25A6
EA014,E9F31,E9E7C
D23A5,D2560,D25C4
EA0B7,EA216,EA03D
D26D3,D258D,D25B6
E9F50,EA0BA,EA082
D2579,D25B9,D2620
EA158,EA0D1,EA154
D2610,D25D9,D2545
EA111,EA010,EA036
D279B,D25CD,D25A0
E9F74,EA252,EA233
D250C,D2671,D256D
EA058,E9FB0,E9F7E
D26BC,D24E5,D25D2
EA0B3,EA153,E9FBA
D2493,D2680,D24AB
E9E9C,E9F2F,E9E8B
D23CE,D23A5,D24EB
E9DDD,E9D93,E9F25
D282B,D2805,D25DA
EA151,EA220,EA1E0
D26A8,D24B4,D25EC
EA0D0,EA1B2,EA215
D25A0,D268F,D25AD
E9E40,E9F47,EA028
D2611,D2621,D24F5
E9FC6,EA050,EA1D4
D2619,D25E8,D23F9
E9E4E,E9FC7,E9FAC
D25E6,D24B7,D2633
E9F82,E9EF0,EA02D
D2594,D2608,D2636
E9F68,EA121,E9FE3
D262E,D23DC,D24F5
EA108,E9FA1,EA0A0
D23A9,D2623,D25DC
E9F1A,E9FD5,EA187
D25B4,D26A9,D25C4
EA0BE,EA02D,E9FCE
D26EE,D26EA,D2497
E9F9E,E9FFE,E9F60
D2546,D2533,D269B
EA1A9,E9FEB,E9F6B
D24F8,D25C7,D25D3
E9DB9,E9ECF,E9F63
D2420,D22F7,D2505
EA082,E9EF8,E9F5A
D2524,D24BD,D23F8
EA054,E9F56,E9FD3
D23AC,D249E,D21CB
E9DD8,E9F03,EA087
