{'CALIB_RAW_DAC_START_I': 720896, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 4, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
F6B46,F68E8,F6A11
10E368,10E30E,10E2F9
F6AC7,F6B17,F6A10
10E24B,10E493,10E265
F6A11,F67C7,F6C82
10E444,10E583,10E359
F6A5A,F6A60,F68D8
10E20B,10E329,10E409
F69D7,F698D,F68C0
10E36A,10E332,10E34D
F6A28,F68E2,F699D
10E41A,10E437,10E4F3
F6944,F6A26,F66DF
10E339,10E205,10E34A
F68A9,F6812,F67F6
10E341,10E429,10E447
F6939,F6929,F69CF
10E2D0,10E242,10E15D
F6874,F689E,F685B
10E1ED,10E281,10E224
F69C9,F685A,F67D2
10E1FF,10E21D,10E0F1
F68EF,F677D,F691F
10E378,10E1C1,10E3DB
F6964,F6997,F65F5
10E0E7,10E16B,10E27D
F673D,F6675,F6666
10E1EF,10E2D4,10E2F6
F669B,F670E,F6782
10E178,10E1AA,10E0AA
F6706,F6734,F6652
10E2F3,10E0CF,10E2DB
F68BA,F6893,F69E4
10E34F,10E1F7,10E326
F6842,F6999,F68A5
10E29B,10E1C7,10E2B2
F6774,F68A5,F687F
10E274,10E289,10E2F4
F6936,F69A2,F66B3
10E18E,10E16E,10E3AE
F67E4,F68E2,F6BBD
10E33E,10E338,10E33E
F67F3,F6554,F689F
10E395,10E20A,10E359
F67DA,F662E,F65EC
10E27E,10E1D3,10E2A4
F67C4,F6818,F6739
10E32A,10E3B0,10E4A5
F695B,F697D,F69EA
10E210,10E331,10E1C3
F68C0,F66F7,F68E6
10E286,10E3A4,10E248
F6870,F67EB,F674F
10E2D2,10E26A,10E251
F69A1,F68F9,F66A4
10E1F4,10E296,10E23A
F6990,F6858,F6940
10E0A3,10E296,10E1B1
F6777,F671D,F6821
10E271,10E2BF,10E1DF
F6643,F6744,F6665
10DFE3,10E017,10E2EB
F66BA,F6840,F67BC
10E0E2,10E074,10DFA6
F6576,F64A6,F64F2
10DCA8,10DBFC,10DD7C
F6527,F638E,F63BC
10DC92,10DCA4,10DCED
F6372,F6218,F631D
10DE03,10DC94,10DC5F
F622F,F61FF,F618C
10DDFB,10DC9A,10DDD1
F631E,F631C,F6478
10DE2D,10DD3D,10DE0F
F6349,F6393,F62B9
10DCEA,10DBEB,10DEEF
F6052,F6131,F61AF
10DCF3,10DD60,10DDE6
F6386,F639D,F630C
10DDDC,10E017,10DEE0
F62BD,F6216,F63FC
10DE61,10DD47,10DD91
F6365,F632F,F62BC
10DE22,10DE84,10DDD8
F649A,F63E0,F6312
10DDC6,10DD2D,10DEB7
F655B,F61D6,F6176
10DF4C,10DBEE,10DCAE
F6197,F6174,F60E6
10DEFD,10DC22,10DD1D
F6268,F628A,F6326
10DC77,10DD21,10DB9D
F6103,F610A,F6182
10D90C,10DC5D,10DA73
F618B,F5FA6,F60DF
10DBFB,10DCDE,10DD04
F66C1,F64CD,F6515
10DF41,10DE84,10DE65
F6357,F62F8,F6195
10DF2C,10DF29,10DC7A
F645E,F62C2,F62D3
10DD46,10DBB7,10DE01
F63EF,F62C0,F64EB
10DEA8,10E000,10DD7B
F64CD,F6452,F6319
10DC72,10DC24,10DF91
F63D3,F64E5,F641F
10DCA9,10DD9F,10DC82
F6339,F6183,F62EE
10DD68,10DB99,10DBCE
F6273,F6329,F61CA
10DDA3,10DCCC,10DE10
F6259,F6189,F625E
10DDEB,10DD6C,10DC0A
F62D0,F61D6,F61F3
10DC31,10DE0B,10DCF8
F62B8,F62CD,F62B0
10DD59,10DE8F,10DCCE
F63AD,F6398,F6351
10DBEA,10DCEA,10DC38
F645B,F6223,F6449
10DBE3,10DB00,10DB7E
F6196,F616F,F6222
10DD45,10DD74,10DB22
F61B6,F5F9E,F60E3
10DAA0,10DA24,10DB21
F5E71,F60B4,F60CE
10D5F3,10D80F,10D72D
F64CC,F66F9,F65A3
10E17D,10DFE8,10E1C5
F6630,F676A,F65F2
10E078,10E03D,10E0D8
F6695,F6546,F63E3
10DF9C,10DDCD,10DE8B
F650B,F6451,F667D
10DF51,10E226,10DFEE
F64BC,F6554,F6555
10DEDC,10E04E,10DE2C
F6703,F64CB,F65EC
10DE57,10DF23,10DF76
F6442,F64B2,F645D
10DE05,10DEEB,10DE8C
F6392,F64AD,F6553
10E039,10E16D,10DF77
F64E6,F655B,F6577
10DD90,10DEB8,10DF7F
F6473,F653D,F659C
10DFF3,10DDC4,10DDCD
F6570,F637D,F66CE
10DE8F,10DC18,10DCA5
F64DD,F6689,F64E5
10E099,10DE6B,10DD65
