{'CALIB_RAW_DAC_START_I': 753664, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 4, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
11C6D8,11C871,11C715
134123,134101,13401E
11C835,11C74E,11C6CF
134127,13410F,13427A
11C68B,11C5AB,11C591
133FDE,133FBA,134035
11C4CD,11C734,11C5ED
134123,1340F4,133F57
11C770,11C652,11C72E
1341D4,13414A,134362
11C6B5,11C652,11C6E1
134209,13421C,13407A
11C720,11C7F9,11C5FC
13407F,1341D6,1340DF
11C72C,11C687,11C659
1340CC,13417B,134154
11C717,11C55D,11C721
133F48,133DE5,13402F
11C79A,11C5F1,11C5D0
13405C,134122,134065
11C78E,11C5D5,11C55E
133DBA,134015,133EF0
11C58B,11C4A6,11C365
134168,134170,1341D3
11C49F,11C625,11C56F
133E27,133EB8,1341B5
11C5AE,11C64F,11C7D9
1340B6,133F5F,13400F
11C542,11C487,11C6D0
133F97,133F97,133FE0
11C63A,11C44E,11C4CA
133FA3,13412D,133F39
11C815,11C69D,11C81A
134340,1340FE,134177
11C5D2,11C5D7,11C714
134206,133F41,134105
11C566,11C870,11C5E1
13403C,1341CD,134077
11C646,11C481,11C556
134087,134024,1340F6
11C63C,11C55A,11C6D8
13404A,13406E,134060
11C60C,11C5FF,11C57D
134182,1340C1,13405D
11C544,11C2E4,11C520
133E21,133FEF,133EDF
11C4FC,11C63A,11C430
1341E0,133F29,133EEF
11C4EF,11C652,11C685
133FA9,133E10,13404B
11C739,11C694,11C650
134157,133ED2,133F6A
11C3B7,11C5A4,11C472
133DF6,133F16,133F94
11C33F,11C67E,11C4BA
133E63,134030,1340BC
11C40E,11C4B6,11C519
13408D,133F9C,13415A
11C427,11C6A3,11C4F9
133D38,133FBF,133E11
11C449,11C4FC,11C566
133CD0,133F4A,133DBB
11C339,11C42A,11C08B
133C82,133DA9,133CA6
11C0A1,11BFCA,11BFD2
133BB4,133BE2,133A38
11C0E0,11C106,11C2E7
133A86,133C71,133BA2
11BFF6,11C100,11C0E9
133CD0,133B4E,133AF6
11BFA6,11C078,11C147
133C0C,133AFE,133B37
11C19F,11C0FA,11C0D3
133A1A,1339F5,133A93
11BFBF,11C098,11C02E
133AEF,133C60,1338F5
11C064,11C04C,11C08F
133A7E,133B7B,133B70
11C0A4,11C23B,11BFEC
133BFA,133E6B,133BFD
11C1D8,11C038,11C3A3
133B3A,133D1B,133C7D
11C1C9,11C255,11C0DB
133A38,133B1A,133B86
11C0C1,11BF16,11C0E7
133BDD,133B6C,1339D5
11C101,11C13B,11BE71
13396E,133A39,133B31
11BE10,11BE3B,11BFCE
1339BA,1336EE,13382E
11BFFE,11BEF7,11BF72
1338FC,1339C9,133853
11C008,11BDF2,11C019
1339F6,133838,1338FD
11BFA7,11BF42,11BE08
133825,1339A6,1338E8
11C1DC,11C05F,11C153
133BF4,133AFF,133CBC
11C02E,11BFD3,11C187
133B6E,133A90,133A37
11C0F1,11C1A6,11BEF8
133980,13396A,1339F8
11BFEE,11C074,11C0D2
133AED,133C41,133BA1
11C14B,11C197,11BF6A
133A66,1339D0,133A95
11C02F,11BE82,11C16C
133ABA,133BD1,133AF1
11BF6B,11C02D,11C071
