{'CALIB_RAW_DAC_START_I': 786432, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 4, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
141315,14148D,14161E
158FFB,158DCF,159084
14153F,1414EA,141428
158EA1,15907D,158F35
14124B,141470,1412A6
158DC3,158DB6,158E98
141539,141332,14128B
158CD7,158DEA,158EF9
141334,14128F,1411F3
158BFB,158C3B,158D93
1412FB,141382,141278
158B6F,158E0E,158D96
141200,141314,14139F
158C18,158C2D,158E2A
1412C4,141222,1411EE
158BD2,158DD8,158DB6
141362,14139E,141119
158BF5,158B5C,158D8F
14108C,1412C9,1412CA
158C76,158AE2,158D00
1412D0,1413F6,14127D
158BDE,158AD6,158BC2
141633,1411A7,1412B5
158C3D,158C59,158E9B
141319,1412A2,141159
158A1E,158D26,158D0E
141326,14131B,1412B2
158B9F,158D22,158DB6
141438,141130,141209
158D69,158D61,158DCD
141297,14133D,1410D6
158BFB,158E74,158E25
1415D2,141451,141572
158FA6,158F5A,158E2C
141429,1412CB,1412C1
158DC4,158ED9,158E6F
1414C9,14138A,141220
158DA3,158D45,158E46
1413AA,1412DC,1412CF
158FA7,158E84,158D67
1414C2,1411CB,141200
158E05,158E87,158D88
14129F,14131D,14120F
158D18,158BF2,158EA9
141147,14126A,14130C
158CBA,158EEE,158F2E
141439,141260,14145C
158DE4,158F52,158F04
141391,1412D7,1413C9
158D8F,158E6A,158D82
1414FC,141234,1413E7
158D13,158F0F,158CE8
141225,1412AA,1414F5
158BAE,158CC3,158CB3
14129E,1410B5,14114E
158D0C,158D01,158C34
1413F9,1412D3,141378
158D6F,158BB5,158C2F
141244,141243,1412B8
158D71,158CFF,158CF7
141354,14111A,141281
158CF8,1589FE,158A4C
1410BD,14123E,14117E
158A99,158A04,158B21
140E67,140F10,140F54
158A2D,1588D3,15894F
140E90,140D9C,14102E
158B1B,1588F3,1587E3
140E07,140E34,140E4E
1588AD,158849,158755
140F1B,140FA0,140DD6
15883C,15885B,1588C0
140E3C,140DCD,141135
158831,158951,15872C
140E5A,140E89,140C57
158819,158965,158950
140EE8,140DEB,140CC2
15883E,1587CC,15879A
140CBB,140DFB,140D4A
15890B,158910,1587EE
140F19,140E94,140F1E
1588B3,1587D0,1586E6
140F58,140C62,140C35
1586F3,1585E9,1586F2
140B02,140DB9,140ADA
15855E,1587DF,1586D7
140D81,140AFC,140C6D
158769,1587D6,15888F
140DF8,140E3C,140D41
158680,1586F1,1585D2
140B49,140C30,140B1F
15877B,15860B,158810
140EA2,140E44,140D2C
1585B7,158697,158546
140B27,140C78,140A55
158700,15884E,158727
140D5C,140E1F,140E42
15879A,158801,1588D7
140D46,140E88,140DF1
1588A2,1586FD,158916
140E28,140F8A,140D99
158728,1585E5,1587DC
140F1C,140EC9,140E59
158A63,15875B,1585B8
140FAD,140C3A,140D4D
158819,15885B,15892C
140E55,140D96,140EC2
158806,158800,1589C7
140C9E,140D8B,140D5F
158768,1588DF,158832
140C10,140C36,140CF7
15865E,1587BF,158854
140E2C,140DA7,140E7C
15891E,15867D,15888E
140E8F,140E5F,140B88
158686,158985,15877D
140E59,140D8F,140D1D
158717,1589AC,158971
140C35,140C5F,140D86
1587E5,158712,15886C
140D05,140CEF,140E1A
1585D6,1587E8,15874F
140D96,140BCF,140E1E
1587BC,15874D,1586A1
140C50,140B2E,140CB9
158591,1585CD,1588E8
140CAD,140B09,140CB6
1581C5,1582CB,158314
1413A8,141521,1412E4
158D7C,158A68,158D57
14122B,14129B,141312
158C27,158BC7,158D6E
141161,141111,141202
158A0F,158A20,158C17
14105F,140E09,14111E
158B4D,158C63,158A8C
141203,140F37,140FF2
15890C,158C22,158A3E
14113F,141052,140F93
1589F4,158AFB,158B8E
140F60,141071,140D6B
158918,158BA4,158A44
141034,140FCA,140FB4
158C24,158C99,158D39
1411B0,1410BB,14122A
158AA1,158A3C,158D24
1410A2,140F24,1412D4
158C5C,158C83,158D41
14105A,140F7E,1410F3
158B55,158CB1,158C0C
141047,140F5D,1410AE
158B49,158B89,158C04
14103E,141038,14105D
158C54,158C01,158B01
1411CF,140FCE,140F37
158999,158869,158A7E
141116,140FA5,140EF3
158956,158961,1589D7
140FF0,140F53,140F89
15898D,158B2B,158905
141277,14117F,141369
158C3C,158C2D,158B91
1412C7,141283,141058
158C44,158BFE,158B87
140FFE,141112,141108
158BA7,158BC0,158A87
140F21,141129,140E5B
1589B7,158CA0,158D10
141202,140F43,1410C0
1589FF,158B4C,158BA0
1410F6,140FA6,1410CB
158C3C,158B64,158B57
140FEB,141157,141027
158A44,1588EB,158A0B
1410B6,140F3A,140ED6
158B12,158BAE,158C06
14111B,141002,141087
1589BD,158BD4,1589E5
141027,1410C6,140F63
158B29,158AEE,158A18
141105,140F93,140E69
1587E4,158B01,1587DF
140E82,140F01,140EEE
158B53,158A18,158B3B
140F88,140F48,140E27
158A0B,158AEF,1588A7
140E0F,140D70,140EF0
158898,158A19,158A32
141087,140F76,140F1A
158934,1588E9,1589A5
140CCD,140EE0,140E53
1587FB,1589E1,1589D8
140C77,140AEF,140D1C
158491,158477,158564
140AA0,140B30,140D9B
15861A,15859B,1585DB
140B12,140B20,140D23
158447,1583E2,158626
140DE4,140950,140A64
158581,158687,158623
140B8A,140B84,140BB1
158503,1585B5,1584E9
140A30,140BA5,140C88
158530,1586AC,158611
140C80,140A2C,140B34
15856A,15858D,158611
140B16,140A1E,1409E1
15852F,15870B,1585A1
140CAD,140A03,140A66
158650,158606,15850F
140B65,140A7C,140995
15845F,1585BE,158347
140B19,140B83,140B6F
1585EB,1585A5,158288
140AA1,1408AB,140AE4
158444,1585EA,158566
1407F5,140AC3,140926
15825B,158396,1583D8
14074C,140980,1407EC
15824D,158385,158337
140B12,1408B2,140AE5
158151,1582A7,1582BA
1407DA,140793,14085A
1582C1,158546,158213
1409CB,140B09,140B3C
15859F,158692,158695
140BC8,140BE5,140D2F
15840C,15862D,15862E
140A95,140A7C,140950
1584AA,1583F1,158497
140B29,140A52,140B90
1584F7,15872B,158615
140AAF,140AE6,140B7C
158305,1584B6,158448
140A45,140AF6,140A11
15824A,1584AF,1586A3
1409CA,140D1B,140D36
15839B,1584C2,1584E6
140B4A,1409A3,140A09
1586AB,158620,1585B9
140AC3,1409C0,140AB2
15822B,158322,1583B1
140AF7,14099F,1408B5
158466,15836E,1583EE
14088F,1408C2,14089C
158437,158417,1583E2
140ABB,140828,140847
