{'CALIB_RAW_DAC_START_I': 819200, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 4, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
1653F5,165572,1656B8
17CD52,17CCE7,17CE04
16542B,16549F,165560
17CE5A,17CD18,17CFBA
1653A0,1655A1,1654EA
17CFC9,17CE06,17CF40
165265,16532D,16550C
17D004,17CEB1,17CFC6
165493,16526E,16546D
17CEE7,17CDF5,17CE20
16534A,165306,1656B7
17CD85,17CEDF,17CD50
16546A,16541C,1653E4
17CBC7,17CEA3,17CD08
165292,165395,1653A8
17CE6B,17CD20,17CD12
1654BE,16528A,165494
17CD5B,17CE82,17CCB5
16526D,1652BB,1651D6
17CE2C,17CD7A,17CCF2
165390,1653F2,165480
17CD9F,17CC6E,17CC0F
165337,165292,1652AB
17CD41,17CCFA,17CEB9
1650D5,165171,16526E
17CDD5,17CCE5,17CD32
165241,1651F8,165306
17CCE6,17CB76,17CEC8
16501C,1652A2,165287
17CB8C,17CB6F,17CBF4
165416,165215,165230
17CCBC,17CC50,17CCC9
16547C,1653F1,165473
17CEC4,17CF34,17CF1F
165325,165438,1654AD
17CDB7,17CD9A,17CFE3
165310,165458,1654C4
17CAC3,17CDC0,17CDA5
165311,165389,165366
17CE1F,17CE3D,17CD26
165298,16514E,1653BD
17CB7A,17CA98,17CC7B
16522F,16549F,16514C
17CB27,17CC7F,17CD9A
16543E,1651CF,165340
17CC95,17CC13,17CC51
1650C5,1654B5,1650F8
17CD7B,17CCE0,17CCE4
1652A1,165292,1653CE
17CD9E,17CFE2,17CCCA
165292,1652A1,1653E5
17CEA8,17CEA0,17CCA2
165253,1651B9,165160
17CCC2,17CBFF,17CDDE
1652CC,16509D,165217
17CC2E,17CBF9,17CCBA
16527D,1652C9,1651D6
17CB88,17CB22,17CCC3
1652AA,165276,165381
17CB5E,17CC03,17CCEF
1651A9,1651A1,165200
17CB93,17CCE3,17CB0F
1652F6,1651C2,16517A
17CB1A,17C9F2,17CB1B
165036,165006,16503D
17C9F3,17C8BC,17C9D8
164E21,164F16,164E59
17C87D,17C959,17CB95
164FA9,164F9C,164F16
17C813,17C9E1,17C7DE
164E8D,164EF8,164F4C
17C999,17C797,17CA4A
164FBF,164E23,164D73
17C82E,17C893,17C8BC
164EB1,164E89,164C17
17C8CA,17C8CA,17C95B
164E90,164C10,164D1A
17C52A,17C6A8,17C680
164D53,164D73,164C59
17C775,17C8F8,17C82D
164E9B,164CD8,164DC8
17C694,17C64C,17C786
164D87,164D4B,164DB8
17C622,17C74E,17C774
164D97,164C86,164BF8
17C6C6,17C5EF,17C84E
164CB9,164D52,164C53
17C459,17C5D8,17C411
164D54,164BD2,164B11
17C509,17C58E,17C572
164BAC,164B36,164B42
17C548,17C6A1,17C676
164D7E,164A0B,164C46
17C45F,17C5F5,17C586
164B10,164DEE,164A6B
17C5C4,17C713,17C59B
164E08,164E18,164E50
17C794,17C781,17C8CD
164C76,164D5F,164DCE
17C683,17C83E,17C66F
164CE7,164CD8,164DD3
