{'CALIB_RAW_DAC_START_I': 851968, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 4, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
189D30,189DB0,18A019
1A17E8,1A1A97,1A19AF
189D6F,189EE7,189C7D
1A18AC,1A17E3,1A1863
189D3D,189E18,189DE2
1A184C,1A1859,1A1738
189D6A,189D83,189C7D
1A15EF,1A17A0,1A1766
189D02,189ED6,189DE2
1A1731,1A164A,1A1822
189E53,189D76,189D63
1A1945,1A1793,1A1731
189A95,189D1C,189E4E
1A175E,1A163A,1A18B0
189D77,189E31,189B4E
1A1770,1A18B4,1A187A
189D5F,189D4C,189AF1
1A1754,1A17F6,1A1805
189D07,189D8A,189B6C
1A17D9,1A1769,1A180C
189D5B,189C9F,189DCD
1A169A,1A1748,1A1726
189CB8,189C24,189CC4
1A162B,1A1681,1A16CD
189DB2,189AF8,189CE5
1A1790,1A1746,1A163B
189AF7,189B0E,189B16
1A1682,1A1546,1A1515
189AEF,189C46,189A28
1A1502,1A16E3,1A153E
189A86,18998C,189B13
1A1541,1A1614,1A1760
189E23,189ED4,189D85
1A1896,1A1778,1A16B3
189C30,189C52,189D60
1A168D,1A1832,1A186C
189E8A,189C39,189D71
1A16C2,1A1790,1A1755
189C3A,189CF3,189D73
1A186B,1A1850,1A1614
189CFB,189C07,189B0D
1A16C8,1A1719,1A1796
189A63,189CA0,189B91
1A163E,1A15B1,1A1701
189C3F,189BDB,189B81
1A16F7,1A1725,1A158B
189B80,189B9A,189DC6
1A1726,1A1752,1A18E0
189CC1,189DA6,189CF7
1A16FE,1A16DA,1A13F3
189CAB,189AEE,189B8E
1A1694,1A17B3,1A173D
189D0C,189ADF,189C2D
1A1605,1A15AE,1A152C
189CF6,189A5D,189D1C
1A177D,1A15E1,1A1814
189C00,189DB7,189B88
1A17FD,1A157E,1A171C
189C86,189B36,189B6F
1A157C,1A1577,1A1568
189CB1,189A2A,189D0A
1A1535,1A1624,1A1678
189BF6,189D04,189D49
1A14F9,1A1559,1A145A
189854,1897AF,189965
1A13E5,1A11FA,1A13CD
189941,18987D,1896A9
1A140B,1A1196,1A1442
189A95,18977F,189A38
1A111C,1A1254,1A1128
1896B5,189780,1896C2
1A1181,1A1408,1A1374
1896AC,189771,18989B
1A1129,1A13E8,1A12BC
1897EC,1897FF,1898BA
1A1449,1A1279,1A1340
18968B,1897BD,189763
1A119B,1A1095,1A11DA
1896ED,189690,1896BC
