{'CALIB_RAW_DAC_START_I': 884736, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 4, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
1AC1F3,1AC162,1AC05B
1C3A17,1C3B22,1C3A4C
1AC176,1AC098,1AC136
1C3B32,1C3B45,1C3AB7
1AC1F4,1AC099,1AC10B
1C3AA4,1C38DF,1C3B09
1AC070,1AC0EF,1AC0C6
1C3C04,1C3A75,1C3B3C
1AC054,1ABEED,1AC26F
1C3B17,1C3B89,1C3AEB
1AC010,1ABF1A,1AC116
1C3A77,1C3AEC,1C3ABE
1ABF43,1ABFAA,1ABFAE
1C3A39,1C3A51,1C38AB
1ABD9C,1ABDCD,1ABEE4
1C37F1,1C3A7E,1C3973
1ABFA5,1ABED4,1AC090
1C3A04,1C3944,1C385A
1ABE3D,1ABDF5,1ABE05
1C3908,1C38BA,1C385B
1ABD54,1ABFA4,1ABF4B
1C3913,1C3A44,1C3A7A
1ABEA2,1ABE06,1ABD6A
1C38C9,1C3950,1C396D
1ABEA6,1AC07A,1ABF48
1C396B,1C3949,1C3916
1AC081,1ABEE7,1ABF06
1C399A,1C372F,1C3877
1ABDD9,1ABE65,1ABD75
1C3936,1C38C3,1C3807
1ABD07,1ABCE9,1ABCC9
1C3A38,1C388C,1C3B33
1AC1BA,1AC1B5,1AC0A5
1C3B4E,1C3BC3,1C3C92
1ABF1F,1AC33C,1AC119
1C3B60,1C3AE9,1C3DCB
1AC1B3,1AC05C,1AC176
1C3A01,1C3A64,1C3989
1AC10A,1AC1B8,1ABEEE
1C3A11,1C3AC4,1C3AAF
1AC24E,1AC2A4,1AC00A
1C39D3,1C3B8E,1C3AFF
1AC05B,1ABF4D,1ABFF4
1C3AC6,1C3A23,1C39E8
1ABEB4,1ABE52,1ABCFE
1C39B8,1C3781,1C3A11
1ABF55,1ABE20,1ABEF9
1C39D7,1C3844,1C395C
1ABE35,1ABDD2,1ABE09
1C38C3,1C38B6,1C3969
1AC127,1ABF70,1ABF0B
1C383C,1C38D8,1C3906
1ABE99,1ABEE9,1AC321
1C38B1,1C3AE7,1C3920
1AC007,1ABD25,1ABDF4
1C3ACE,1C394F,1C3A7A
1ABE1E,1ABE85,1ABE0D
1C3A26,1C38F2,1C3922
1ABFF8,1ABF52,1ABF0D
1C387D,1C3768,1C3805
1ABEB9,1ABC2D,1ABBEF
1C3723,1C3783,1C38DF
1ABE38,1ABE88,1ABCC3
1C3704,1C3685,1C35C4
1ABBA3,1ABBC6,1AB9CB
1C33C3,1C35B8,1C33DC
1ABBE0,1ABCDB,1ABDEF
