{'CALIB_RAW_DAC_START_I': 917504, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 4, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
1CF21C,1CF329,1CF3D5
1E6E64,1E6D64,1E6C69
1CF480,1CF3E0,1CF431
1E6D5B,1E6DCF,1E6E08
1CF37E,1CF37D,1CF388
1E6EC1,1E6CDE,1E6EEB
1CF3C8,1CF2D4,1CF32B
1E6E30,1E6ECB,1E6EEC
1CF36E,1CF375,1CF3B5
1E6D32,1E6D15,1E6DF0
1CF325,1CF3CA,1CF3CC
1E6DDA,1E6FAE,1E6DEC
1CF710,1CF2A5,1CF394
1E6CF3,1E6E9F,1E6D3B
1CF3EA,1CF2D1,1CF486
1E6FF8,1E6FCD,1E6FC1
1CF514,1CF2E2,1CF51A
1E6B5A,1E6C6E,1E6E04
1CF2D2,1CF237,1CF42E
1E6EC1,1E6E97,1E6EB6
1CF4CC,1CF31F,1CF382
1E6B82,1E6C74,1E6C28
1CF282,1CF378,1CF2DE
1E6CA5,1E6F9D,1E6DC5
1CF386,1CF22A,1CF2DE
1E6CB1,1E6C19,1E6CE5
1CF213,1CF28A,1CF20E
1E6C75,1E6B43,1E6C9C
1CF179,1CF398,1CF2AE
1E6AEC,1E6E07,1E6B47
1CF0E9,1CF263,1CF19A
1E6C21,1E6D7E,1E6C89
1CF680,1CF528,1CF461
1E6EF8,1E6EAA,1E6F62
1CF462,1CF35A,1CF4CE
1E6EAF,1E6FA6,1E6E4A
1CF394,1CF157,1CF2C4
1E6D59,1E6CB5,1E6CFB
1CF35A,1CF2A5,1CF2A7
1E6D19,1E6C13,1E6C7A
1CF373,1CF216,1CF369
1E6D10,1E6DB8,1E6C08
1CF3E8,1CF21F,1CF39C
1E6D3C,1E6F1D,1E6E2C
1CF4C4,1CF31C,1CF1C6
1E6C41,1E6B65,1E6C93
1CF156,1CF326,1CF174
1E6E83,1E6D05,1E6D4B
1CF1F2,1CF33C,1CF0F3
1E6A80,1E6B71,1E6CFE
1CF37D,1CF14D,1CF382
1E6B1F,1E6C1A,1E6E18
1CF2C3,1CF2F7,1CF2F3
1E6C56,1E6D0A,1E6D1D
1CF194,1CF422,1CF3A3
1E6D45,1E6B77,1E6CF1
1CF164,1CF2AE,1CF2A1
1E6BC8,1E6AC4,1E6ACF
1CF1DA,1CF24A,1CF06F
1E6B84,1E6B8B,1E6A7E
1CF247,1CEF3E,1CF036
1E6C7D,1E6CE7,1E6CCF
1CF1C5,1CF242,1CF070
1E6A77,1E6A40,1E6AD7
1CEEA0,1CEE3E,1CEF44
1E6964,1E6825,1E6852
1CF09D,1CEE9D,1CF008
1E69F7,1E690B,1E68AD
1CF03D,1CEF37,1CEE1F
1E6790,1E69B9,1E6AA9
1CEF85,1CF00C,1CEEBC
1E6830,1E66F1,1E6B1C
1CEF2A,1CEE3F,1CEE6C
1E69EE,1E6A63,1E6925
1CEFFB,1CEF88,1CEE6E
1E6966,1E67D5,1E6A36
1CEE4A,1CED38,1CED7B
1E6A4D,1E67D0,1E67D0
1CEC8E,1CEDD9,1CEDD2
1E6A26,1E692A,1E68EF
1CEE27,1CEF06,1CED31
1E694E,1E673F,1E699E
1CED60,1CECD7,1CED9E
1E69CE,1E68E4,1E676B
1CEF4D,1CED5D,1CEDD1
1E68D8,1E6744,1E67DB
1CEE83,1CEE02,1CEE68
1E67AF,1E67C9,1E66CD
1CEC9F,1CEE4B,1CEE0A
1E6693,1E68A0,1E68AB
1CECD4,1CEDB3,1CECBF
1E6841,1E6601,1E672B
1CEC2D,1CEC48,1CEA96
1E6530,1E65D9,1E66D6
1CECEA,1CEACE,1CED03
