{'CALIB_RAW_DAC_START_I': 983040, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 4, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
218522,21847A,2183CC
22FC49,22FD23,22FDBD
2183C7,2182C0,218386
22FE5E,22FD19,22FE24
218245,2182A1,21815D
22FC59,22FD50,22FC13
218374,21823D,218192
22FE2D,22FC80,22FDBA
21825A,2181A0,21827B
22FD94,22FDCD,22FBBD
2183A2,218411,2180B9
22FE09,22FD53,22FCEB
2182EC,2182BD,218197
22FA73,22FB05,22FD54
2181C9,21816C,21814C
22FC35,22FEAC,22FCE2
21824F,21831C,218354
22FAD8,22FC4D,22FDE2
21838E,2181CE,218361
22FB15,22FE21,22FBA8
218268,2181EF,2182D1
22FBD3,22FD2E,22FC26
218349,218199,218212
22FB70,22FB36,22FD2F
21811A,2180A6,2180E9
22FB9E,22FB1B,22FCF6
2181E1,21821F,217FDE
22FC5D,22FC11,22FB21
2180DA,21808D,218113
22FA73,22FC44,22F92A
218048,218023,2182CF
22FB60,22FA92,22FC4E
2183D8,218367,2183BE
22FC7A,22FDF7,22FCA5
218292,21826E,2182F3
22FD7E,22FBE8,22FD8D
218300,2183CD,2183DA
22FA69,22FB04,22FA54
2180A3,21818E,2181C7
22FB46,22FE64,22FD1B
21834D,218234,2180C9
22FC2B,22FCF0,22FBEF
2182B4,21819E,2181B4
22FAE1,22FA90,22FB08
218181,218141,21818E
22FB5B,22FC74,22FC77
218165,217FCE,217F55
22FC4B,22FBD0,22FD35
2182C5,218125,218364
22FD55,22FC6D,22FB52
2180FB,218117,218170
22FC45,22FC17,22FC00
218118,218118,218019
22FBC5,22FCB5,22FC5B
21827F,2181D4,218190
22FBA2,22FAD4,22F94A
217FCE,2180C2,217F00
22FC6C,22FA66,22FAD0
217FFE,218115,21813B
22FAFC,22FC35,22FBFC
218306,218031,21814A
22F862,22F9F2,22F983
21819B,2180B8,217F49
22FAC2,22F86B,22F851
217BC0,217D68,217DCB
22F8FA,22F784,22F717
217D58,217E70,217E43
22F7D0,22F78F,22F83F
217CEB,217E5F,217CD2
22F6A9,22F6E5,22F6B3
217C3F,217D06,217BDC
22F84A,22F816,22F7A1
217C41,217D4D,217E16
22F7FF,22F85D,22F769
217F55,217E2D,217C05
22F6AE,22F732,22F605
217CBB,217CF8,217E1C
22F7B1,22F5F2,22F77E
217C2B,217B56,217C9F
22F714,22F947,22F8CA
217DAE,217CCA,217E78
22F5E7,22F7D2,22F5A5
217B93,217D9A,217C5F
22F56B,22F5D1,22F86F
217EB0,217CD3,217C5D
22F7E8,22F58E,22F601
217E36,217DF4,217D27
22F8B8,22F618,22F8C2
217F03,217ACD,2179B6
22F431,22F63C,22F564
217D65,217CDB,217B70
22F73D,22F531,22F5F2
217A95,217BAE,217B75
22F48C,22F611,22F5DD
2179A0,217B42,217A5C
22F46A,22F717,22F603
217BB0,217C2E,217E29
22F7DE,22F703,22F7C0
217B99,217C99,217DBA
22F62A,22F675,22F83E
217D12,217CEB,217CE9
22F71B,22F86F,22F772
217B8B,217CB6,217C1C
22F6F3,22F644,22F8C4
217B42,217ABF,217D77
22F4E9,22F40E,22F84D
217C1E,217C25,217BF7
22F868,22F6D7,22F6F1
217C18,217BFE,217C51
22F546,22F551,22F461
217A15,217DBC,217DA1
22F68A,22F6FC,22F5AA
217BEC,217E26,217C71
22F5E8,22F754,22F528
217A2A,217BBB,217B0C
22F427,22F4B7,22F55A
217A7F,217B25,217AEA
22F582,22F565,22F77B
217C5E,217ADE,2179F5
22F68E,22F6D9,22F75B
217CE4,217AC6,217B2C
22F66A,22F5A1,22F7F8
217D58,217B33,217A59
22F6E8,22F701,22F592
217B64,217B27,2179F2
22F53A,22F623,22F4F4
217BAE,217B7D,217C20
22F125,22F1FD,22F215
2181B9,2182C8,217FE4
22F9B8,22FB64,22FB72
218184,217EC9,218024
22FA5F,22FA9E,22FBAB
217FAB,217FDA,21802C
22FB0C,22FC3D,22FAFC
218104,21820B,218177
22FA09,22FB80,22FA5C
218105,2180B7,217ECB
22FA9D,22FBEE,22FAFC
217F77,218093,217F3D
22FA71,22F8E9,22F9EF
217FCD,217E54,218002
22F9B2,22FA29,22F975
217ECF,217FB1,217F27
22FC2E,22FB0B,22FC1B
218039,217EB6,218078
22F8D2,22FB8A,22FADB
217EB9,217EB8,217D29
22F926,22FA60,22FA20
218081,218047,217FB1
22F83A,22F89B,22FAD3
217EF5,217F43,217E92
22FAF4,22F880,22F9A0
217EA7,217E4B,217DF2
22F820,22F963,22F90D
217EBA,217F6E,217DAB
22F76E,22F9CC,22F8B8
217DCF,217F04,217E00
22F88C,22F976,22F7EF
217DCE,217F64,217F88
22FAA7,22F87E,22F95A
2181D6,2181DF,2181C1
22FA81,22F908,22FA14
217F24,217F13,217F15
22F958,22F8F1,22F980
218148,217FFC,217E5A
22F7D7,22F84C,22F90E
217F64,217FC3,2181FA
22FBCE,22FB30,22FA6E
21816C,217F9E,217F23
22FACB,22FAA2,22FAB6
217F97,217D34,217F1D
22F982,22F9AB,22F9C8
217ED2,217F50,217D8B
22F875,22F897,22F88A
217E1B,2180BE,217EB8
22F95B,22F9BA,22FA8E
217F85,217F45,21806E
22FA1D,22FB0E,22FCEF
217EAB,21802D,218017
22FA90,22FB18,22FA1C
217FAA,217F0C,217F43
22F9F2,22F939,22F980
217F8F,217FC1,217FD7
22FA4C,22FA1C,22F9C9
2180F9,217D7F,217E6E
22F967,22F996,22F988
217EE3,217F5C,217F9D
22F9EE,22F8D0,22F959
217D8E,217DCA,217F26
22F900,22F7CA,22F746
217D9E,217D3D,217CEA
22F6D3,22F8BB,22F85A
217D23,217BBF,217B1A
22F3AB,22F4A0,22F644
217A3A,217B90,217981
22F5AC,22F6B4,22F5AD
217B4F,217A6D,217ABC
22F365,22F4FB,22F530
217B6C,217ABA,217AAA
22F426,22F60E,22F5C1
2179B2,2179DE,2178D6
22F340,22F47E,22F2D4
217A8B,21793F,2179EF
22F3DD,22F53B,22F387
217AB0,217B89,217A0C
22F3CD,22F38C,22F34D
21793E,217A94,217A5C
22F49B,22F396,22F45C
217902,217CA2,217A51
22F542,22F432,22F395
217AEF,217923,217922
22F1DC,22F36D,22F506
2179D4,217940,2178EC
22F4F0,22F3C8,22F3FD
21782D,21793F,217A44
22F1BC,22F2E9,22F485
2179D7,217A8D,217A59
22F243,22F2CA,22F495
21799E,2178EC,217997
22F466,22F4A1,22F4E1
217B00,217965,2177EA
22F4A8,22F38A,22F4B9
217817,2177BE,2178A0
22F335,22F333,22F434
21796D,217990,217AC1
22F7F7,22F3FA,22F552
217CE0,217AD4,2179CE
22F5F8,22F4C5,22F72F
217B33,217BC7,217A92
22F4FA,22F545,22F5B6
217AB3,217A5B,217AEB
22F609,22F4B9,22F3CA
217B44,217AB1,217865
22F3E0,22F3DD,22F39F
217AAB,2179B9,217BEB
22F3CD,22F4A7,22F540
217BA4,217ACD,217A0E
22F56C,22F4B3,22F556
217A13,217A75,217A00
22F424,22F4B4,22F4AC
217B16,217AD5,2179AD
22F44C,22F48F,22F4FB
217969,21780E,21794B
22F3D8,22F552,22F385
217A89,217A14,217B13
22F451,22F29E,22F334
2179D8,2179D6,217A5C
22F46E,22F613,22F532
217AE9,217AE7,217A4C
22F535,22F53D,22F48B
217AAD,2178AB,217B53
22F317,22F32E,22F43C
217AC0,217830,217740
22F2AF,22F031,22F318
217860,2178C0,217928
22E763,22E6BF,22E566
217EC5,217C12,217E56
22F762,22F56F,22F6BC
217C3B,217E73,217BCA
22F58C,22F6C8,22F71C
217AC6,217E60,217C78
22F63D,22F531,22F830
217C92,217DAA,217DCB
22F748,22F6E0,22F83C
217D9B,217AAB,217DC6
22F689,22F62A,22F6A7
217B98,217B05,217C2F
22F849,22F6A6,22F7B6
2179B8,217B09,217B8D
22F719,22F5B1,22F4CB
217B8A,217B18,217AD8
22F669,22F690,22F5FD
217B40,217BD0,217B7D
22F601,22F5C5,22F73F
217D46,217BDF,217BDF
22F4BF,22F682,22F704
217E16,2179ED,217C14
22F749,22F626,22F718
217AE7,217A7A,217CD8
22F590,22F7A7,22F601
217CBE,217B44,217BB6
22F6D7,22F5A8,22F5CA
217B10,217B25,2179FF
22F3EE,22F5EB,22F524
217A48,217CB6,217A88
22F60A,22F4BC,22F5E5
217B1E,217816,217A98
22F56A,22F4CB,22F59C
217C71,217D28,217C5A
22F655,22F7D8,22F617
217D62,217C1F,217B56
22F721,22F63E,22F5AE
217B26,217BEB,217D9D
22F7A1,22F6F2,22F6DC
217B84,217CAB,217BEE
22F3A3,22F5A1,22F608
217BF4,217CBC,217C88
22F6C9,22F6AE,22F5AD
217B8B,217C04,21794A
22F49D,22F676,22F8E3
217BB6,217B67,217C1A
22F72C,22F6B8,22F529
217BA4,217C70,217A9F
22F788,22F35B,22F4C7
217C78,217B7E,217B83
22F6B5,22F5CB,22F8B6
217BA1,217A90,217AF0
22F65A,22F848,22F3CB
217BB6,217C22,217A30
22F596,22F6A6,22F69D
217C7A,217AB5,217A59
22F57A,22F554,22F5CC
217CCE,217A5D,217B10
22F551,22F4E8,22F5FD
217B3A,217AC8,217A06
22F580,22F615,22F521
217B01,217A94,21792C
22F31A,22F348,22F44D
217B71,217ADF,217944
22F47F,22F4E5,22F2A9
217784,2177D0,217673
22F29E,22F12D,22F0C5
2177D3,217774,217840
22F0EE,22F24D,22F2A5
217869,2177BA,2177C9
22F17D,22F195,22F457
2178B7,217756,2177B7
22F296,22F2FA,22F2E6
2175EA,21758A,2175E0
22F1B0,22F1EA,22F278
21788F,21772B,217559
22F279,22F219,22F2CE
2177EF,2176A9,217778
22F1ED,22F101,22F112
2175A2,2176C4,21773A
22F154,22F04B,22F1E5
2177E6,217646,2176BE
22F070,22EFFC,22F03F
21769D,217556,217677
22EFA8,22EFF3,22F0E5
2176CD,217452,2175A2
22F0B0,22F09D,22F133
217778,217632,217656
22EFB9,22F047,22F109
217692,21779F,2176DA
22F219,22F224,22F0DB
21761B,2177A0,21757F
22F206,22F0C3,22EFAD
217453,217701,217745
22F072,22F069,22F0FF
217597,217771,217624
22F03D,22F175,22F00C
217852,217914,217828
22F19E,22F265,22F1E6
2178B9,217863,2178AF
22F192,22F30A,22F1BA
217669,2175F2,21771F
22F0BF,22EDF2,22F21E
2175F4,217645,2174FC
22F015,22F17C,22F0CD
217781,217715,2176CB
22F161,22F09A,22F20C
217750,21756D,2175E4
22F0AA,22EFDB,22F065
21749F,217542,217693
22EFD4,22EEE1,22EF86
217571,21752A,217521
22F1AC,22F1C0,22EF3D
21764F,217607,2175F0
22EF49,22EF5F,22F1BA
21745C,2176ED,217695
22F1C6,22F0FB,22F1DC
217828,21754F,2177F9
22EFD8,22F1FD,22F09D
2175FC,217329,217683
22F26F,22F079,22F0AC
21766A,217684,2175CB
22F062,22EFEF,22EF98
21751F,2173D6,2173AB
22EFFA,22EE95,22EF8F
217387,2173B8,217532
22EDF2,22EF58,22EFA0
21749D,2173D2,217420
22EBA3,22EBF4,22EC40
217BD3,217989,2179F0
22F450,22F4A9,22F48F
2179EC,2178DF,2178E5
22F3D6,22F2B5,22F3E5
217A55,217915,217987
22F42F,22F50F,22F56D
217B54,217963,217BB9
22F420,22F501,22F5AA
217B22,2178A9,217B11
22F421,22F2B1,22F3F6
2179A0,2179BD,217930
22F458,22F475,22F540
2178C2,217A64,21787E
22F274,22F3C8,22F2D2
217931,217755,2178CC
22F41E,22F370,22F480
2179D0,2178E4,217A6E
22F243,22F47C,22F326
217A73,217900,217883
22F44A,22F501,22F3D3
21790C,217B03,21780D
22F51F,22F48C,22F267
2176B6,217991,21793E
22F319,22F370,22F3F9
217981,217946,217920
22F2A4,22F309,22F23C
21790C,217A8D,21788B
22F3DB,22F229,22F17F
2178A7,217848,217802
22F16E,22F43E,22F341
21793F,21760D,2177DB
22F28D,22F33B,22F434
217A3B,217925,217C8D
22F418,22F43F,22F5B7
217AFE,217B64,217B13
22F786,22F4AC,22F420
217BD1,217A3B,2178C2
22F307,22F398,22F3ED
2178A2,217AE2,21788E
22F312,22F423,22F488
21787D,2178B2,217780
22F23F,22F417,22F531
217A93,2178F0,2178B8
22F243,22F289,22F3D2
217A0C,217A31,2179DA
22F242,22F1FF,22F361
