{'CALIB_RAW_DAC_START_I': 1015808, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 4, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
23B373,23B31D,23B205
2529BC,252BAA,252BCC
23B09F,23AF01,23B232
252B13,252B02,252B26
23AF89,23B134,23AF0A
2529DE,252BB3,2529FD
23B008,23B26F,23B0A2
252AD9,2529EE,252B67
23AFB4,23B0A3,23AFE3
252A59,252AE8,252C3D
23B1CF,23B275,23B136
252BFF,252AC2,252B82
23B070,23B149,23AF92
25299F,252BA5,252B42
23B1DA,23B0B1,23B135
252B06,252C3C,252C75
23B27B,23B154,23AFC1
252A00,252A39,252A6A
23AEF9,23B02B,23B075
252B57,252AF8,252CA8
23B194,23B042,23AFC3
252A7D,2529C0,252A5B
23B084,23B1F9,23B092
252980,252ADB,2529EC
23AFFD,23AE7E,23AF29
252A5F,252AA5,2529FA
23B068,23AEA6,23AFAE
2527FA,2528ED,252932
23AEC0,23AE52,23AD39
252906,252A76,2527D7
23AE24,23AEB5,23AEBB
25283D,25286D,252888
23B111,23B14C,23B2D1
252A66,252993,252A3C
23B02D,23AF37,23B113
252AFF,252B6E,252AA0
23B14B,23AEE8,23AD74
252916,2528BA,252A28
23AFCE,23AF61,23AEC5
252A4B,25286C,252A41
23B12A,23B11E,23B030
25292A,252AF6,25293B
23B018,23AE1C,23AF22
2529C3,2529A0,2529A1
23AFD5,23AF2F,23AF14
2526E7,2529DA,25297F
23B03E,23AFB4,23AFD6
2529F1,252A38,252ABA
23B0B5,23AED3,23B03B
2529BA,252B08,252A3B
23B058,23B0C5,23B10E
252A30,252A70,2529EA
23B189,23B1B1,23AF99
252A83,252A41,2528C8
23AEC9,23AEEE,23AF1A
252A6A,2528DA,252A33
23AFB8,23B0A9,23AF08
252B2D,2527B5,25289D
23AE04,23ACE9,23AF0A
252A44,2527C0,252AFB
23AF59,23AF60,23AF21
2528B5,25295F,2526F1
23AD0B,23AE83,23AE24
2527DB,252618,2528DA
23ACE3,23A97B,23AD05
252602,2525BC,2525A0
23ACEE,23AC78,23AC1A
252573,25263A,252665
23AB80,23AAA3,23ABC5
2525A7,252403,2525DC
23AA97,23AA89,23AA9A
2526E6,25244D,252778
23AAB0,23ABD3,23AAC3
252481,25278A,252615
23ABE5,23AC32,23ADE5
25247C,2526F3,25246A
23AB0F,23AA1E,23AA8B
252697,2524DA,252509
23AA9D,23AB3E,23AA86
252596,2527A9,252538
23AAB6,23AC28,23ABD0
25249D,2525D5,2525C3
23AE64,23AC0A,23ABFE
2525E2,2525FF,2525FB
23ADA2,23A98B,23AC3A
25265F,252471,252496
23AA0C,23A977,23AB40
252527,252472,252465
23A9D3,23AA5A,23AA3E
252318,2523AA,252338
23A8DF,23AAE5,23A8AC
252256,2523DB,252483
23A770,23A93F,23A8DB
252263,25234A,2521DA
23A8A0,23A776,23A6DD
252091,252404,252400
23AAD4,23AADD,23AB34
25267D,2525CC,252441
