{'CALIB_RAW_DAC_START_I': 0, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 6, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-1FFD30,-1FFAD3,-1FFA50
-1E810E,-1E7FC5,-1E820B
-1FFAE2,-1FFC1C,-1FFA96
-1E814B,-1E817B,-1E80ED
-1FFAB9,-1FF954,-1FF9B6
-1E8036,-1E81B1,-1E80F4
-1FFAEB,-1FF8E5,-1FF9CD
-1E8094,-1E8067,-1E80B1
-1FF9B9,-1FF9BF,-1FFA37
-1E8088,-1E801A,-1E80E7
-1FFA41,-1FFAC6,-1FFB1E
-1E7F13,-1E8016,-1E7F25
-1FF999,-1FFAD5,-1FFB04
-1E815F,-1E7F52,-1E8146
-1FFA37,-1FFB2B,-1FFB33
-1E7F7E,-1E801E,-1E804E
-1FFA7E,-1FFC34,-1FFBF2
-1E7FA6,-1E822F,-1E8059
-1FFAD2,-1FFCD3,-1FFB41
-1E7F24,-1E7FE5,-1E7D87
-1FFBE2,-1FFB04,-1FFB26
-1E8080,-1E8261,-1E8021
-1FFACF,-1FF9F8,-1FFAA0
-1E818B,-1E8013,-1E7FC2
-1FF97F,-1FFA8B,-1FFBA2
-1E8067,-1E7F3D,-1E7F0A
-1FFC13,-1FFA10,-1FF8D2
-1E7F38,-1E7EE9,-1E7E6C
-1FF971,-1FF7A6,-1FFB61
-1E80D8,-1E802B,-1E7ECE
-1FFA5E,-1FFA1E,-1FF91E
-1E7FD5,-1E8029,-1E82A2
-1FF9A0,-1FFC36,-1FF987
-1E82A0,-1E8100,-1E80C5
-1FFA3C,-1FFA9B,-1FF8E6
-1E8066,-1E81E2,-1E7FD3
-1FFC3C,-1FFB3F,-1FFA3B
-1E806A,-1E7FBD,-1E7FD5
-1FFACC,-1FFBD6,-1FF945
-1E7EEC,-1E7F98,-1E8048
-1FFBF2,-1FFADA,-1FFB57
-1E8105,-1E8092,-1E821A
-1FFA58,-1FFB18,-1FFAF7
-1E7FB3,-1E818A,-1E7FB6
-1FF920,-1FFA00,-1FF9D4
-1E800B,-1E7FFB,-1E8047
-1FFA72,-1FFB89,-1FF9C4
-1E7F26,-1E7F69,-1E7F85
-1FFB01,-1FFAF7,-1FFB4B
-1E8039,-1E80CE,-1E811B
-1FFB8E,-1FFDCE,-1FFA2D
-1E7FE1,-1E802C,-1E805E
-1FFBEE,-1FFCBB,-1FFB0E
-1E81A2,-1E8144,-1E8123
-1FFB8B,-1FFC90,-1FFA7F
-1E8266,-1E8296,-1E8225
-1FF939,-1FFB5A,-1FFAE2
-1E8199,-1E817C,-1E8229
-1FFCFE,-1FFC63,-1FFBBB
-1E80CD,-1E7F9B,-1E80B5
-1FFCEE,-1FFB51,-1FFD06
-1E8105,-1E81E5,-1E8122
-1FFB83,-1FFBA1,-1FFAEA
-1E810C,-1E813B,-1E8236
-1FFC33,-1FFDC5,-1FFD09
-1E81F7,-1E80C8,-1E8249
-1FFD54,-1FFBDC,-1FFBD0
-1E82DD,-1E82CD,-1E8166
-1FFD74,-1FFD94,-1FFBA7
-1E82CE,-1E8398,-1E81E7
-1FFC23,-1FFEB3,-1FFD7A
-1E82A5,-1E807A,-1E83DD
-1FFC57,-1FFDCD,-1FFD75
-1E8434,-1E81D1,-1E832E
-1FFE13,-1FFBBF,-1FFD51
-1E8429,-1E83CB,-1E8122
-1FFCEA,-1FFE6B,-1FFD65
-1E8190,-1E8204,-1E8274
-1FFDF1,-1FFD38,-1FFD99
-1E8163,-1E8275,-1E82C2
-1FFE13,-1FFBEA,-1FFDFF
-1E84BF,-1E83A0,-1E834E
-1FFABD,-1FFD29,-1FFD9C
-1E8276,-1E81ED,-1E834D
-1FFDC4,-1FFD6F,-1FFCEB
-1E82ED,-1E8385,-1E8156
-1FFCC2,-1FFC56,-1FFD87
-1E81A5,-1E8064,-1E80AE
-1FFD4C,-1FFCE0,-1FFCA4
-1E80DA,-1E8195,-1E81B8
-1FFB27,-1FFC74,-1FFCE1
-1E83DB,-1E81FA,-1E8123
-1FFC3C,-1FFDDB,-1FFD52
-1E8301,-1E836F,-1E7F9E
-1FFBEE,-1FFD8F,-1FFD4D
-1E82FD,-1E836F,-1E859A
-1FFCC7,-1FFDC8,-1FFC5F
-1E82D2,-1E82A1,-1E84E2
-1FFCD7,-1FFE22,-1FFF1B
-1E8341,-1E847B,-1E81D3
-1FFDB2,-1FFD02,-1FFEA2
-1E82AB,-1E8201,-1E8317
-1FFD3B,-1FFD7C,-1FFCB4
-1E81CF,-1E8191,-1E8225
-1FFB40,-1FFD65,-1FFDD3
-1E81AB,-1E81E3,-1E83F7
-1FFB98,-1FFC13,-1FFCF5
-1E837D,-1E81B1,-1E83FE
-1FFC53,-1FFC81,-1FFE18
-1E83FB,-1E8329,-1E837B
-1FFCD1,-1FFD98,-1FFD5A
-1E8215,-1E82C6,-1E81AC
-1FFE81,-1FFBEE,-1FFD0F
-1E836C,-1E82C5,-1E8162
-1FFF2D,-1FFDEE,-1FFE2D
-1E827C,-1E8341,-1E833B
-1FFD97,-1FFEB2,-1FFFDE
-1E848A,-1E8318,-1E8337
-1FFC03,-1FFDB7,-1FFC70
-1E82CE,-1E824E,-1E834F
-1FFDDB,-1FFD1B,-1FFE54
-1E833A,-1E85F8,-1E84A6
-1FFDAF,-1FFE56,-1FFCC3
-1E835E,-1E834C,-1E8437
-1FFD2E,-1FFE28,-1FFD3E
-1E8361,-1E84A3,-1E8331
-1FFDB5,-1FFD71,-1FFE6C
-1E8F93,-1E8E29,-1E8D5B
-1FFA51,-1FF8F5,-1FFA66
-1E7FB5,-1E7E38,-1E7FE4
-1FFA4E,-1FFABB,-1FFA31
-1E7FB0,-1E80BD,-1E7F12
-1FFA13,-1FFA1B,-1FF9E1
-1E81BB,-1E81C4,-1E8018
-1FFAA2,-1FF98B,-1FFA01
-1E7F76,-1E7E2F,-1E7E4D
-1FF8D8,-1FF7F2,-1FF93B
-1E8161,-1E8006,-1E807F
-1FFA50,-1FF8C8,-1FFA84
-1E8127,-1E8008,-1E7F70
-1FFA26,-1FF8FD,-1FF965
-1E8026,-1E8045,-1E7FEB
-1FFBC3,-1FFC90,-1FF904
-1E7E79,-1E7EDB,-1E7EBB
-1FF7D4,-1FFBD6,-1FF97D
-1E8018,-1E80D7,-1E813B
-1FF8AB,-1FFAC5,-1FFA11
-1E8091,-1E7F44,-1E7EE2
-1FFA50,-1FFA6F,-1FF986
-1E7F49,-1E8084,-1E7EDE
-1FF9BF,-1FF8DE,-1FFB44
-1E7F56,-1E7D07,-1E8110
-1FF990,-1FFB85,-1FF9EF
-1E8016,-1E804B,-1E8007
-1FFA6C,-1FFBFE,-1FFCC4
-1E81A5,-1E7FFF,-1E8127
-1FFABA,-1FFA8A,-1FFB30
-1E7F89,-1E8003,-1E8106
-1FFB3C,-1FF958,-1FFA04
-1E7F60,-1E80A3,-1E81E5
-1FFDDC,-1FFB8A,-1FF9F1
-1E7FA9,-1E80E2,-1E80EA
-1FF984,-1FFB7C,-1FFA13
-1E81B7,-1E80DD,-1E7FAC
-1FFA4D,-1FFBE3,-1FFAD3
-1E8015,-1E8137,-1E8149
-1FFAC3,-1FFAA4,-1FFB4A
-1E816C,-1E81B3,-1E81BE
-1FFB9A,-1FFBD7,-1FF99C
-1E805B,-1E7FE3,-1E805F
-1FF91F,-1FFC60,-1FF9F1
-1E803E,-1E7FC2,-1E7FEF
-1FFA62,-1FFB9C,-1FFA4E
-1E8211,-1E80F3,-1E80DE
-1FFB2C,-1FFB05,-1FFBEB
-1E7EF9,-1E816B,-1E80E0
-1FFCC7,-1FFAF9,-1FFC01
-1E81E6,-1E8274,-1E81B3
-1FFD29,-1FFBC1,-1FFD4B
-1E8014,-1E8052,-1E8109
-1FFAB5,-1FFAC6,-1FFA36
-1E809C,-1E7EE2,-1E805F
-1FFB93,-1FFAEA,-1FFB0B
-1E817A,-1E81A8,-1E7FD4
-1FF9DC,-1FFA91,-1FFB12
-1E80BE,-1E813A,-1E7F55
-1FFB41,-1FFA48,-1FF94B
-1E8090,-1E8095,-1E7F75
-1FFBC7,-1FF965,-1FFDC1
-1E8013,-1E80AE,-1E824D
-1FFB6E,-1FFADE,-1FFA17
-1E822B,-1E8086,-1E7F8D
-1FFBE1,-1FFD6D,-1FFC7F
-1E831F,-1E82C6,-1E8272
-1FFB8B,-1FFB24,-1FFCD6
-1E814C,-1E8203,-1E833A
