{'CALIB_RAW_DAC_START_I': 32768, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 6, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-1E0FC8,-1E100D,-1E10C7
-1C9675,-1C96FD,-1C9760
-1E115D,-1E111B,-1E107C
-1C96AA,-1C95B2,-1C9730
-1E110C,-1E1217,-1E1195
-1C96B2,-1C96BF,-1C964B
-1E11C8,-1E10A9,-1E11D6
-1C980C,-1C9774,-1C95A9
-1E1175,-1E120D,-1E10E5
-1C9520,-1C971B,-1C95FD
-1E11CF,-1E100B,-1E1154
-1C9584,-1C9820,-1C953A
-1E11EF,-1E1187,-1E10B5
-1C9715,-1C998F,-1C953A
-1E11D8,-1E112A,-1E116C
-1C96E5,-1C9660,-1C9609
-1E119E,-1E11C1,-1E12E8
-1C984E,-1C97F5,-1C98CF
-1E1175,-1E129C,-1E1212
-1C988A,-1C96E0,-1C97E5
-1E120E,-1E0F3D,-1E11DE
-1C9643,-1C98F4,-1C9747
-1E12A8,-1E138B,-1E115B
-1C982A,-1C973A,-1C9745
-1E1218,-1E1135,-1E128E
-1C9916,-1C986A,-1C97C1
-1E1164,-1E130D,-1E114B
-1C97B4,-1C9756,-1C9744
-1E112A,-1E1044,-1E11AA
-1C971C,-1C98F3,-1C9831
-1E1372,-1E1160,-1E1137
-1C97CF,-1C9836,-1C982D
-1E106A,-1E12E9,-1E1201
-1C96F3,-1C9754,-1C984D
-1E10AC,-1E1188,-1E13AA
-1C979B,-1C97FD,-1C95FE
-1E10E1,-1E117A,-1E1077
-1C97FA,-1C95E5,-1C9756
-1E115A,-1E11F1,-1E1203
-1C97F3,-1C97DF,-1C9665
-1E11B6,-1E116B,-1E0FFC
-1C98DD,-1C96C6,-1C9738
-1E1050,-1E106A,-1E114A
-1C9760,-1C96D5,-1C96E4
-1E12F2,-1E12C0,-1E1105
-1C97C1,-1C95EB,-1C9900
-1E13C2,-1E1119,-1E11A9
-1C9593,-1C9673,-1C96F0
-1E115C,-1E1296,-1E1371
-1C98A4,-1C99F0,-1C999A
-1E12B7,-1E1414,-1E138C
-1C97AA,-1C9936,-1C9881
-1E1190,-1E12A5,-1E11FE
-1C9923,-1C9783,-1C9808
-1E119B,-1E1308,-1E11EB
-1C99E9,-1C9740,-1C9828
-1E1368,-1E12A2,-1E1309
-1C98EF,-1C97ED,-1C99BE
-1E1326,-1E1221,-1E125C
-1C9946,-1C977E,-1C98D0
-1E11A5,-1E12A0,-1E11F0
-1C9932,-1C9864,-1C96A2
-1E131A,-1E10C5,-1E13A7
-1C9964,-1C980B,-1C97C6
-1E1434,-1E13DD,-1E15EA
-1C99BA,-1C9995,-1C99DC
-1E13FB,-1E13F6,-1E12CB
-1C9908,-1C9822,-1C9840
-1E1472,-1E1290,-1E13F1
-1C97F6,-1C9A44,-1C9864
-1E1379,-1E13C0,-1E13B2
-1C98D3,-1C98CD,-1C985F
-1E13B0,-1E14FC,-1E1482
-1C97FA,-1C9A90,-1C98A2
-1E11D3,-1E13A3,-1E1338
-1C97C7,-1C9A4E,-1C98D4
-1E15B3,-1E1454,-1E150A
-1C9AE8,-1C9934,-1C9A6F
-1E1416,-1E142F,-1E1494
-1C98D0,-1C98B7,-1C9910
-1E1621,-1E14D1,-1E13BB
-1C99DF,-1C98EC,-1C9962
-1E14B9,-1E1393,-1E1351
-1C99CA,-1C9A6E,-1C9A48
-1E14E8,-1E13E3,-1E1409
-1C9B65,-1C99AD,-1C9909
-1E158D,-1E146A,-1E16D7
-1C9995,-1C99FD,-1C9A96
-1E13A4,-1E145D,-1E1412
-1C9903,-1C9B92,-1C97F8
-1E1331,-1E13F7,-1E129A
-1C9908,-1C9853,-1C9A6F
-1E1473,-1E1444,-1E1402
-1C9A18,-1C990F,-1C9837
-1E1369,-1E14BF,-1E13CA
-1C9935,-1C9859,-1C9B43
-1E14F6,-1E17F6,-1E1574
-1C98FE,-1C9935,-1C9B30
-1E144A,-1E1516,-1E1491
-1C9925,-1C9904,-1C9AC5
-1E1383,-1E1541,-1E1488
-1C9A00,-1C9A26,-1C9A29
-1E143F,-1E14BB,-1E15EA
-1C9950,-1C9AC3,-1C990C
-1E1535,-1E1510,-1E146C
-1C9A3E,-1C97BD,-1C9BAF
-1E151C,-1E13D2,-1E1397
-1C9A29,-1C99D5,-1C9D1B
-1E15CC,-1E13C4,-1E162C
-1C9885,-1C9AD7,-1C9AF8
-1E12CB,-1E16EA,-1E14E7
-1C9B42,-1C99A2,-1C9B01
-1E157B,-1E1696,-1E15C1
-1C9B80,-1C9BC9,-1C9CB1
-1E15F7,-1E1500,-1E1771
-1C9B91,-1C9937,-1C9C72
-1E15D7,-1E1515,-1E167F
-1C9B30,-1C9A4B,-1C9BE7
-1E15B6,-1E16E4,-1E1632
-1C9C78,-1C9CC6,-1C9BAA
-1E154E,-1E15F1,-1E1617
-1C9ACA,-1C9970,-1C9B76
-1E14EA,-1E1558,-1E13DC
-1C99F8,-1C9A31,-1C99F6
-1E15A8,-1E161C,-1E160E
-1C9C00,-1C9B4A,-1C9B34
-1E158A,-1E14E4,-1E146A
-1CA5F5,-1CA5E7,-1CA32C
-1E0F6E,-1E11C5,-1E1086
-1C968F,-1C97D1,-1C95A3
-1E1153,-1E0F57,-1E1065
-1C9792,-1C95C4,-1C95E2
-1E116D,-1E1064,-1E1005
-1C97EE,-1C9718,-1C96E3
-1E1103,-1E1103,-1E10D0
-1C966F,-1C94FA,-1C96C9
-1E0F59,-1E0F1F,-1E1021
-1C9619,-1C9641,-1C94DF
-1E117E,-1E11C2,-1E103A
-1C9760,-1C968B,-1C96B3
-1E1031,-1E0FFB,-1E10B4
-1C962C,-1C9758,-1C973C
-1E1096,-1E1417,-1E10D3
-1C9552,-1C95B8,-1C96EA
-1E11FD,-1E10B3,-1E0FD5
-1C9851,-1C9773,-1C97A0
-1E12B5,-1E127A,-1E1127
-1C97FD,-1C96F3,-1C9766
-1E1138,-1E122A,-1E10AB
-1C97B1,-1C97B2,-1C9820
-1E12BE,-1E13D8,-1E137F
-1C96F1,-1C9688,-1C96FE
-1E10F3,-1E1139,-1E1270
-1C9777,-1C96CF,-1C9751
-1E10EB,-1E1171,-1E1261
-1C965C,-1C9731,-1C9854
-1E113F,-1E1170,-1E125F
-1C97E3,-1C9837,-1C9842
-1E1190,-1E132F,-1E12A0
-1C97DD,-1C978F,-1C97CD
-1E117D,-1E1331,-1E1191
-1C9891,-1C9662,-1C96B2
-1E1061,-1E1298,-1E120B
-1C96FD,-1C96B5,-1C961F
-1E1069,-1E125C,-1E0FC2
-1C9845,-1C964D,-1C992F
-1E12BC,-1E112E,-1E11B5
-1C9730,-1C9699,-1C96C2
-1E1184,-1E1070,-1E122D
-1C96F1,-1C95F0,-1C95D1
-1E118B,-1E106C,-1E12E0
-1C96B5,-1C9699,-1C95AC
-1E1064,-1E1132,-1E116B
-1C9809,-1C9652,-1C96CB
-1E10E3,-1E114A,-1E12CC
-1C97D5,-1C9798,-1C9738
-1E1037,-1E139A,-1E1095
-1C98FB,-1C9788,-1C97FC
-1E1308,-1E1427,-1E133C
-1C97D0,-1C98B9,-1C98C7
-1E1336,-1E1333,-1E117F
-1C96C1,-1C974F,-1C97F9
-1E112C,-1E1230,-1E1288
