{'CALIB_RAW_DAC_START_I': 65536, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 6, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-1C2363,-1C244B,-1C26B1
-1AA9A7,-1AACD8,-1AAB48
-1C2540,-1C26B8,-1C2560
-1AAB74,-1AA9E8,-1AAA43
-1C2692,-1C2577,-1C2545
-1AAB5C,-1AAAA6,-1AAA99
-1C25FB,-1C24F8,-1C24C5
-1AAABC,-1AAB24,-1AA891
-1C23E5,-1C24A0,-1C23BB
-1AAAB3,-1AAB99,-1AAA5B
-1C24E5,-1C2504,-1C23CF
-1AA9A9,-1AA9F3,-1AA8E4
-1C23D0,-1C2445,-1C2427
-1AA9F1,-1AAA33,-1AA92A
-1C2529,-1C242B,-1C2644
-1AA972,-1AAC00,-1AAA18
-1C262F,-1C2617,-1C2619
-1AACCF,-1AAAC9,-1AAA3C
-1C251A,-1C2727,-1C2740
-1AAC93,-1AAC16,-1AAC65
-1C255C,-1C24A8,-1C2569
-1AABFC,-1AACDF,-1AAD63
-1C26BD,-1C269E,-1C25AE
-1AAA7B,-1AAAD6,-1AAB42
-1C2575,-1C2810,-1C261A
-1AABAB,-1AAC16,-1AAD5B
-1C2578,-1C2597,-1C264D
-1AAB5D,-1AAB07,-1AAAF8
-1C261C,-1C26BC,-1C260D
-1AABED,-1AAADE,-1AAB44
-1C257C,-1C2986,-1C2522
-1AAD73,-1AAAD5,-1AADB3
-1C257B,-1C2830,-1C2490
-1AAC6C,-1AAD32,-1AAC3A
-1C26BC,-1C281B,-1C27A3
-1AA912,-1AAD38,-1AAB8E
-1C2643,-1C2840,-1C2764
-1AAC0C,-1AADEE,-1AACB2
-1C2788,-1C26AE,-1C271A
-1AAA78,-1AAB57,-1AAAA0
-1C25F8,-1C254C,-1C25BC
-1AACDF,-1AACCF,-1AAB60
-1C2587,-1C26B8,-1C2704
-1AABBE,-1AAA9E,-1AAB7D
-1C270F,-1C27CD,-1C2735
-1AAA61,-1AAB61,-1AAAF0
-1C2708,-1C2762,-1C27E1
-1AA9C1,-1AAA61,-1AAC9C
-1C2876,-1C2592,-1C2729
-1AACC5,-1AACD0,-1AAC57
-1C2794,-1C289B,-1C27A1
-1AAD88,-1AACE1,-1AAB5B
-1C287D,-1C2853,-1C27DC
-1AAD1A,-1AADA9,-1AAD68
-1C25DC,-1C26F1,-1C26A4
-1AAD08,-1AADF5,-1AAC04
-1C263F,-1C276F,-1C2715
-1AABE2,-1AACA4,-1AAAFB
-1C26A9,-1C26AE,-1C266B
-1AAD93,-1AAD06,-1AAC19
-1C2578,-1C285E,-1C273F
-1AACAD,-1AAB5F,-1AAB02
-1C27AD,-1C2773,-1C2815
-1AAC4C,-1AAB2F,-1AAB6B
-1C279C,-1C2639,-1C299A
-1AAE03,-1AAE21,-1AAEED
-1C2647,-1C283A,-1C2666
-1AAD07,-1AAC9F,-1AADC4
-1C29C2,-1C256D,-1C2756
-1AAD59,-1AAEB5,-1AAD8B
-1C2815,-1C278F,-1C2912
-1AAD9B,-1AAF2B,-1AAEA7
-1C2797,-1C2968,-1C299C
-1AAD6C,-1AACE7,-1AADC1
-1C2697,-1C26D4,-1C2773
-1AABD0,-1AABA6,-1AACC1
-1C2804,-1C294E,-1C28AF
-1AAD54,-1AAE8A,-1AABE7
-1C2865,-1C27C1,-1C292C
-1AAE05,-1AAC2A,-1AAAF5
-1C285C,-1C2893,-1C298E
-1AAE33,-1AAEF0,-1AAEB2
-1C2849,-1C2A7F,-1C2837
-1AAE1C,-1AADC5,-1AAD4E
-1C28CE,-1C2884,-1C285A
-1AAEC1,-1AAE09,-1AAE6F
-1C295F,-1C2774,-1C2856
-1AAD20,-1AAD2F,-1AAE9D
-1C2827,-1C299A,-1C294E
-1AAE8C,-1AAEE2,-1AAF8B
-1C277D,-1C276F,-1C2739
-1AADEE,-1AAC98,-1AAD47
