{'CALIB_RAW_DAC_START_I': 98304, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 6, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-1A3897,-1A38F0,-1A3885
-18C057,-18BFCA,-18BE9B
-1A3A30,-1A387A,-1A3A01
-18BDDC,-18BE1D,-18BF4D
-1A3989,-1A39C7,-1A3A4B
-18BE66,-18BE5D,-18BFE7
-1A397D,-1A3889,-1A398E
-18BF97,-18BF54,-18BE4E
-1A3AA1,-1A3A19,-1A3A3D
-18BEAF,-18BF53,-18BF8C
-1A3A2C,-1A3A74,-1A38C2
-18BEF7,-18BE94,-18BD76
-1A38D9,-1A39B0,-1A3962
-18C03D,-18C08C,-18BDEC
-1A3952,-1A3999,-1A38BC
-18BF16,-18C002,-18BE68
-1A3AF1,-1A3ACF,-1A3905
-18C1BF,-18C185,-18BFDF
-1A3ABD,-1A39CD,-1A3AF7
-18C03C,-18C09E,-18BF44
-1A396B,-1A3962,-1A39B4
-18C12D,-18BF86,-18BF77
-1A39A2,-1A398F,-1A3A97
-18C039,-18BEA1,-18BEFD
-1A38E4,-1A389A,-1A39E4
-18BF7B,-18C016,-18BFA7
-1A38C6,-1A3A32,-1A3950
-18BDD0,-18BF16,-18BF9A
-1A3A04,-1A39AD,-1A39BC
-18C045,-18C05E,-18C0A0
-1A37A8,-1A3A82,-1A398C
-18C21D,-18C188,-18C1F9
-1A3D13,-1A3C69,-1A3AD1
-18C0AF,-18C06D,-18C0A4
-1A3A71,-1A3B22,-1A3B36
-18C0A9,-18C10D,-18C136
-1A3B8A,-1A3BF8,-1A3B6C
-18C1BE,-18C1D8,-18C23F
-1A3BE2,-1A3B4F,-1A3A9C
-18C112,-18BFF8,-18C15D
-1A3A9B,-1A39F8,-1A39C4
-18C075,-18BF94,-18BD2E
-1A3B0A,-1A3A50,-1A3BEB
-18BFAD,-18C160,-18BFEC
-1A398D,-1A3BBD,-1A3814
-18BF0E,-18BEAB,-18BF4A
-1A3959,-1A3916,-1A3ABB
-18BECD,-18C065,-18BFBF
-1A3B16,-1A3A50,-1A3AB7
-18C222,-18C2B8,-18C26A
-1A3B71,-1A3A3E,-1A3A59
-18C043,-18BECA,-18BF75
-1A3B9C,-1A3BC9,-1A3AEF
-18C19E,-18C237,-18C156
-1A3B4B,-1A3A48,-1A3A61
-18C06D,-18C105,-18BF80
-1A3CBF,-1A39E6,-1A3B19
-18BFE1,-18BF4D,-18BFB9
-1A3A59,-1A3C8C,-1A3B54
-18C097,-18BFB1,-18BF89
-1A3B73,-1A394B,-1A3A09
-18C1D3,-18BF95,-18BF4F
-1A3C99,-1A3AFF,-1A3BBA
-18C1A7,-18BFC5,-18C0EA
-1A3BC0,-1A3C45,-1A3C20
-18C202,-18C2AA,-18C1D5
-1A3BE2,-1A3D0F,-1A3B9D
-18C065,-18C19F,-18C1D2
-1A3C27,-1A3C01,-1A3BD2
-18C26F,-18C2B6,-18C2AF
-1A3D68,-1A3D80,-1A3D38
-18C293,-18C1CD,-18C16E
-1A3C73,-1A3C69,-1A3B82
-18C011,-18BF2C,-18C154
-1A3A51,-1A3BB5,-1A3B56
-18C1F5,-18C212,-18C24B
-1A3B3F,-1A3B4C,-1A3CB6
-18BF45,-18C01C,-18C0E7
-1A3CBB,-1A3CE7,-1A3D76
-18C245,-18C08F,-18BF73
-1A3BC2,-1A3B6F,-1A3B3A
-18C1AE,-18C160,-18C408
-1A3CF3,-1A3E06,-1A3C07
-18C156,-18C31C,-18C2D9
-1A3ACC,-1A3BEC,-1A3D92
-18C31D,-18C033,-18C23B
-1A3B91,-1A3C88,-1A3D24
-18C36F,-18C2E1,-18C1AA
-1A3D50,-1A3B73,-1A3D7C
-18C2CB,-18C133,-18C268
-1A3B99,-1A3DD2,-1A3D27
-18C125,-18C26C,-18C2A3
-1A3DFB,-1A3EDA,-1A3C05
-18C23E,-18C29E,-18C171
-1A3DDD,-1A3BB4,-1A3D09
-18C22A,-18C248,-18C2A8
-1A3D40,-1A3E08,-1A3F4F
-18C271,-18C208,-18C548
-1A3BDC,-1A3D38,-1A3D65
-18C44C,-18C1E0,-18BFFD
-1A3E4B,-1A3D7C,-1A3E11
-18C28D,-18C371,-18C1E6
-1A3C55,-1A3E5B,-1A3DC9
-18C39F,-18C134,-18C21E
-1A3D11,-1A3C92,-1A3D20
-18C46F,-18C11C,-18C389
-1A3EBA,-1A3CEB,-1A3B20
-18C224,-18C210,-18C3A2
-1A3CD2,-1A3D40,-1A3C38
-18C3A5,-18C30F,-18C287
-1A3D35,-1A3DD6,-1A3C81
-18C1AF,-18C2A0,-18C293
-1A3FEE,-1A3E4F,-1A3EC9
-18C472,-18C437,-18C50B
-1A3E65,-1A3F45,-1A3EE4
-18C4F5,-18C44B,-18C21A
-1A3F30,-1A3E7D,-1A3DE1
-18C328,-18C283,-18C369
-1A3F04,-1A3CD5,-1A3E23
-18C2FD,-18C3F3,-18C21D
-1A3E0E,-1A3D22,-1A3E45
-18C32A,-18C2B0,-18C555
-1A3E2D,-1A3E03,-1A3E24
-18C40B,-18C1AB,-18C38B
-1A3DA8,-1A3F11,-1A3CB6
-18C365,-18C48B,-18C3AC
-1A3EA4,-1A3E25,-1A3CE2
-18CFCE,-18CB68,-18CD5B
-1A3975,-1A39BE,-1A3A86
-18C092,-18BF9F,-18C12C
-1A3C9A,-1A3B49,-1A3A17
-18C29F,-18C14D,-18BFE5
-1A3C06,-1A3B2C,-1A3C61
-18C1B6,-18C1AF,-18C1A8
-1A3B5B,-1A3BB6,-1A3AC2
-18BF09,-18BFD8,-18C165
-1A39CD,-1A3A8C,-1A3C43
-18BECD,-18C0DC,-18C0DA
-1A39F2,-1A3B80,-1A3AE3
-18BFBC,-18C0CB,-18C094
-1A3BC0,-1A3B11,-1A3B68
-18C174,-18C23D,-18C28D
-1A3A99,-1A3C29,-1A3BBC
-18BF1C,-18C10A,-18C138
-1A3980,-1A3C12,-1A3A0C
-18C05F,-18BFF6,-18C01B
-1A3A7E,-1A3B44,-1A3A31
-18C13E,-18C0B2,-18C0D3
-1A3AA9,-1A3B7B,-1A3C57
-18C18C,-18BF13,-18C05E
-1A3B15,-1A3C26,-1A3A96
-18C167,-18BEFD,-18BE89
-1A3A90,-1A39A7,-1A3AE3
-18BF69,-18C197,-18C051
-1A3B8B,-1A3968,-1A3A9F
-18C0FF,-18BEEE,-18C079
-1A3B36,-1A3DD0,-1A3B54
-18BFA4,-18C10A,-18C137
-1A3A5B,-1A3A61,-1A396E
-18C30B,-18C1C0,-18C1A1
-1A3B9A,-1A3A13,-1A3D57
-18C04C,-18C1E6,-18C3A8
-1A3C10,-1A3BF6,-1A3BF0
-18C25A,-18C185,-18C2F7
-1A39E7,-1A3C51,-1A3BC4
-18C0A7,-18C1D8,-18C241
-1A3B2C,-1A3BFF,-1A3ABD
-18C0B2,-18C070,-18C062
-1A39CD,-1A3B42,-1A3AAB
-18C30E,-18C12F,-18C0F4
-1A3B5A,-1A3AEC,-1A3B73
-18BF13,-18BFEE,-18C1FC
-1A3BA3,-1A3C43,-1A3B55
-18C16A,-18C22B,-18C038
-1A3B9A,-1A3ABA,-1A39B2
-18BE7A,-18BF52,-18BFE8
-1A3B48,-1A3B27,-1A3A66
-18C1CD,-18C115,-18BF3D
-1A3A5C,-1A3B8B,-1A3B2B
-18C022,-18C249,-18BF07
-1A3BEE,-1A3B62,-1A3A85
-18C08F,-18C181,-18C0E7
-1A39AA,-1A3BEE,-1A394F
-18C02B,-18C073,-18C211
-1A3A16,-1A3BF0,-1A3983
-18C180,-18C0CF,-18C1B1
-1A3ADB,-1A3A03,-1A3C20
-18C1FA,-18C179,-18C013
-1A39D8,-1A392F,-1A3B2D
-18C089,-18BF4E,-18C008
-1A3B44,-1A39D2,-1A3A62
