{'CALIB_RAW_DAC_START_I': 131072, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 6, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-184C62,-184C48,-184E5C
-16D2DE,-16D466,-16D1F7
-184B4C,-184BBB,-184C19
-16D0F5,-16D31F,-16CF62
-184C81,-184B29,-184CF1
-16D1D3,-16D1D1,-16D1F4
-184B3B,-184CC6,-184C67
-16D238,-16D095,-16D142
-184BE0,-184DFB,-184CA0
-16D13B,-16D2A5,-16D35D
-184C4A,-184D36,-184C62
-16D1AA,-16D360,-16D315
-184C2D,-184C3A,-184D18
-16D1EF,-16D230,-16D261
-184C73,-184DFF,-184D6C
-16D145,-16D000,-16D251
-184E49,-184D8C,-184EB8
-16D29B,-16D447,-16D1AD
-184FC5,-184C95,-184E32
-16D3D4,-16D441,-16D1BB
-184EE0,-184EB9,-184EAF
-16D3BC,-16D326,-16D62B
-184EB6,-184EE9,-184E18
-16D395,-16D12B,-16D308
-184C77,-184D13,-184FE9
-16D4A0,-16D27C,-16D308
-184DCC,-184D81,-184E97
-16D339,-16D56B,-16D34E
-184F64,-184F06,-184F62
-16D410,-16D316,-16D3A7
-184E25,-184FC7,-184E24
-16D574,-16D5E1,-16D48A
-1850E5,-184BCC,-184EA1
-16D391,-16D553,-16D5DB
-1850C4,-184EA5,-184D44
-16D44A,-16D5F2,-16D393
-184E99,-184DA8,-184FB7
-16D215,-16D4F0,-16D2E2
-184F3E,-184DA6,-184DF6
-16D290,-16D4CD,-16D44A
-184F45,-184D44,-184E5B
-16D4EF,-16D530,-16D49C
-185078,-184FB6,-184EE7
-16D40E,-16D407,-16D385
-184E8F,-184F3D,-184F70
-16D4BA,-16D4BF,-16D3A9
-18506A,-184E8E,-184EB5
-16D402,-16D41F,-16D3F9
-185034,-184ECF,-184E53
-16D4E6,-16D46D,-16D503
-185037,-185039,-184E44
-16D4B9,-16D56B,-16D5CE
-1850A7,-184F99,-184F47
-16D547,-16D4AC,-16D518
-184FF1,-184DD0,-184F4D
-16D639,-16D51D,-16D4E2
-184E5F,-184FA9,-184E57
-16D656,-16D4A7,-16D4BC
-184E6B,-184F52,-184EBD
-16D430,-16D5BE,-16D500
-184F6E,-184E2A,-184EB8
-16D338,-16D4DF,-16D53B
-184E60,-184F17,-185051
-16D75B,-16D68F,-16D6D6
-184EFF,-1851B2,-18502F
-16D62E,-16D695,-16D6AB
-185141,-185035,-1850F8
-16D5AA,-16D614,-16D67E
-184F97,-1852C7,-1851A1
-16D60C,-16D7A7,-16D5AB
-185125,-18500E,-185162
-16D52E,-16D4FE,-16D411
-1850E4,-185177,-184E72
-16D543,-16D6A1,-16D5B4
-1850D0,-185069,-1850A7
-16D43C,-16D55E,-16D5AD
-18513B,-185157,-1851CD
-16D6A9,-16D512,-16D654
-184FB9,-18512C,-185234
-16D6A5,-16D5D4,-16D55A
-1851F0,-184F86,-1850AC
-16D4E7,-16D709,-16D5D1
-18516F,-185128,-1853DE
-16D7F8,-16D521,-16D788
-18524E,-1852BF,-1851E7
-16D70B,-16D67B,-16D697
-1851E7,-1850B0,-18513D
-16D6E2,-16D822,-16D5B7
-185110,-1850DC,-185039
-16D610,-16D7E2,-16D626
-185117,-1852C7,-185215
-16D5DC,-16D60E,-16D701
-1852C7,-185356,-185199
-16D893,-16D79E,-16D6BB
-185186,-1852B1,-1852EF
-16D8B9,-16D8D0,-16D7E6
-185345,-185184,-1851C7
-16D67C,-16D6E7,-16D985
-1852E7,-1852CF,-1851DA
-16D5C1,-16D710,-16D5CC
-18510C,-18516B,-185077
-16D5EC,-16D70D,-16D7BA
-1851C3,-18511A,-1851BC
-16D56C,-16D6AC,-16D680
-185108,-18513B,-185070
-16D701,-16D745,-16D614
-185198,-185285,-1852EA
-16D749,-16D7C3,-16D721
-184E2F,-185183,-18521B
-16D87B,-16D793,-16D7F0
-185143,-185169,-1851BE
-16D675,-16D6AE,-16D69D
-185096,-18525D,-1851B8
-16D811,-16D87D,-16D8CA
-1852A4,-185224,-1852D8
-16D91A,-16D883,-16D85F
-185192,-1850E5,-185249
-16D858,-16D9A6,-16D925
-185219,-18519C,-18523B
-16D808,-16D5FA,-16D715
-185373,-1852B1,-1852B7
-16D612,-16D70C,-16D8CF
-1852F8,-185364,-185416
-16D746,-16D757,-16D88C
-18527B,-18523D,-1853BF
-16D928,-16D70F,-16D8AD
-18523A,-185373,-185151
-16E475,-16E211,-16E362
-184E53,-184F10,-184E97
-16D65C,-16D5B6,-16D3D8
-18510B,-184F43,-184FAF
-16D397,-16D3B9,-16D562
-185002,-184D8D,-184D98
-16D417,-16D457,-16D402
-184E7A,-184F73,-184EAC
-16D402,-16D4F3,-16D480
-184EA8,-184D34,-184EC3
-16D406,-16D3F8,-16D475
-184E26,-184C7A,-184D1A
-16D43D,-16D352,-16D420
-184E39,-184FE4,-184E34
-16D45F,-16D536,-16D4FC
-184EF8,-184E0C,-184FDE
-16D279,-16D3A7,-16D0DD
-18501A,-1851C4,-184F73
-16D4BF,-16D4E8,-16D5EA
-184F58,-184EFE,-184DF1
-16D4CB,-16D404,-16D288
-184E24,-184FC4,-184C6C
-16D5BB,-16D5AA,-16D3BF
-184F1F,-184E44,-185091
-16D5CC,-16D55F,-16D4AE
-184F4E,-184CE0,-184DEB
-16D464,-16D42C,-16D2FB
-184EF4,-184F06,-185042
-16D3FF,-16D475,-16D213
-184DF6,-184D85,-184D23
-16D519,-16D3EA,-16D4F8
-184EDE,-184E6D,-184DD4
-16D68F,-16D42C,-16D545
-184F12,-184F8F,-185032
-16D32F,-16D393,-16D407
-184D50,-184F13,-184DC8
-16D42B,-16D2E3,-16D234
-184F1A,-184F6B,-184EDB
-16D5E1,-16D607,-16D3E4
-184F4E,-184CC0,-184DBE
-16D47A,-16D3D1,-16D33A
-184E43,-184D3D,-184ED1
-16D1D4,-16D3CD,-16D450
-184DA3,-184E3B,-184E6F
-16D51B,-16D60C,-16D4B7
-184EA6,-184F2A,-184ED8
-16D51D,-16D472,-16D3D8
-184F16,-18503A,-184BFE
-16D3F8,-16D298,-16D22E
-184FF5,-184DC5,-184EEA
-16D498,-16D4DB,-16D5A3
-1850D8,-184EF4,-184FB2
-16D491,-16D37E,-16D262
-184FB3,-184F31,-18503F
-16D367,-16D3FF,-16D688
-1850EF,-184F4A,-184FD9
-16D5AE,-16D3A3,-16D273
-184FF1,-184F92,-185077
-16D664,-16D4FA,-16D589
-184E7A,-18503C,-18519E
-16D566,-16D393,-16D4F4
-184FC5,-184F44,-185047
-16D526,-16D459,-16D5AF
-185057,-184FC5,-184F65
-16D394,-16D31C,-16D4F2
-18507F,-18522D,-185197
-16D5DD,-16D5E4,-16D701
-185138,-18501E,-184F36
-16D620,-16D74C,-16D721
-184F57,-18507D,-185012
-16D3F8,-16D5E6,-16D5A3
-184F49,-185101,-184FDB
-16D548,-16D369,-16D594
-184E36,-18514E,-185097
-16D6EA,-16D6DC,-16D634
-184ED9,-184F1F,-18502F
-16D775,-16D520,-16D657
-1850C4,-18503A,-184F49
-16D592,-16D651,-16D736
-184E79,-184FBF,-185085
-16D59D,-16D5AC,-16D48D
-185144,-18528D,-185288
-16D8D4,-16D7FA,-16D54A
-1850FE,-185207,-1850D4
-16D5FA,-16D6BF,-16D5B1
-1851E1,-185160,-1850ED
-16D86B,-16D620,-16D6DD
-185190,-18510A,-184FD8
-16D6A7,-16D6D8,-16D56D
-1851A7,-184F70,-185253
-16D63C,-16D62B,-16D6C8
-184EC8,-185213,-184FB8
-16D5B9,-16D4CE,-16D706
-1851FD,-185163,-184E3F
-16D576,-16D593,-16D7CD
-185033,-18519B,-185198
-16D81D,-16D5F4,-16D77F
-1851AC,-1851DC,-185229
-16D86F,-16D883,-16D89F
-185234,-1851FF,-1850BC
-16D631,-16D637,-16D8ED
-1853E3,-185487,-18530A
-16D782,-16D797,-16D91E
-185201,-1852E2,-18527A
-16D6EB,-16D72E,-16D646
-1852FE,-185265,-18538F
-16D787,-16D788,-16D7D2
-1850C0,-185297,-184FF2
-16D7B9,-16D613,-16D4CE
-185332,-185143,-184F65
-16D615,-16D4C7,-16D90F
-18502E,-184FA6,-185148
-16D738,-16D4C0,-16D747
-1851F2,-1850D2,-1850F0
-16D7D2,-16D6AE,-16D77A
-185098,-185206,-185095
-16D760,-16D607,-16D910
-185303,-185141,-185226
-16D81D,-16D6C7,-16D7DE
-185006,-1851BA,-1852AA
-16D7DE,-16D657,-16D6A0
-185350,-1852C1,-185040
-16D80F,-16D8AE,-16DA72
-185183,-185000,-1850BC
-16D747,-16D6C8,-16D642
-185028,-185144,-18509D
-16D619,-16D630,-16D562
-185016,-185120,-1851BF
-16E720,-16E734,-16E98C
-184951,-1847F8,-18481E
-16CD24,-16CDAE,-16CDBC
-1847D7,-184921,-1848A2
-16CF09,-16CC57,-16CF16
-184794,-1848A0,-184A06
-16CF30,-16CF4E,-16CE08
-1848E5,-184995,-18489E
-16CF1C,-16CEF4,-16CD75
-184785,-1847CE,-184816
-16CDDA,-16CE32,-16CE09
-1846ED,-1846D8,-18482E
-16CD16,-16CCD4,-16CB8A
-1847CB,-18482B,-1849C6
-16CD85,-16CE71,-16CE20
-184978,-1847B8,-18477A
-16CE6E,-16CD79,-16CE89
-18488D,-184AA1,-18495B
-16CEC1,-16CEED,-16CDFB
-1848C3,-18495D,-18487E
