{'CALIB_RAW_DAC_START_I': 163840, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 6, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-165FC6,-165FCA,-1660D8
-14E596,-14E5DB,-14E5FC
-165FFC,-16600A,-1661BB
-14E6C4,-14E307,-14E501
-165FB6,-16610A,-165F92
-14E62C,-14E5AA,-14E55A
-16614D,-165F19,-165F5F
-14E59B,-14E5AF,-14E5F6
-165FC9,-165F09,-166029
-14E731,-14E53B,-14E5BD
-165F91,-165F1D,-165F24
-14E563,-14E392,-14E476
-165FB8,-166015,-166005
-14E627,-14E60C,-14E5F7
-1661BA,-166209,-165FB2
-14E678,-14E4CC,-14E41A
-166254,-16629B,-166152
-14E6D5,-14E7C3,-14E690
-166269,-16625F,-166222
-14E5F5,-14E79B,-14E96C
-16604E,-1663A8,-166146
-14E70F,-14E704,-14E831
-166176,-16632C,-166241
-14E5B8,-14E723,-14E685
-166273,-1661DB,-1662BB
-14E5C0,-14E601,-14E567
-16618F,-1661B3,-166119
-14E5A7,-14E5EB,-14E76A
-166127,-1660D7,-1661E5
-14E73F,-14E6D3,-14E748
-1661A0,-1661E4,-1660ED
-14E8BA,-14E808,-14E6E6
-1660F4,-166157,-166149
-14E693,-14E939,-14E6C0
-1661F2,-16625A,-166268
-14E829,-14E8AA,-14E70A
-166324,-16631C,-16633F
-14E642,-14E843,-14E806
-166215,-166240,-1661FA
-14E8EF,-14E639,-14E68F
-166232,-166272,-16629F
-14E75D,-14E787,-14E6EF
-166178,-166141,-166313
-14E6C8,-14E8BB,-14E78D
-166313,-1661CF,-166137
-14E82C,-14E7E1,-14E989
-166256,-166074,-1662AA
-14E867,-14E896,-14E6F1
-1663C6,-166468,-166235
-14E993,-14E985,-14E817
-166255,-1662EA,-1661E0
-14E81F,-14E761,-14E88F
-16614D,-16627E,-166235
-14E8E7,-14E894,-14E92E
-1662D9,-16633A,-166362
-14E923,-14E9DC,-14E939
-16633A,-16630D,-1660FA
-14E7C7,-14E88B,-14E7EC
-166253,-16632A,-166181
-14E7A1,-14E762,-14E868
-166232,-166312,-166354
-14E93B,-14E851,-14E8F0
-166193,-16621B,-16617A
-14E87B,-14E953,-14E735
-1662C6,-166307,-1662BA
-14E8EB,-14E6C8,-14E8F8
-1660B0,-166185,-166351
-14E933,-14EAB6,-14E8AD
-166207,-166356,-1662D6
-14E9EA,-14E856,-14EA16
-1663FA,-1663E8,-16648E
-14E8FE,-14E906,-14E8EE
-166352,-1663B4,-166430
-14E9E2,-14EAAF,-14EA32
-16641D,-1663A3,-16633E
-14E7F8,-14E819,-14E93F
-166160,-166275,-166325
-14E89A,-14E9DF,-14E89B
-1662BA,-16612D,-16639F
-14E81F,-14E728,-14E89F
-166281,-1663C2,-166441
-14EAB1,-14E9D6,-14E89C
-16658E,-16639B,-1665A9
-14E929,-14E99D,-14E88B
-166307,-166463,-1663BE
-14E8D3,-14E7B8,-14E918
-16659F,-16656A,-1665F4
-14E913,-14E82D,-14E8DA
-166510,-1663AE,-16644F
-14E878,-14E908,-14E993
-166443,-1663D3,-16650D
-14EAAF,-14E8CD,-14E9A9
-16635C,-166172,-166381
-14E9CB,-14E7FC,-14E946
-1660C5,-1663BE,-16627E
-14E8E9,-14EA8D,-14E879
-1664D0,-1665A7,-16635E
-14EAED,-14E929,-14EB32
-16626A,-16648E,-1663E0
-14EA9B,-14E929,-14E937
-166443,-1662E9,-16637A
-14E8AE,-14EA5F,-14E8C6
-16637B,-16648E,-16657D
-14EB69,-14E958,-14E9B7
-166258,-166626,-166264
-14EA46,-14E8B8,-14EA9E
-1662EC,-166395,-166352
-14EBF5,-14EA80,-14EA03
-16641B,-166380,-1665C2
-14EADA,-14E9F7,-14EB60
