{'CALIB_RAW_DAC_START_I': 196608, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 6, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-148506,-14840B,-148598
-130A7E,-1308CA,-130ABF
-1483A3,-14854B,-1484AE
-130C72,-130CA9,-130B20
-1485B1,-14847B,-14859B
-130ABF,-130B0B,-130B3E
-148441,-148451,-1485AE
-13082E,-130AEF,-130BAE
-1483CD,-1483C3,-1485A6
-130BA5,-130CE3,-130BF3
-148747,-14867C,-1484B3
-130C36,-130AC7,-130A57
-1485F7,-148661,-148805
-130B4A,-130BE0,-130D5D
-148608,-148717,-1485DC
-1309B4,-1308D4,-130B86
-1486C7,-148815,-148675
-130D11,-130E17,-130CD1
-1486BB,-148739,-1487F3
-130C9C,-130BF6,-130D03
-14877F,-14899A,-1489B2
-130B2C,-130E8F,-130DC1
-1485DF,-148729,-1487A1
-130C02,-130BE4,-130D84
-14858D,-14875D,-148424
-130D6A,-130B14,-130BB8
-1486CD,-1485B6,-14856A
-130BF3,-130C0E,-130C59
-1487B9,-14863C,-148618
-130E01,-130C9C,-130C01
-148606,-148732,-148584
-130AE8,-130CB0,-130BAE
-1486B2,-1485A1,-14866C
-130E3B,-130C2B,-130B65
-148688,-148514,-1486F7
-130BA7,-130CB8,-130DBD
-14870D,-14855A,-14865E
-130D8A,-130BEF,-130B09
-148654,-1488ED,-148895
-130EA0,-130D70,-130D5A
-14872B,-148796,-14863B
-130BE4,-130ADE,-130D3D
-148626,-1484C4,-1485CC
-130BF6,-130CBD,-130B2D
-14884F,-148768,-1487F2
-130C56,-130CB9,-130CF2
-148628,-14867B,-14863B
-130CBE,-130B98,-130BCB
-1487AE,-148760,-1487EC
-130C37,-130C19,-130D4E
-14873D,-148781,-1487EF
-130C40,-130C98,-130EDD
-1486CB,-148750,-1487D3
-130E59,-130C8F,-130D1C
-148815,-1487D3,-1487BA
-130DB0,-130D9B,-130CEA
-148930,-148950,-148A4A
-130CAE,-130E45,-130D8A
-148786,-148850,-148785
-130DFC,-130D06,-130F45
-1488FE,-14891B,-1487FA
-130EC8,-130D2C,-130BF6
-1487FF,-14876D,-1488E7
-130F12,-130E01,-130EB2
-148809,-14888A,-148902
-130ED0,-130E48,-130E42
-148A15,-148A94,-148950
-130E85,-130DFA,-130DBD
-148951,-1488C2,-1489FB
-130D6D,-130FD5,-130DCA
-14891F,-148B1F,-148ABB
-130F3A,-130FB4,-130F64
-148A58,-1488F4,-148927
-130EB9,-130E14,-130F9F
-1488B7,-148936,-148A57
-131007,-1310FE,-130FD9
-148984,-148A8E,-148A93
-130F32,-131108,-130E79
-148AFC,-148A49,-148973
-130E51,-130FCB,-130EEF
-148B95,-148967,-148901
-13103C,-131152,-130EBD
-14891A,-1489E7,-148B4E
-130FA2,-130DD0,-130FF1
-148A26,-148C00,-148A6E
-131041,-130FF9,-130FCB
-148B52,-14898A,-148BAD
-130F30,-130E9D,-130D1E
-1489C9,-148B14,-148AD6
-131101,-1310F2,-13100D
-148B4C,-1488B5,-148B33
-130EEA,-130FBD,-130F97
-148A4D,-148A99,-148A68
-130F7A,-131036,-131271
-148ADC,-148A13,-148C3F
-131182,-13115E,-130E76
-14885E,-1489BC,-148971
-1311F4,-1311D2,-13109E
-148B75,-148B41,-148C24
-131024,-1310D4,-131123
-148AEC,-148A4D,-148A5F
-1311A0,-1310FD,-131165
-14897C,-148B8D,-148C14
-1311BB,-131125,-130FE2
-1489BF,-1489D2,-148AB8
-1310D0,-130F72,-13104E
-148AC9,-148998,-1489BC
-1310E3,-13121A,-130FB3
-148B1F,-148A60,-1489B6
-130DA0,-130FA8,-130E87
-148A9F,-148A6A,-148A15
-130EFC,-130E06,-130E6E
-148A94,-148C8D,-148A07
-1311FB,-13100D,-1311CD
-148A46,-148989,-148A7E
-131005,-131063,-131055
-148945,-14899D,-148AEA
-130EAE,-130FBF,-130FDA
-148ABF,-148B71,-148A45
-130FBB,-130F14,-130FF3
-148C0F,-148AD4,-148B6D
-13116A,-1310C5,-1311EC
-1489D5,-148BF1,-148C62
-131144,-1310CB,-130FFF
-148C4E,-148B2A,-148AB7
-1311D1,-1310B7,-130FDE
-148AAF,-148E45,-148A5C
-1318E6,-131ADC,-131AB6
-14869F,-14885F,-148994
-130C09,-130D3D,-130C4D
-14889D,-148845,-14877D
-130C56,-130BC9,-130B63
-14890B,-14874B,-148786
-130D44,-130DDD,-130D2D
-148901,-148870,-1488D0
-130D66,-130D6F,-130C01
-148777,-148756,-1487F1
-130B7D,-130BCE,-130B73
-148796,-148739,-14873C
-130C9A,-130C28,-130B8D
-148686,-148562,-14871E
-130C2B,-130BDA,-130B8A
-148734,-14866D,-1486A4
-130BFC,-130B41,-130BD0
-1486F5,-1488BD,-14874E
-130CAB,-130C92,-130E96
-1487FC,-1486EC,-1485BA
-130C1A,-130BA4,-130B8F
-148744,-1486EC,-14871B
-130B67,-130D41,-130CB2
-1487DA,-1487BB,-1488F9
-130CCA,-130C88,-130CB1
-148687,-148871,-1487DC
-130CBE,-130C39,-130C46
-148774,-1486C2,-148797
-130CAC,-130BED,-130A81
-148758,-148691,-1485DB
-130E8B,-130BF7,-130C1C
-148954,-14882B,-1486EF
-130D4E,-130D03,-130CB5
-148743,-148758,-148852
-130D5E,-130D9B,-130F62
-14873B,-148772,-148943
-130E22,-130D6B,-130D57
-1487B0,-148887,-1488AA
-130D54,-130CD7,-130EA4
-1487E3,-14889D,-148714
-130CBD,-130CDF,-130E4D
-14867A,-148819,-148618
-130CCB,-130E95,-130D1B
-148721,-148895,-14855F
-130C46,-130C70,-130ABA
-1486E6,-14880D,-148689
-130DB2,-130D82,-130CA8
-14875C,-1488F6,-1487C3
-130D12,-130C31,-130C57
-148975,-148932,-14882F
-130C0D,-130DFC,-130CF6
-1487DB,-148870,-148711
-130DD8,-130D7C,-130C9F
-148929,-1488FF,-1487CE
-130D47,-130E56,-131028
-148A75,-1487FD,-148720
-130DEC,-130E69,-130CA4
-148A61,-14895D,-1487E0
-130D41,-130DBF,-130D4A
-1489E6,-14871E,-148750
-130D43,-130CF5,-130C39
-14878E,-148659,-148655
-130C9F,-130C5C,-130D52
-14885F,-14882D,-14879B
-130B76,-130D10,-130E73
-148831,-14897C,-14887A
-130E74,-13113E,-130DFF
-1488BF,-14873E,-14895F
-130F0E,-130DA4,-130F41
-1488E5,-1488BF,-148AA5
-130EED,-130C7D,-130D74
-148735,-148917,-148766
-130DB0,-130EEA,-130EEC
-14891E,-1487E3,-1487C7
-130E7A,-130F38,-130E02
-1487DC,-1488A1,-1487AE
-130D6B,-130E0A,-130E83
-14881C,-1488EB,-1488A2
-130D6B,-130DCE,-130DB0
-148827,-148719,-1488EE
-130BFD,-130B53,-130CC3
-148880,-1488B3,-1489EE
-131093,-13100B,-130F65
-14893A,-14867F,-1488C5
-130E37,-130DDE,-130CDE
-148869,-1489CA,-148831
-130F57,-130FA8,-130FC2
-148A6A,-148890,-1488BB
-130F3E,-130E7A,-130D6B
-148A92,-148ACA,-14898C
-130F15,-130ED1,-1310C9
-148A29,-148A59,-148877
-130F8F,-130F26,-13100F
-148871,-1489B7,-148842
-130EF9,-130FC5,-130D12
-14893D,-1488F3,-148906
-130ED4,-130D17,-130F76
-14894E,-148B1C,-148927
-13102E,-130EFF,-130F32
-1488E0,-148B3E,-14886D
-13104D,-130F04,-130D77
-14893F,-1489AF,-148AD8
-130F74,-130F33,-130FEB
-148A59,-14885B,-14898E
-130EE8,-130DC2,-130E7E
-1488FF,-1489C2,-148BEA
-130E13,-1310AB,-130EFB
-148AD1,-148A25,-14868A
-1310CE,-130FC5,-130F1F
-1488C4,-1489B3,-148959
-1310DC,-130EF8,-130F85
-148A34,-148954,-14879E
-130CEC,-130DA9,-130DC8
-14893D,-148AD5,-148B2C
