{'CALIB_RAW_DAC_START_I': 262144, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 6, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-109A02,-109925,-10982F
-F1FAA,-F1FC3,-F21C7
-109A73,-109928,-109902
-F2068,-F1DD8,-F1EE5
-109ABA,-109A0E,-109BEB
-F20F9,-F20F0,-F200F
-109B4C,-1099E3,-109CF9
-F20BF,-F1F12,-F2160
-109B75,-109A77,-109A0F
-F1FB3,-F1F77,-F1FF2
-109AD3,-109BCB,-109AE8
-F20CF,-F1F4A,-F1EEA
-109ADB,-109887,-109AC4
-F2091,-F21A8,-F1F36
-109ABC,-109BF9,-109B36
-F1F9A,-F2001,-F206B
-109D91,-109A6B,-109C65
-F2465,-F22F9,-F2233
-109D14,-109CA1,-109BD5
-F2135,-F215A,-F2273
-109A37,-109CCE,-109CA6
-F2239,-F2043,-F214D
-109A2E,-10996B,-109A9B
-F203B,-F2061,-F207E
-109BBF,-109AE3,-109AED
-F21A0,-F218C,-F218B
-109AF4,-109B4C,-109BCA
-F2295,-F1ED5,-F202C
-109AB5,-109CC8,-109C5B
-F2061,-F2088,-F221B
-109D6A,-109BF1,-109A49
-F2305,-F221A,-F230A
-109C18,-109D09,-109C74
-F211E,-F22AD,-F21BA
-109B62,-109D23,-109CC7
-F22DC,-F2431,-F23A3
-109B27,-109DF5,-109D11
-F2326,-F229F,-F23C2
-109D4E,-109CF3,-109C1A
-F228D,-F2194,-F22D7
-109D34,-109BDC,-109CA1
-F228A,-F2251,-F22D7
-109E84,-109DA1,-109E78
-F2030,-F2481,-F219B
-109C28,-109F3E,-109C71
-F228F,-F209B,-F21CD
-109B35,-109CFA,-109D47
-F2218,-F20FD,-F2235
-109BF5,-109C96,-109F4D
-F255C,-F23BD,-F23AF
-109EB4,-109E91,-109D71
-F225E,-F22C3,-F223E
-109F2B,-109DDD,-109D82
-F22D8,-F24F2,-F2489
-109DD2,-109DA6,-109CF0
-F23DD,-F2378,-F236C
-109C36,-109CE2,-109BEF
-F218E,-F23C7,-F21E7
-109BA8,-109C55,-109C7B
-F2286,-F2340,-F2357
-109E14,-109EF7,-109E22
-F219E,-F245A,-F2366
-109E1C,-109C9A,-109DCD
-F2436,-F2470,-F250C
-10A007,-109F4A,-10A037
-F25DF,-F2423,-F23E6
-109EFF,-10A19B,-109F5B
-F2487,-F2544,-F261A
-109F4D,-10A022,-109F59
-F273A,-F24A1,-F2695
-109D5B,-109FB4,-109FD8
-F242E,-F2248,-F2446
-109D83,-109DD9,-109ECF
-F24FF,-F239B,-F23D0
-109E19,-109B86,-109EB4
-F22C0,-F244C,-F248E
-109E13,-109E21,-109EBB
-F244C,-F2396,-F2229
-109EED,-109E79,-109F5F
-F226C,-F2276,-F226F
-109FCD,-109F7E,-109E0D
-F245F,-F241F,-F2519
-109D03,-10A015,-109E07
-F2380,-F23BA,-F25D1
-109EB3,-109FD5,-109EF0
-F2367,-F24E3,-F246E
-109D2D,-109F64,-109EBE
-F24A2,-F2326,-F23C1
-109E1B,-109F5D,-109EE3
-F2549,-F249C,-F272C
-10A00D,-109F3F,-10A04F
-F25DB,-F25E5,-F2513
-109F47,-109F2D,-10A0A8
-F2516,-F2520,-F2625
-109FF6,-109F22,-10A0E5
-F2511,-F24D2,-F25ED
-10A0DF,-10A206,-10A018
-F254C,-F2537,-F2417
-109F72,-10A22E,-109F81
-F2692,-F2522,-F2602
-109E78,-10A124,-109E70
-F251F,-F255C,-F2558
-109EB9,-109E5E,-109EAC
-F23D9,-F23E5,-F255A
-109DEE,-109E44,-109F44
-F24AF,-F26AC,-F24D3
-109F9B,-109F65,-109F85
-F25D8,-F25B6,-F2633
-109F52,-10A132,-10A324
-F26DF,-F2557,-F26AC
-109F87,-109F1D,-10A09E
-F23F5,-F245D,-F2414
-109FBA,-109FF1,-10A1B1
-F259E,-F24C2,-F2500
-10A0B8,-109E19,-10A120
-F2432,-F2741,-F2425
-109E81,-109EDB,-109E17
-F24FC,-F249D,-F24B1
-109F7A,-109F44,-10A079
-F24B0,-F277A,-F2685
-109E93,-109E65,-109E81
-F2427,-F2414,-F2492
-109E27,-109FF2,-109F38
-F237B,-F254E,-F268D
-109E7E,-109FF9,-10A0EC
-F26DA,-F2536,-F23D7
-10A178,-10A023,-109F17
-F3051,-F2E8F,-F3039
-109BFE,-109B62,-109CBE
-F224F,-F243B,-F23CD
-109AE5,-109B13,-109C43
-F212E,-F2128,-F2203
-109C7F,-109D52,-109A2F
-F2276,-F2122,-F2231
-109B70,-109BE2,-109AFE
-F2230,-F22A2,-F2184
-109C1B,-1099D0,-109BBD
-F2243,-F20BD,-F216D
-109CCF,-109BC0,-109D02
-F21CF,-F23C2,-F2156
-109BD0,-109D14,-109D40
-F22BC,-F2287,-F225F
-109CED,-109D2C,-109D81
