{'CALIB_RAW_DAC_START_I': 294912, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 6, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-EC96D,-EC991,-ECABF
-D4E94,-D4EFB,-D50DE
-ECB46,-EC9EF,-ECADB
-D4FB5,-D4FD3,-D5250
-EC994,-EC9EF,-ECA19
-D4FBE,-D4FD3,-D4FDC
-ECA03,-ECA42,-EC935
-D502A,-D50EC,-D50E0
-EC9D1,-ECB02,-EC98B
-D4EB7,-D50AE,-D4F94
-ECA0A,-ECAB6,-ECAC0
-D4F99,-D4E63,-D5045
-EC9B3,-EC8E6,-EC8AC
-D50A4,-D4F75,-D5104
-EC9F1,-EC944,-EC99A
-D4D99,-D4DC0,-D504A
-EC901,-EC99A,-ECACD
-D510F,-D4FCE,-D50F0
-ECCEC,-ECBD8,-ECB79
-D50E5,-D502D,-D501C
-ECAF1,-ECCD6,-ECBF9
-D5296,-D514A,-D503D
-ECA04,-ECA59,-ECB64
-D503D,-D51AA,-D4FB6
-ECBA9,-ECCAE,-ECC7D
-D50D3,-D4F2B,-D502B
-EC98A,-ECA8A,-ECCFC
-D5099,-D510A,-D509C
-EC9FF,-ECC04,-ECC96
-D4F26,-D5258,-D5073
-ECAC0,-ECA0D,-EC946
-D50D9,-D51B2,-D5315
-EC9A2,-ECC77,-ECC8D
-D528F,-D51ED,-D5061
-ECC1E,-EC941,-ECA95
-D51D3,-D50CB,-D500C
-ECB86,-ECCCA,-ECC1A
-D5062,-D5186,-D52CA
-ECD1A,-ECDDE,-ECD18
-D5208,-D50B8,-D5129
-ECC46,-ECB55,-ECA3F
-D5068,-D4F66,-D4E01
-ECA18,-ECA9E,-ECB26
-D50E6,-D51A3,-D50C3
-ECC80,-ECB37,-ECB88
-D50F3,-D51B2,-D5092
-ECB64,-ECB3B,-ECC1A
-D4FEB,-D4F1A,-D50AC
-EC95F,-ECABF,-ECA6A
-D5149,-D51B5,-D504F
-ECB94,-ECAC8,-ECCD6
-D5185,-D50D4,-D5194
-ECC53,-ECBF0,-ECC78
-D5238,-D51E0,-D50C9
-ECD2B,-ECBC5,-ECB75
-D502D,-D5200,-D532F
-ECB57,-ECB7E,-ECC4D
-D5120,-D5056,-D5057
