{'CALIB_RAW_DAC_START_I': 327680, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 6, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-CDDF1,-CDE0E,-CDD56
-B624F,-B6421,-B63D9
-CDD08,-CDB7C,-CDC29
-B61E6,-B6087,-B60EF
-CDC13,-CDBE1,-CDC4E
-B6226,-B6231,-B62D7
-CDE35,-CDDA7,-CDE42
-B6209,-B62C3,-B6238
-CDC74,-CDCB4,-CDC17
-B638B,-B62B3,-B615B
-CDB95,-CDE71,-CDCEB
-B6329,-B6296,-B62EA
-CDC9A,-CDE30,-CDE30
-B6515,-B63B6,-B6462
-CDB08,-CDD1C,-CDE30
-B6141,-B617C,-B625C
-CDD8A,-CDED7,-CDF46
-B63FA,-B62F4,-B63FA
-CDE0C,-CDF35,-CDE92
-B630F,-B6397,-B629A
-CDE13,-CDF22,-CDF72
-B649B,-B6473,-B6524
-CDEA4,-CDEF6,-CE019
-B6518,-B64CF,-B6444
-CDFD2,-CDEA1,-CDD8D
-B63D7,-B656C,-B6492
-CDD39,-CDF1D,-CDF33
-B63A5,-B641D,-B6451
-CDE66,-CDEA6,-CDDB1
-B6638,-B6686,-B63A2
-CE088,-CDF73,-CDEA4
-B643B,-B64D1,-B640D
-CDE5A,-CDF61,-CE08E
-B6693,-B6419,-B65FA
-CDF0E,-CDF86,-CDF0B
-B63B3,-B62A4,-B63B2
-CE017,-CDFFC,-CDF15
-B6510,-B65E7,-B639A
-CE065,-CDD81,-CDEB6
-B655C,-B651E,-B6482
-CDEEC,-CDF8D,-CDED8
-B64B4,-B64F4,-B64C1
-CDF77,-CDE6C,-CDE5E
-B63E4,-B6420,-B62ED
-CDCDF,-CDE11,-CDDF1
-B64D8,-B6580,-B6502
-CDFA8,-CDEB6,-CDF37
-B6383,-B643C,-B649E
-CE066,-CDFD1,-CDE8F
-B66D4,-B646F,-B62B7
-CE0FC,-CDE1A,-CDF22
-B6361,-B6482,-B6440
-CDDE3,-CDF2B,-CDE77
-B6594,-B6562,-B6561
-CDF28,-CDFC9,-CDF0E
-B6386,-B62E1,-B6443
-CDE78,-CDD3E,-CDDA0
-B664D,-B63FC,-B635F
-CDD08,-CDEEA,-CDF2C
-B6469,-B6380,-B6429
-CDEBF,-CDFC7,-CDF38
-B6438,-B635C,-B63D0
-CDE53,-CDEBA,-CDD61
-B63E7,-B648D,-B6552
-CDF37,-CDEED,-CE11B
-B642A,-B661E,-B65B6
-CE0C1,-CDEB7,-CE022
-B651E,-B6537,-B63C2
-CE144,-CDF01,-CE199
-B6529,-B6642,-B6681
-CE06E,-CDF5B,-CDFC8
-B64A0,-B64A5,-B650A
-CE0CB,-CDF0D,-CDF99
-B646E,-B6778,-B6546
-CDC7A,-CDE3B,-CDE04
-B62DA,-B64B3,-B62A9
-CDEA4,-CDEBB,-CDFDE
-B65BC,-B64D3,-B6643
-CE1A0,-CDF9F,-CDFBC
-B6549,-B65A7,-B6590
-CDFA2,-CE04F,-CE274
-B660E,-B672F,-B6554
-CE213,-CE056,-CE021
-B6543,-B6693,-B658C
-CE04D,-CE179,-CE183
-B670E,-B6719,-B664E
-CE1AD,-CE036,-CDF90
-B6525,-B6592,-B65D5
-CDEFD,-CDFD6,-CDFBA
-B650C,-B6647,-B649D
-CDF1B,-CDE8B,-CE0AD
-B6654,-B6367,-B64B2
-CE058,-CE0C3,-CDF94
-B66BF,-B65C7,-B65B1
-CDFFF,-CDF6F,-CE047
-B661B,-B6786,-B66AB
-CDFF0,-CE081,-CDF9A
-B679D,-B66CD,-B6651
-CE298,-CE348,-CE26A
-B66E8,-B68BE,-B67A5
-CDF69,-CE02F,-CE0FD
-B660C,-B677D,-B66DC
-CE0D3,-CDFA4,-CE1C9
-B6583,-B651F,-B66C7
-CE066,-CE179,-CE18C
-B6785,-B650A,-B658F
-CE03D,-CDFA8,-CDFF8
-B6662,-B6454,-B67AC
-CE16D,-CE03F,-CE197
-B6880,-B65CB,-B6752
-CE145,-CE1BB,-CE0D1
-B6700,-B641B,-B64C1
-CE215,-CE223,-CE308
-B6741,-B66B4,-B67CD
-CE165,-CE0B1,-CE19D
-B66B3,-B67C8,-B675A
-CE260,-CE361,-CE186
-B6751,-B689D,-B6887
-CE29B,-CE122,-CE10F
-B6712,-B6455,-B68A2
-CE05D,-CE206,-CE040
-B66AD,-B684E,-B6576
-CE00E,-CE160,-CE217
-B6670,-B66B8,-B665C
-CE0E1,-CE2C7,-CE125
-B67BD,-B6805,-B68FE
-CE0D9,-CE326,-CE394
-B72AE,-B722D,-B70FA
-CDDA1,-CDD5D,-CDD3F
-B6318,-B61EA,-B610B
-CDCA4,-CDE7A,-CDE0D
-B63B8,-B6490,-B6564
