{'CALIB_RAW_DAC_START_I': 360448, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 6, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-AF7D5,-AF8A2,-AF79B
-97E57,-97D77,-97E8F
-AF794,-AF7CD,-AF85A
-97E6A,-97F47,-97EC7
-AF861,-AF81B,-AF904
-9800A,-97F56,-97EAA
-AF79C,-AF87F,-AF9BE
-97E40,-97DC7,-97EDD
-AF841,-AF895,-AF774
-97DA1,-97F15,-97EAB
-AF7B4,-AF808,-AF80F
-97C13,-97C67,-97D33
-AF952,-AF953,-AF7FF
-97D64,-97C6E,-97BC6
-AF79C,-AF796,-AF6D5
-97BF8,-97C99,-97DC1
-AF8BB,-AF95A,-AF919
-97BB7,-97EA0,-97D3B
-AF6DC,-AF98B,-AF77B
-97D0B,-97B16,-97D56
-AF5C7,-AF860,-AF8E6
-98038,-97FC5,-97E7D
-AF7D9,-AF794,-AFA31
-97DB3,-97E82,-97E54
-AF893,-AF830,-AF816
-97D19,-97CC0,-97B2B
-AF738,-AF6B6,-AF5B2
-97AAC,-97CFE,-97BDC
-AF766,-AF961,-AF7DF
-97ED6,-97EC5,-97F09
-AF7F6,-AF873,-AF6B0
-97ED3,-97EE4,-97F81
-AF6BC,-AF7BC,-AF827
-97F52,-97E73,-97DB9
-AF864,-AF8E7,-AF978
-97DD8,-97DF5,-97E58
-AF916,-AF924,-AF774
-97F4E,-9805E,-97DFC
-AF79B,-AF8E7,-AF890
-97E51,-9806A,-97BEA
-AFAFE,-AFA14,-AF7F5
-97DA7,-97D29,-97E00
-AF627,-AF959,-AF7A5
-97E03,-97E53,-97DEE
-AFA6C,-AF9C3,-AF751
-97D8C,-97F10,-97E0E
-AF83A,-AF845,-AF745
-97C5C,-97B71,-97DFA
-AF82D,-AF80A,-AF830
-97E38,-97D94,-97CBC
-AF731,-AF88E,-AF77F
-97E03,-97D15,-97D05
-AF8DF,-AF790,-AF7A1
-97D02,-97CCD,-97DE7
-AF7FB,-AF926,-AF930
-97E13,-97F33,-97D28
-AF6F1,-AF863,-AF798
-97C7F,-97E46,-97C3A
-AF8F1,-AF939,-AF81F
-97CF0,-97DCB,-97CA7
-AF687,-AFA2A,-AF913
