{'CALIB_RAW_DAC_START_I': 393216, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 6, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-91AD2,-91B5B,-91AA0
-7A083,-7A0E5,-79F8C
-91C5D,-91CC8,-91B5A
-7A11F,-79FFD,-7A00F
-91BFF,-91C18,-91B25
-7A212,-7A243,-7A171
-91C0B,-91B8C,-91AF0
-7A2C9,-7A1E4,-7A316
-91999,-91C16,-91CD3
-7A2B6,-7A089,-7A33B
-91C20,-91CA1,-91C37
-7A0D9,-7A112,-7A104
-91CEC,-919B9,-91C46
-7A24B,-79FAD,-7A1DA
-91B23,-91E24,-91C69
-7A09F,-7A269,-7A044
-91BC5,-91DD9,-91E96
-7A387,-7A386,-7A4E3
-91EBE,-91D80,-91EA1
-7A32B,-7A229,-7A241
-91DBC,-91E2E,-91D52
-7A2DD,-7A3DA,-7A143
-91C63,-91E06,-91CEE
-7A2D4,-7A1B6,-7A3AC
-91B4F,-91BAD,-91D2E
-7A228,-7A100,-7A171
-91DDC,-91CC3,-91C96
-7A256,-7A280,-7A103
-91C2E,-91B4A,-91AFD
-7A2A8,-7A154,-7A229
-91C31,-91D2C,-91CA5
-7A1E3,-7A332,-7A469
-91E26,-9202A,-91F33
-7A3F8,-7A2CE,-7A369
-91EB3,-91C58,-91C96
-7A2E7,-7A30F,-7A2B7
-91D3C,-91D14,-91EE1
-7A36C,-7A4EB,-7A53F
-91C25,-91C13,-91C50
-7A326,-7A40F,-7A338
-91C8A,-91E04,-91F4A
-7A383,-7A38B,-79FBC
-91BC1,-91E33,-91D70
-7A34C,-7A333,-7A213
-91D33,-91F23,-91DDB
-7A28F,-7A191,-7A275
-91BA9,-91D39,-91CCD
-79FF3,-7A293,-7A14F
-91DDD,-91DE8,-91DDF
-7A369,-7A28A,-7A2E2
-91CD4,-91D38,-91D0B
-7A31F,-7A42F,-7A3DC
-91DC3,-91C43,-91CFD
-7A413,-7A3E3,-7A38F
-91E21,-91DCF,-91E2F
-7A3D4,-7A364,-7A520
-91D35,-91E2B,-91DB6
-7A4FE,-7A41A,-7A3F7
-91DC6,-91CED,-91E39
-7A3E6,-7A404,-7A296
-91D76,-91F0B,-92002
-7A25E,-7A51F,-7A226
-91F26,-91F72,-91E56
-7A54B,-7A2FB,-7A3C8
-920B7,-91F5A,-91E60
-7A49B,-7A5D7,-7A50C
-920AB,-91DAC,-91F4A
-7A4AE,-7A4CB,-7A290
-91D7A,-91D2C,-91E8F
-7A6A6,-7A567,-7A3AC
-9201C,-92098,-9200D
-7A3BF,-7A509,-7A484
-91E53,-91F12,-91FB1
-7A444,-7A549,-7A3B8
-91E6B,-91F67,-91EB7
-7A401,-7A416,-7A40B
-91EDC,-91E53,-91F92
-7A615,-7A4E8,-7A242
-91D82,-91EBD,-91F9A
-7A5E2,-7A4D7,-7A5B0
-9206A,-922A9,-920EF
-7A6F7,-7A685,-7A63B
-91E78,-921A0,-92135
-7A53E,-7A46F,-7A4EF
-91FC1,-922C4,-920CF
-7A55F,-7A654,-7A507
-91FCA,-920BD,-92085
-7A715,-7A677,-7A619
-91FAF,-92101,-92081
-7A64F,-7A5DA,-7A5FB
-9210F,-91F38,-920A8
-7A513,-7A527,-7A4C5
-92154,-91F9F,-91F63
-7A71C,-7A6BE,-7A40F
-91F46,-921D1,-91F8C
-7A3AF,-7A532,-7A5ED
-91DA4,-91F6D,-91E77
-7A5E6,-7A5E2,-7A4D3
-92208,-92161,-92016
-7A532,-7A4AF,-7A60A
-91EE2,-92244,-9205E
-7A5D4,-7A54A,-7A741
-921C4,-92037,-920A6
-7A7B4,-7A5FE,-7A59E
-91F6E,-921CC,-92258
