{'CALIB_RAW_DAC_START_I': 425984, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 6, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-72FCA,-7318D,-73293
-5B8BA,-5B62F,-5B678
-72F95,-72FC3,-730A3
-5B649,-5B7FE,-5B7DD
-73112,-73219,-730C1
-5B86F,-5B76A,-5B706
-731B8,-730A0,-73261
-5B6C1,-5B606,-5B599
-7303E,-72F0C,-730F2
-5B5A8,-5B59D,-5B64D
-72F2B,-73075,-72E8D
-5B5B1,-5B42A,-5B4B8
-72FC1,-72D05,-72FC8
-5B4F0,-5B5D0,-5B581
-72F3A,-73315,-72FBC
-5B62E,-5B5A4,-5B65D
-731CA,-7328B,-732AE
-5B727,-5B64E,-5B65A
-73054,-73025,-73150
-5B6DA,-5B7A4,-5B76F
-73207,-73241,-7304A
-5B586,-5B5AF,-5B78A
-733D6,-732AC,-73421
-5B9E4,-5B86D,-5B708
-731B8,-731B8,-72FD0
-5B645,-5B7F3,-5B8CF
-72FD3,-7313A,-73206
-5B709,-5B7CF,-5B5A2
-72EE1,-73155,-72E8A
-5B700,-5B754,-5B746
-7312F,-73157,-731FE
-5B6C0,-5B66F,-5B867
-731A3,-7320C,-731B1
-5B959,-5B7C6,-5B77B
-7319A,-731E6,-731B6
-5B84A,-5B68A,-5B6C0
-73293,-73326,-73013
-5B578,-5B7F6,-5B91E
-73234,-731B9,-7324C
-5B780,-5B787,-5B823
-730F9,-72FFF,-730FE
-5B47A,-5B68A,-5B662
-73017,-72F96,-72F87
-5B60C,-5B514,-5B4E1
-73123,-731AD,-72F6B
-5B5D3,-5B524,-5B654
-73231,-73231,-732CD
-5B60A,-5B773,-5B6A6
-732D2,-7334E,-7313D
-5B5EB,-5B60A,-5B6FD
-731D4,-73334,-732FA
-5B8C9,-5B7D8,-5B792
-732A9,-732D9,-73131
