{'CALIB_RAW_DAC_START_I': 458752, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 6, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-541B5,-542B6,-5418D
-3C6E3,-3C8CF,-3C597
-5410B,-54081,-541FE
-3C7CE,-3C916,-3C689
-5438D,-5423D,-541E0
-3C831,-3C7B0,-3C766
-541F0,-5437D,-54203
-3C958,-3C687,-3C61A
-5409A,-53F03,-540DB
-3C7D8,-3C689,-3C6B9
-540E9,-53FA2,-54173
-3C709,-3C7B3,-3C65B
-541E8,-541FF,-54242
-3C507,-3C6E0,-3C6FB
-540CE,-54215,-542A1
-3C7B1,-3C6D3,-3C733
-54194,-543F3,-54404
-3C639,-3C6B3,-3C57D
-54184,-5414A,-54477
-3C826,-3C79F,-3C7FC
-54154,-541F2,-5407A
-3C70C,-3C743,-3C762
-5427E,-54025,-541B0
-3C53B,-3C693,-3C61B
-5402C,-541EE,-53FB6
-3C6FD,-3C773,-3C666
-5422C,-53EDC,-54133
-3C530,-3C682,-3C635
-5419C,-5426D,-541E3
-3C7F0,-3C7EC,-3C7CB
-53FCF,-54113,-540D2
-3C7A2,-3C68E,-3C855
-5406D,-542FB,-540DD
-3C55E,-3C73A,-3C840
-541A8,-542E6,-5419C
-3C799,-3C60C,-3C68C
-543A3,-541AB,-542B7
-3C82D,-3C7B5,-3C7C3
-54209,-54248,-541F1
-3C8F2,-3C965,-3C481
-540C7,-54058,-54120
-3C8D7,-3C77F,-3C651
-53FAA,-54066,-541FC
-3C785,-3C659,-3C925
-541A5,-54320,-542BD
-3C76D,-3C735,-3C994
-542DF,-5437E,-541B1
-3C4D9,-3C5F0,-3C4BD
-542F2,-54214,-54242
-3CA0A,-3C766,-3C670
-5420C,-5434A,-54280
-3C906,-3C7C7,-3C881
-542BC,-543DE,-540E0
-3C6FA,-3C79D,-3C77C
-542E2,-5440C,-541A6
-3C82B,-3C9D3,-3C7B3
-5430A,-5427B,-54172
-3C6B5,-3C78C,-3C7A4
-541EE,-541DC,-542E7
-3C690,-3C6B1,-3C67F
-54179,-542A2,-541E4
-3C7CB,-3C76E,-3C5AD
-54256,-54141,-54263
-3C6DB,-3C67C,-3C76A
-5421F,-5433C,-5446C
-3C87D,-3C882,-3C8DF
-5437E,-543D3,-543F8
-3CA08,-3C9A6,-3C8A0
-5453F,-545E4,-54521
-3C897,-3CA26,-3CA05
-543D4,-5425C,-5447D
-3CA45,-3C9A1,-3CA47
