{'CALIB_RAW_DAC_START_I': 491520, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 6, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-35B3A,-359A8,-35B76
-1E238,-1E01B,-1DFD9
-35D6F,-35AED,-35AFA
-1E11C,-1DFFF,-1E065
-35B13,-35B33,-35A20
-1DFB7,-1E2CA,-1E1ED
-359AE,-35D4D,-35C24
-1E0FF,-1E094,-1E14C
-35C0F,-35C61,-35ABB
-1E2E4,-1E06C,-1E1EB
-35AF7,-35D33,-35DC1
-1E16D,-1E1D0,-1E1BC
-35C38,-35DBB,-35BEC
-1E241,-1E28F,-1E1BA
-35D06,-35B7A,-35DE5
-1E10D,-1E1C7,-1E1E6
-35DB8,-35CD3,-35C8E
-1E3DF,-1E301,-1E1F4
-35CA6,-35CC7,-35C1E
-1E265,-1E2C2,-1DFE3
-35FCF,-35CB4,-35C5F
-1E1FD,-1E169,-1E099
-35CE5,-35B5A,-35E19
-1E29A,-1E188,-1E223
-35C94,-35D6E,-35D41
-1E2F9,-1E197,-1E2AD
-35E4A,-35BF9,-35C54
-1E475,-1E124,-1E28A
-35911,-35D31,-35C5E
-1E3F8,-1E2D8,-1E1C7
-35CC7,-35CFE,-35CBA
-1E3B8,-1E407,-1E2B8
-35F3D,-35C5B,-35FCA
-1E463,-1E2CD,-1E20A
-35DDF,-35E45,-35D4F
-1E3C2,-1E113,-1E3FC
-35E78,-35EF2,-35F20
-1E35A,-1E300,-1E417
-35CC6,-35EC6,-35E6A
-1E2EC,-1E367,-1E27E
-35D05,-35C1F,-35C9C
-1E0E6,-1E1D1,-1E4B5
-35AC1,-35E2B,-35C31
-1E48E,-1E4BC,-1E3C2
-35CEB,-35EC1,-35D0F
-1E355,-1E3C8,-1E385
-35D22,-35DAF,-35E48
-1E116,-1E3E9,-1E1EE
-35F47,-3600E,-35E26
-1E5D0,-1E5E6,-1E520
-35EF9,-360F9,-36091
-1E28C,-1E3CA,-1E52E
-35E29,-36095,-35E9C
-1E3E9,-1E461,-1E34A
-35DC0,-360B4,-35EF9
-1E32E,-1E374,-1E53F
-35CF4,-35DD4,-35F37
-1E2F1,-1E147,-1E1F2
-35BDD,-35DF9,-35D78
-1E285,-1E298,-1E3E1
-35B3F,-35D6F,-35E49
-1E24A,-1E29F,-1E344
-35B8A,-35D41,-35C9C
-1E216,-1E07C,-1E2B7
-35C7C,-35BCE,-35DF6
