{'CALIB_RAW_DAC_START_I': 524288, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 6, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-16D2D,-16EB7,-16F86
ADB,B05,A8C
-16FBB,-16F6D,-16E89
931,AB5,C74
-16D7D,-16EE0,-17031
AD8,BE4,D2C
-16EFA,-16E19,-16EDC
B7C,D28,D53
-16E5D,-16EDA,-16D19
B46,D27,BC2
-16D6C,-16E84,-16E62
C66,BD3,BDB
-16D45,-1713C,-16D24
B59,B09,BF5
-16EE1,-16BF8,-16EB0
9E3,D77,BF3
-16E4E,-17082,-17035
A03,B65,C1F
-16ED5,-170C8,-1705D
A3B,B95,9E8
-171CC,-16F2C,-16F89
B92,BB8,9E9
-16F2F,-16DB7,-17120
AF9,A8C,ABC
-1700E,-16F31,-16F89
9B6,C10,B6E
-16F5F,-17009,-170B7
AA4,A6F,A95
-16FA0,-16F57,-16FDA
C65,B98,B79
-16FC3,-16F4F,-17099
B66,A70,893
-17084,-17014,-17076
CB3,A4F,A4D
-16E81,-171B1,-16F4F
AEE,A10,AB5
-16E32,-16F28,-16D9C
AB6,ACC,BFE
-1706F,-171A4,-16EE1
A21,B26,BD3
-16E1E,-16E7B,-16DE7
9CD,AB6,B18
-16F6B,-16E36,-16F1A
C06,A56,BCC
-16E5D,-16F77,-16E42
93E,A52,A14
-1705E,-16F38,-171F1
A05,A23,C98
-17168,-170ED,-1706C
B45,9FF,B97
-16EF7,-16FC9,-17027
867,B5E,98A
-1703A,-1712D,-1707A
95F,8CD,9D5
-1700B,-1716C,-170CC
8D0,9F2,827
-16F6F,-16EDA,-16FC3
A34,A39,BD5
-16F20,-16F9B,-171BF
C15,A68,9F9
-170CA,-16ED6,-17133
839,A2E,925
-16F54,-171ED,-170DC
A65,ABF,B15
-1729F,-17286,-17083
805,A2F,981
-17148,-17181,-17290
94D,8E4,A2A
-16FD0,-173D9,-17212
A1A,930,940
-16F1E,-16E08,-17082
9E3,A0B,87B
-16EA5,-170D8,-1711C
88B,8CC,AD5
-17062,-1706E,-1718A
AB8,898,8F1
-16FB2,-1705A,-1705D
9CA,948,965
-171DA,-16F32,-16FAE
998,AFC,9E9
-16F92,-17055,-16FA3
711,868,813
-171BC,-17242,-172EC
756,916,8A7
-1728C,-17100,-171E5
7F9,7ED,796
-16FDB,-17301,-17170
9F3,853,89C
-1709F,-171AA,-17270
8DA,8B1,7E8
-1726A,-17095,-17047
A6F,AE7,874
-16EE4,-17260,-171D5
9C5,98E,955
-171C1,-1700B,-170E5
8D8,7E7,85D
-1714B,-17112,-17343
896,74E,96E
-17157,-17310,-17337
820,8A2,79F
-173C5,-171CB,-172E4
844,93F,6E1
-1721F,-17309,-173F2
761,77D,5E9
-170FB,-17191,-17007
914,90F,869
-172FB,-171B3,-17277
8E0,9EB,6FC
-171AC,-1732B,-17130
976,8A4,759
-1743F,-17199,-172E0
7FC,945,803
-173FB,-1747A,-17606
601,6FD,762
-171C2,-174AF,-17255
9D3,96B,A3A
-17267,-17180,-172AC
9EF,9B1,654
-17229,-170AE,-171CB
7A6,882,829
-170CC,-171DF,-17234
793,8B0,709
-1722F,-171C7,-17374
88D,A38,934
-17366,-171E9,-172D7
819,727,7DE
-1703A,-170C0,-17328
-1A4,-355,-294
-16DBF,-16F13,-16FBB
C71,9F4,963
-16D4B,-17096,-16F68
B5A,C27,B42
-16FAF,-16E8A,-16F00
B3F,AA0,BF8
-16E9C,-1705F,-16C6E
CC9,9F9,BFF
-17155,-16DF0,-17059
C60,C30,C17
-16EEA,-1705E,-16E4B
BAF,B9C,BC9
-16D85,-16D7B,-16FE3
ADC,AC0,B10
-16EF4,-16ED6,-16CD5
B0F,EBA,C78
-170A1,-16F56,-16EF3
B25,A9D,D2D
-16FF0,-16E3C,-16CF9
D0C,DB9,C20
-16E12,-16D55,-16DEC
A84,C32,C41
-16D09,-16E7F,-16E94
B80,CEB,D2A
-16F41,-16E42,-16F08
AD2,AD8,AE1
-16E72,-1701C,-16F04
A8E,A8F,C3E
-16DC3,-16FB0,-16F56
CF2,BC4,BE9
-16DE3,-17051,-17044
A7F,B24,9CD
-16EF9,-16EBE,-170C4
A3D,C10,9A2
-16EE5,-16F56,-170CF
977,B69,A64
-17023,-16FF7,-17104
A44,9E4,C0B
-17022,-16E18,-16DEF
ACB,C36,AB7
-16F4C,-16EAA,-16FB2
B69,AD3,AFF
-16E98,-16F2D,-16F84
A5D,93B,CCD
-17165,-16F46,-16ED4
B7E,AA2,A0C
-16FE3,-16F8E,-16F47
BF0,CAD,AE0
-16E5C,-16F26,-16EE7
BE4,AC8,ACF
-170F6,-1700E,-16E9D
B9D,B14,A4D
-16F3F,-17138,-17071
