{'CALIB_RAW_DAC_START_I': 589824, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 6, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
255DF,25672,255E0
3CF48,3D18A,3D100
2566A,257DF,2566E
3D180,3D29A,3D258
25766,25660,25694
3CFAC,3D047,3D482
2565E,2567E,257CA
3D18E,3D2C1,3D1EC
25832,25776,257AE
3D5A4,3D128,3D096
255A6,25623,257FC
3D29A,3D35D,3D159
257AC,2564D,256C9
3D133,3D107,3D084
25796,256D0,256E4
3D2B2,3D1BF,3D1A6
25651,255F7,255B2
3CF79,3CEB5,3CF8D
25588,254FB,25405
3D023,3D1A3,3D17B
2588B,25840,25760
3D0D0,3D0E6,3D03C
25596,2548A,256C4
3D0F1,3D0B3,3D00B
256FD,2592A,258AE
3D128,3CF29,3D1FE
25698,25796,254F9
3D09A,3D149,3D10C
2564C,2566A,2571D
3D1B9,3D0F3,3D2D2
255CB,2574C,25678
3D161,3D2CB,3D138
2592E,2547F,25776
3D0BE,3D099,3CF3D
25591,25760,2563B
3D130,3D025,3D1FB
25673,25639,2565F
3D172,3D1B5,3D297
25800,25746,257B5
3D29C,3D2AC,3D1E1
25660,2576E,255C1
3D16D,3D051,3D139
25617,257A2,25617
3D18B,3D2EE,3D28F
257C2,25789,25912
3D08E,3D031,3D2DB
25608,2561E,25646
3D36E,3D336,3D330
2588B,25711,255DE
3D029,3D13C,3D0F8
256FA,2564C,25453
3D0D6,3D051,3D2D7
255E9,25632,2548A
3D095,3D00C,3D07D
25726,25510,2560E
3CFF5,3D051,3CF77
25815,2561A,25770
3D0E0,3D041,3D0A2
255C0,25637,256AA
3CFAB,3D090,3D10F
255C9,2581A,255E2
3D021,3D01E,3D0D6
2575F,253BE,256CB
3D04A,3D155,3D089
253EB,2552B,255F7
3CF53,3D150,3CF9A
256BA,255A3,254C7
3CFBC,3D1EC,3CE83
25543,25510,25385
3CECB,3CF5C,3CEB8
253B4,254DD,25512
3D05F,3D174,3CE47
255FF,25626,2561C
3D053,3D0B9,3CFD7
25591,255AC,25456
3CE61,3CFE6,3CDD9
2564F,2528A,25525
3CF22,3D0E6,3D0B7
25470,25668,25388
3D0AE,3D131,3D160
252BC,25482,2540E
3CF01,3CDA5,3CC6C
251E4,252A7,25402
3CD08,3CC90,3CE2B
254A1,252B2,253C9
3CF98,3CDD9,3CC9A
25369,253A1,2534E
3CEA7,3CF17,3CF14
2534F,2536B,253A3
3CD39,3D088,3CEA7
25372,253AC,2543E
3CE64,3CDE2,3D09C
25391,25577,25339
3D06D,3CE30,3CE9D
25252,25311,252B5
3CC6A,3CD87,3CBFF
252D5,25440,251E2
3CDF0,3CD96,3CD0A
252D1,251EF,25332
3CE1D,3CE24,3CF84
25414,252DB,2526E
3CF52,3CDD4,3CD45
2518C,2519E,2533E
3CDE3,3CC52,3CB5A
254F8,25317,2549C
3CD65,3CE72,3CD6B
252B5,25440,252BD
3CE2F,3CE3A,3CCE9
252C3,25404,25491
3CE7A,3CC98,3CE17
2539F,2526E,25337
3CB08,3CD97,3D02C
251F4,2538A,25357
3CD33,3CC70,3CBE8
25461,250C7,250B9
3CC64,3CD57,3CC9A
250DD,25244,25073
3CBFB,3CC0A,3CD1F
25164,2511F,2514E
3CC35,3CA7A,3CD14
252E0,25383,2500E
3CC9F,3CC9B,3CBB4
2527C,250D0,25164
3CD47,3CD80,3CF63
25339,25349,25240
3CC92,3CDD6,3CE3E
2525D,251C8,25129
3C1E4,3C272,3C474
254F9,25653,256E6
3CEA7,3D164,3D008
254CD,2554E,254BA
3CDD7,3CFFC,3D135
256C8,2565A,25582
3D029,3D123,3CFA2
255B6,25616,25640
3CFC6,3D0BC,3D325
254A4,25683,25394
3D073,3D297,3D118
258DE,256D9,25A81
3D1C3,3D101,3D26C
25882,25856,25925
3D0C5,3D209,3D077
256D6,258A8,256E8
3D0F4,3D2F3,3D345
255EF,2564E,256D9
3CFF7,3D1BC,3D0F6
256DA,25719,25599
3D078,3D05E,3D066
2562A,254DC,254E9
3CF19,3D0AE,3CEC5
2548A,25498,25622
3D1B9,3D0CE,3D1E2
254BD,25495,25739
3D0BB,3D0F4,3D0C4
25684,25564,25386
3D00D,3D115,3D119
254F6,2547C,255CB
3D05C,3D0D2,3D204
256FC,25550,254DA
3CF21,3D0B4,3CE64
2557C,25551,254C5
3CEBA,3CF67,3D038
25586,25378,255C9
3CE2F,3CF32,3CEA1
25311,2534A,252B5
3CC4B,3CE25,3CE69
25566,254EB,254B6
3CED6,3D0C2,3CE34
2542C,253CB,2554B
3CD5C,3CF39,3CE77
25488,2558B,252B6
3D095,3CF9B,3D1CC
25534,25619,254FA
3CFC9,3CE2A,3CFF8
25667,25572,255E9
3D12C,3D182,3D0CE
2568B,254AD,2530A
3CF8C,3CF94,3CE21
2556A,25500,25485
3CD6E,3CF1F,3CD8C
25467,2554E,2546E
3CEB9,3CE4E,3CF56
25458,25341,2547A
3CE2A,3CE7E,3D023
2544B,25487,25532
3CF8F,3D09F,3CFD8
2542D,2558A,25477
3CF41,3CF91,3CE83
25505,25474,25376
3CEFF,3D01B,3CFB5
254A8,255BC,25449
3D199,3CF9D,3CFB8
2550A,2550A,253B2
3CE47,3D16C,3D0C3
25341,253B9,252AD
3CDBA,3CE30,3CE7D
25452,25388,25268
3CE06,3CEAF,3CCA3
25490,253AB,25421
3D08A,3CDEB,3D065
255FC,253F6,253D3
3CF3A,3D0AE,3D080
25630,255C5,25441
3CDA1,3CF75,3D00E
25589,25376,2551D
3CF55,3CF59,3CEA6
2548C,25340,25629
3CFF1,3D141,3D07F
2552F,253F8,25385
3CC0E,3CE52,3CE12
2530A,25373,25298
3CD85,3CBE0,3CDAC
252C9,252C0,2520D
3CB59,3CBF9,3CBA5
2546A,252B1,252AA
3CD20,3CDD5,3CCE8
25484,254D3,25355
3CE90,3CF7B,3CEDB
25348,25267,25443
3CFF9,3CC9B,3CD70
25467,255B5,25597
3CBCB,3CDDC,3CDD6
25344,25284,25411
3CD19,3CCE2,3CF0C
254C1,25312,25268
3CB68,3CE80,3CD43
25163,2540C,252F0
3CD2F,3CEC9,3CF50
25479,25380,252E4
3CCEA,3CB83,3CEF3
2539F,2522A,25524
3CDAE,3CC76,3CC07
255B5,252E6,253BD
3CD3C,3CCFF,3CCEB
252D1,252C6,25358
3CCB5,3CD5D,3CFA2
25220,252C6,252B7
3CD95,3CDE4,3CC42
25348,252AC,254BC
3CE13,3CDDC,3CD48
2549A,25312,252D1
3CA79,3CE09,3CD78
2524C,2501B,251F5
3CC79,3CD97,3CB5A
253DA,25292,251B2
3CC73,3CC94,3CE1B
25277,25157,2510F
3CCA9,3CC59,3CC89
251F7,250B9,25042
3CBFE,3CD1D,3CBB3
253AD,251A8,252B4
3CC8C,3CC7A,3CC63
2511E,25319,253BA
3CC62,3CAB2,3CD4A
2513D,25103,25107
3BBF0,3BA9B,3BD85
25A3A,25B2E,25C6B
3D589,3D5E5,3D485
25D20,25BC1,25B05
3D400,3D4A1,3D532
25A8E,25A65,25A9F
3D3F4,3D4E6,3D4A6
259F4,258EB,25BA1
3D604,3D7A5,3D4EC
25AA5,25ACE,25C23
3D49F,3D4F1,3D561
25D3D,25C4F,25C08
3D847,3D7D1,3D558
25B98,25A55,25A77
3D45C,3D446,3D5A1
25AA3,25C69,25A83
3D6FF,3D70D,3D6BD
259AB,25A2B,25AF9
3D62D,3D414,3D4EE
25BE6,25B14,25AE1
3D532,3D59A,3D6A4
25AFB,25AA7,25B0B
3D5EC,3D590,3D429
25B3C,25A25,259ED
3D491,3D48B,3D573
25B1B,25951,25B7F
3D365,3D606,3D3F7
25B38,25A6C,258DF
3D5EE,3D51E,3D4CC
258DE,25A30,258D4
3D3F3,3D2E5,3D505
258C1,257D5,25C4E
3D426,3D2FA,3D249
25984,258A4,25AE1
3D4F8,3D39E,3D4E1
259C9,25A37,25966
3D288,3D351,3D388
2591D,25965,258F6
3D515,3D582,3D488
25B19,25962,25848
3D402,3D4DC,3D510
25B7E,258E4,259E7
3D42C,3D4FF,3D567
25BC4,25CFC,25C1C
3D6A5,3D3D5,3D4D4
25BBF,25B79,25A76
3D527,3D55A,3D61E
25B71,25C76,25A23
3D564,3D407,3D491
25A56,25A6F,25A64
3D4D4,3D3E5,3D11E
25958,2590D,259CA
3D251,3D379,3D337
258F3,257F0,25B4A
3D1E0,3D32D,3D43C
259D3,257F5,25850
3D664,3D4D9,3D439
25A4A,25BFE,2599A
3D335,3D51A,3D3A1
258C9,259FB,258ED
3D380,3D416,3D42B
2577E,25872,25889
3D430,3D381,3D402
258F5,257B2,25919
3D268,3D4CA,3D2ED
258AB,2581A,257D1
3D11E,3D1FB,3D1D9
2592B,257EC,2575D
3D251,3D26A,3D1DE
2570F,25898,25842
3D1DB,3D28B,3D126
257EE,2591B,2577A
3D0EC,3D297,3D26D
257DC,2599D,256B9
3D3D4,3D2E8,3D352
2578C,259E4,25981
3D15A,3D313,3D499
257DC,25868,25839
3D326,3D317,3D2D3
2587D,258C0,257E8
3D33C,3D3BD,3D531
2570C,2589C,25766
3D225,3D042,3D154
25A2D,2574D,25813
3D4FF,3D364,3D399
2589A,25A49,259E1
3D2B8,3D2D2,3D1CD
256CD,25647,25704
3D295,3D1F7,3D243
25789,2583A,25750
3D1E0,3D138,3D222
257E3,25921,25932
3D482,3D28F,3D3CA
25897,258FE,259EB
3D169,3D3B9,3D3C2
2583D,25825,25573
3D24A,3D2A5,3D298
25954,257B7,257D3
3D0A6,3D1F8,3D210
25788,255F8,2571C
3D194,3D0C4,3D221
2575D,257F5,257BD
3D23C,3D220,3CF47
256F7,25813,25629
3D175,3D1E2,3D0F1
25834,255C6,255FD
3D109,3D258,3D137
25803,25734,25887
3D193,3D28F,3D361
25B86,25985,2587A
3D3FE,3D3EC,3D260
259CD,258E4,25823
3D532,3D3A7,3D430
25A89,256C4,256C1
3D1C3,3D19C,3D30C
257D3,258AB,2578B
3D3F8,3D33E,3D424
25959,25681,25731
3D350,3D16B,3D353
25750,257E4,25993
3D2AA,3D378,3D215
25AA4,258CA,257DF
3D3DA,3D28B,3D4DF
25A9F,258A1,257B1
3D33A,3D2FC,3D2AB
2582C,2582B,25777
3D259,3D1CB,3D304
25826,25726,258AC
3C9A8,3C995,3C88D
25B8E,25A8A,25D27
3D476,3D77F,3D5CE
259D9,25A8B,25BB4
3D5FA,3D4AD,3D61F
25B4E,25AD7,25B68
3D624,3D589,3D655
25B58,25AB7,25BDD
3D531,3D53E,3D4AD
25B80,25C1A,25AFF
3D5FF,3D841,3D553
25CE1,25BC4,25D42
3D610,3D4CF,3D7C4
25A24,25AA6,25AE8
3D87C,3D828,3D9DD
25CF7,25C50,25D06
3D79B,3D965,3D6D9
25D0D,25B81,25ABA
3D5F5,3D4DF,3D4B6
25B10,25AB8,25B86
3D6CA,3D5BA,3D5A8
25C2D,25BFC,25B23
3D636,3D779,3D65F
25AEF,25D26,25B0F
3D77F,3D795,3D5CC
25AED,25A30,25925
3D6A6,3D6E3,3D44A
25C11,25AC2,25B08
3D7AA,3D78C,3D768
25C4B,25B9E,25BE5
3D7EC,3D808,3D5D8
25E41,25A76,25BBA
3D8DF,3D623,3D52B
25CCF,25F33,25C7B
3D6D3,3D78A,3D6B8
25A30,25C0A,25BBB
3D613,3D662,3D72D
25CA8,25B49,25BF1
3D5E4,3D70A,3D5E9
25C09,25D13,25B3F
3D78B,3D6B2,3D56A
25C53,25AAC,25CB3
3D90B,3D4E8,3D405
25B83,25B37,25C39
3D53A,3D4E4,3D5CC
25F1A,25CD4,25CB0
3D6A9,3D4E6,3D55B
25C99,25BC3,25C4A
3D599,3D829,3D8F7
25BBF,25AE6,25989
3D4FA,3D475,3D487
25BE0,259E5,25A9B
3D582,3D627,3D4E4
25A8A,25A83,25A02
3D518,3D54F,3D4C7
25A82,259E8,25A08
3D587,3D6E5,3D62C
25ACB,25BD5,25B58
3D65B,3D66C,3D37E
25A49,25C75,25AEC
3D552,3D56D,3D5C3
25B7E,25B0F,25B30
3D62C,3D5CC,3D68C
25B1D,25A94,259E9
3D64C,3D79C,3D80F
25B2F,25963,2595D
3D36C,3D45F,3D4D4
25975,25A53,259C4
3D656,3D51A,3D460
25A59,2596B,25AC1
3D566,3D5FA,3D618
25B3E,25AF4,25A71
3D7A5,3D486,3D866
25C3A,25CF4,25C3B
3D6AE,3D634,3D72E
25BBA,25ABE,25932
3D5AC,3D6B3,3D674
25990,25BB0,259CD
3D45D,3D3CA,3D44C
25A78,25B2A,25AE7
3D59F,3D5E8,3D5D5
25896,25AF6,25C09
3D39D,3D48B,3D434
25B8B,259B8,25985
3D37B,3D362,3D5F5
25ADD,25ABA,259FD
3D3C9,3D38D,3D3E9
2592D,25910,25993
3D44C,3D3BC,3D4BC
25B53,259A2,2595D
3D463,3D5E8,3D6E6
2589D,258AA,258E7
3D3BE,3D3A0,3D3EE
25A3C,25A41,259BB
3D42B,3D5E2,3D3A3
25B60,25913,25A91
3D3D6,3D4D3,3D318
25939,25795,25893
3D1E8,3D265,3D25C
2578F,2594E,2594D
3D2B7,3D36D,3D43A
257F7,25916,2595D
3D2C2,3D2EF,3D1C3
25863,259C4,2598F
3D2F2,3D501,3D35D
2584C,2590F,25893
3D280,3D2AD,3D308
258B7,256B2,25848
3D276,3D2B9,3D386
259E4,2573A,257DF
3D261,3D379,3D3B1
2585E,25998,2597E
3D1F4,3D615,3D3CC
259F6,259BF,258C3
3D3C3,3D517,3D4A0
25953,258CC,25768
3D322,3D323,3D29B
25888,25720,25825
3D26F,3D2E3,3D376
259C6,25858,257C0
3D3C4,3D3B7,3D1AF
257A1,25AE2,256A8
3D246,3D398,3D29C
257F8,259FF,258B5
3D3F3,3D4ED,3D45F
25915,25AAE,2587A
3D401,3D2BC,3D062
2589E,255D9,25762
3CCF6,3CEF0,3CE16
251E5,251B7,2530E
3CB2F,3CC2A,3CD68
252A2,2534A,254B0
3CE18,3CAFC,3CBDA
2523F,252FB,252E1
3CC66,3CBF7,3CAF6
252BD,25187,25193
3CBDA,3CBC9,3CC29
251BD,2533A,252CF
3CCCB,3CC02,3CD15
25154,2522C,25319
3CAF5,3CD1E,3CCBB
2546A,251EB,2538B
3CD4D,3CDE0,3CD21
253A1,2525B,254B4
3CEB4,3CB9C,3CCAA
251AC,25298,251BE
3CCE2,3CB31,3CB77
251CB,250ED,25228
3C8DE,3CB65,3CD04
250A9,25111,251E5
3C97C,3CB26,3CB26
25100,251AF,251C2
3CB19,3CD8F,3CB81
25255,2503F,251C2
3CB5B,3CCC3,3CDC9
252DB,251CA,25137
3CEE4,3CC87,3CE15
253DD,252A8,25351
3CCB9,3CCFE,3CCC8
2524C,25143,252F6
3CAF3,3C995,3CB27
2500C,250E8,250C9
3CC39,3CA9E,3CAF3
2512E,253C0,2522D
3CB75,3CBAB,3CAC2
2520D,25230,250F6
3CAAA,3CAA7,3CA88
2509F,2519B,2529C
3CD98,3CB61,3CC35
252F4,2521B,252E0
3CD02,3CEC7,3CD40
2511A,25330,25317
3CB9F,3CB8D,3CC63
24F39,2508F,25099
3CCE9,3CDB7,3CD0E
25080,24EE0,2503A
3CDD7,3CF07,3CC20
250B6,251BD,250F8
3CAAB,3CB37,3CBA7
2505C,25135,252D0
3CBAC,3CBFA,3CE53
25326,24FF8,25141
3CB31,3CA5E,3CBA8
251DC,25294,2515F
3CD4D,3CD58,3CCA1
25160,251B6,251B2
3CB6F,3CB43,3CEB2
25266,2525C,251C7
3CC1A,3CCA3,3CD4C
251AD,25304,25119
3CB5B,3CCFD,3CE41
251AC,250D1,2529C
3CA8C,3CE0B,3CC8B
251EB,250A9,251DC
3CB93,3CA17,3CBF4
2504E,251F4,251DB
3CB2D,3CB81,3CA9A
25258,25005,2507E
3CC04,3CD05,3CD87
24F7D,24F6E,24F61
3CD62,3CD06,3CB47
251B6,250A8,25085
3CD06,3CA88,3C9A9
25239,251C5,24F70
3CBA0,3C8C4,3CBA0
24F55,25069,24E40
3C840,3C9FA,3CC1D
24FCA,24FE7,250AA
3CA84,3CC59,3CBE8
24FD9,25042,24E82
3C847,3C909,3C9C9
24F00,250A5,2501B
3CAB6,3CAC9,3C94E
