{'CALIB_RAW_DAC_START_I': 622592, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 6, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
43B53,43C3C,43A7B
5B37F,5B6B4,5B375
4396F,43AD2,43C04
5B569,5B43A,5B472
43B95,43A36,43A3C
5B47A,5B61D,5B518
43A80,43A4D,43B46
5B7A1,5B4B2,5B4BA
43A1A,43AC8,43C49
5B45C,5B4DF,5B5CE
43C11,43A85,43A9C
5B636,5B7C7,5B5CE
43AEF,43BC7,43A08
5B65A,5B875,5B65C
43B6A,43C05,43CCF
5B848,5B82F,5B69B
43AED,43D36,43B7E
5B5AE,5B55F,5B4FA
43D63,43C3E,43B80
5B5D7,5B59E,5B5B8
43A58,43B75,43AEE
5B536,5B4C0,5B53E
43949,438E4,43A2E
5B4E0,5B449,5B56B
43A91,43B4C,438AB
5B66E,5B686,5B844
43BD0,43954,43AC9
5B672,5B665,5B434
43B4B,43B26,43B74
5B4D0,5B586,5B4F9
43C81,43AA4,43AEA
5B2CE,5B45B,5B53C
43ACD,43A73,438A4
5B559,5B474,5B392
43AED,43A1A,43A1F
5B580,5B588,5B52A
43AF0,43AB8,43B4E
5B4A3,5B569,5B37E
43B8B,43A15,439C2
5B566,5B4F7,5B442
43C7F,43A32,43A8D
5B596,5B427,5B510
439E4,43A38,43A2C
5B4A8,5B439,5B55D
43AFE,43C31,43AA0
5B4EB,5B448,5B493
439DF,43A82,43917
5B70B,5B579,5B65D
439BA,439DB,4395C
5B37A,5B3E5,5B39A
437C3,43844,4395F
5B470,5B2C8,5B37C
4396E,43842,438CD
5B4D7,5B212,5B5D0
43930,43807,4398B
5B473,5B3B3,5B56B
43A2C,439C7,437D1
5B403,5B37C,5B28B
439BE,43AE2,43ACB
5B430,5B527,5B6E4
43A68,438D8,43903
5B2FF,5B26F,5B2C5
43805,43865,43857
5B214,5B26E,5B2FE
43832,4382A,43802
5B18D,5B22D,5B23F
438EC,437D0,4379C
5B228,5B2DC,5B18B
438CC,438F2,4382B
5B24E,5B2D7,5B3A3
4378B,43801,438DB
5B1DD,5B212,5B3C0
43661,4370E,438D6
5B0C8,5B330,5B264
43835,437ED,43794
5B22A,5B09B,5B22D
43840,43872,43732
5B16B,5B248,5B208
4380E,436B9,438A4
5B357,5B429,5B2DE
4356F,4355C,43784
5B171,5B066,5B02E
436A3,43733,438BE
5B25B,5B381,5B3CF
43675,437C4,43806
5B1AE,5B149,5B16C
43735,436D5,43804
5B3F5,5B438,5B1C6
438EE,43AC9,438F1
5B3FC,5B247,5B22A
439C5,4392F,43982
5B334,5B35F,5B2EC
43987,43812,437EF
5B2A5,5B27D,5B1F8
4367C,436F9,438B6
5B278,5B267,5B1D5
436CD,43890,43766
5B140,5B2F2,5B389
4376D,4371C,43719
5B275,5B411,5B24B
43997,437AB,437A4
5B1B9,5AFC7,5B1FF
438CD,438EF,4359A
5B0CC,5B308,5B350
4364A,4384F,438F0
5B310,5B2E7,5B2E3
43921,437D4,43926
5B28C,5B20D,5B47A
435CF,4368A,4368E
5B362,5B2BB,5B2E3
43663,435E8,43743
5B29A,5B2DE,5B34B
4361E,436BD,43851
5B1B1,5B0DC,5B174
4365F,43746,4365D
5B0F0,5B26A,5B336
4373D,437B2,43826
5B2BE,5B1CF,5B307
4389A,43721,4391B
5B309,5B29E,5B26F
43802,437B5,43719
5B1C5,5B1E0,5B1E9
437CF,4362D,4370A
5B295,5B2C7,5B3C3
437F9,437CE,438A2
5B1D7,5B346,5B345
43732,437C5,4360E
5A69C,5A57B,5A790
43BEF,43BC8,43B0E
5B630,5B657,5B622
43B73,43A50,43CF5
5B2F4,5B5E4,5B737
43A47,43BD5,43BA7
5B601,5B336,5B522
43B97,43CDC,43B0F
5B7EC,5B8AC,5B57C
43C01,43CDD,43E11
5B65F,5B7FD,5B8A3
43E29,43AD2,43EDF
5B731,5B792,5B7F6
43A70,43AE4,43AFE
5B761,5B5BD,5B6B1
43A59,43BA7,43933
5B682,5B659,5B610
43A90,43A5E,43B62
5B561,5B4FD,5B59D
439FD,43AF2,4398E
5B490,5B4E6,5B459
43AC4,43A78,43A23
5B5A2,5B52E,5B607
43A6C,43983,43993
5B568,5B780,5B62E
43A7B,43BA7,43BD4
5B42A,5B5CE,5B57F
438C6,439A2,43A42
5B407,5B50C,5B45D
43A94,43A65,43B03
5B40E,5B6D0,5B4A7
43C29,439C9,43A89
5B4F8,5B565,5B4CD
43AB3,43ACF,43BA8
5B420,5B5CA,5B38A
43A0C,43B14,43AC0
5B665,5B7E6,5B520
43AFF,43B42,43B73
5B589,5B702,5B47F
43B3E,43E0F,439F0
5B58D,5B609,5B56B
43BAA,43C2E,43BF2
5B745,5B68C,5B6E2
43C03,43BDD,43B28
5B4EA,5B73A,5B677
43B59,43AF2,43BAD
5B6E6,5B6E6,5B66E
43A6D,43C33,43C00
5B54E,5B7BA,5B5A2
43859,43966,4398B
5B3BE,5B609,5B5A3
43B73,439A5,43BAF
5B311,5B3CC,5B229
43885,4381C,43765
5B29C,5B42F,5B4D6
439ED,43979,43A86
5B50B,5B694,5B3DB
4396A,43902,43A4A
5B4AF,5B370,5B491
43847,439C9,43AA3
5B650,5B3EA,5B55B
4392D,438E0,43A30
5B5E1,5B4C9,5B4A7
43C88,43AEB,43A9C
5B4A2,5B459,5B797
43917,439CF,43A06
5B352,5B3F9,5B414
439D3,43972,43A0E
5B3CE,5B55C,5B54C
439DB,438CC,4399B
5B4E3,5B4FE,5B3A4
438C4,43978,438E7
5B4E5,5B5AD,5B750
43A30,43B39,4393F
5B3DF,5B3BC,5B282
4384E,439C1,43960
5B3DB,5B422,5B54C
43A13,43A11,437F9
5B24D,5B1D2,5B537
43A2D,438EF,43964
5B645,5B54B,5B536
43669,4343E,438C9
5B466,5B3A9,5B254
4389D,4393B,438E0
5B4C7,5B3C3,5B3D7
43917,437DA,438CB
5B37F,5B2A7,5B12F
437F5,43779,437AE
5B316,5B225,5B249
438D7,4388A,43ABB
5B259,5B493,5B2A3
437EB,43820,4396D
5B231,5B286,5B254
43B19,439AE,43931
5B34C,5B334,5B3E2
43924,43801,437F0
5B203,5B1BE,5B4B3
43836,438AC,43A2F
5B1C7,5B2DD,5B00F
435EF,43766,4376F
5B1CB,5B248,5B190
439AB,4360D,43772
5B17F,5B028,5B1C4
4375D,43789,438B2
5B218,5B30C,5B213
43641,43925,436EB
5B257,5B34D,5B255
43613,43744,437BC
5B212,5B186,5B4AF
