{'CALIB_RAW_DAC_START_I': 655360, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 6, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
61B80,61B3A,61A88
794D8,795A4,79406
61B95,61B0C,61B20
793D6,795C3,792FC
61AD9,618B8,61B1A
7959C,79525,796CD
61C03,61BEB,61AD3
79521,7945A,79516
61A84,61B4E,61BA2
79640,794C4,7959D
61B03,61A3B,61C61
79577,796DD,7961C
61DAB,61C24,61B44
7971B,79587,7953D
61C0D,61B56,61B86
79638,796B6,794E8
61A25,61A69,619F6
79300,79547,79448
618DD,61918,61A52
79419,7951A,79388
61932,619E1,618DD
793E8,793DC,7958B
61AD5,61985,61A50
79348,7957A,793AC
61B26,61987,61B69
79335,795C4,79561
61AC6,61A4F,61B35
794B7,7959F,79480
61B47,619E8,61C7A
79534,794C3,794C2
61B4F,61A87,61B7B
793F4,79326,7961A
619FE,61A70,61938
7952C,793E3,79369
61BAE,6197C,6193B
79376,7945E,79485
619F3,61A89,61AE9
793E0,7958E,794A1
61BE3,61B88,61C24
79496,794BC,79637
61C1F,618E8,61AD1
794A6,79445,79668
61ADB,61989,6199E
793AA,793C7,793C5
618E1,61946,617E0
7936E,790E1,793A4
61892,619FC,61A07
7947B,792B2,7945D
6181B,617D7,61A64
793D4,79289,79321
619BC,6191D,61950
793E7,7933A,7940A
618FE,61902,6193B
7928C,79350,78F71
61845,61754,6185D
7923F,7939E,7945E
6185D,61B1F,618D7
792D2,7941E,79332
61850,61A0A,6189E
79283,793EC,7941E
6193A,61895,619A9
79311,792C4,792E6
61883,6185B,61980
792A1,7934E,7926B
61877,61681,61ADE
7919A,7920E,79229
6168C,61568,616A1
79039,79086,791F9
617A0,615C3,6166B
78FA7,7908E,79092
61619,61671,6169A
791F4,7928B,7918B
61791,61735,61897
78F34,79282,791E1
619CE,6183D,61659
79036,7931A,78FA5
6182F,617D4,61907
79119,79265,79187
6181E,6186D,6170D
790EE,792DD,7926E
6194D,617E2,61669
79147,7905B,79264
618AF,616D1,6157D
791DA,790C5,79111
61743,61635,615E6
78ED8,78E24,79129
61702,615F2,616BA
7909D,78FA4,790E9
61644,61710,6159F
793BB,791C6,791E2
6186B,616EB,615E5
7919B,792D8,79196
61677,61680,617A0
791E7,792B1,792E6
617B0,6178E,6170B
79157,79184,79092
6158E,617DD,61734
