{'CALIB_RAW_DAC_START_I': 688128, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 6, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
80F9F,80F02,80EF0
9871A,98871,98760
80D9A,80FC3,80E35
98978,98894,98962
81093,80ECF,80E5F
9898D,987FF,9892A
81003,80D1F,80ECE
988AF,98825,988D1
80EC7,80E6F,80EA4
98AAA,9896D,98972
80D1C,80E47,80ECC
98A4F,98AD2,988D9
80EA4,80CE7,80DBB
98840,987DD,987C0
80FEC,80DA7,80E23
98958,9884C,98965
80CE5,80D43,80ED1
98961,988C9,98628
80C65,80C61,80E71
988B6,9880B,9881F
80D9A,80E47,80B7F
9879D,9882E,9895D
80AA3,80BFE,80BE9
987F9,985C6,987AE
80BC3,80D54,80BE8
986E1,98656,985C8
80C54,809A9,80CF8
98695,98648,987CB
80E16,80DB5,80C4B
98634,9872A,9884A
80E1E,80C04,80E51
98767,9878F,98462
80D2E,80C31,80BC7
98674,9882E,98628
80BF5,80B8C,80AB7
987D0,98802,9875A
80BB9,80C77,80C7C
984D2,9867B,986C1
80D5F,80A31,80CB5
986EB,986E2,98608
80B7B,80C21,80EE2
987B2,986AE,98548
80C74,80CD4,80C57
9870C,986C4,987EE
80E0F,80CC1,80BBF
9872B,9877C,98669
80F0E,80D5D,80DDA
98A00,987EB,98A5E
80C01,80D5E,80C9C
98681,986FD,98608
80D04,80C8B,80C59
98486,986F6,9875B
80E56,80C40,80C5C
98699,986BA,986EF
80DBD,809A0,80C2A
98590,985A3,988E0
80D4D,80C5E,80BD1
98629,986D3,987E0
80B8E,80B50,80B76
985DD,98662,9869A
80BB9,80C99,80AC7
9871C,98692,98735
80B35,80B29,80C3C
984A0,98503,9853E
80B5C,80A40,80B64
98601,98573,98606
80B0B,80B81,808C9
98458,98599,9853F
80A6C,80A49,80B80
985D7,985E8,984EC
80D9A,80AEB,80AE4
9869B,985C5,98613
80961,8095A,80BFA
984FB,987E4,98660
80C93,80A1B,80B42
984CD,98786,9861E
80DD4,80D24,80C6C
985DF,986A8,986BC
80C21,80AE3,80B04
9853C,98816,98688
80B69,80AB4,80A0B
9841D,9854A,982E7
80C6F,80BAC,8092F
985EB,983CE,98491
80CDC,80AA1,80A0E
983FC,98688,9876E
80A63,80AAF,80AB5
98642,98682,98560
809C4,80A8F,809E4
98252,9852B,98460
809DC,80A48,809A5
984B0,986C3,98467
80C5E,80954,80A7B
984A1,9852C,985E5
80C0F,80B5D,808C8
985F0,98524,984C0
80963,809D2,807DC
983FF,98725,984FC
80A43,809F2,809EB
983CD,983E8,98514
80B02,809A0,80B1D
983A7,9846C,98489
80A6A,80C55,80993
984FC,985F0,98556
80A63,80AE3,80A12
983B4,9844C,985C6
80BBD,80921,8096A
984BB,984EA,985C7
809B1,80AA2,80AF5
9850A,984CE,9835D
80BFC,809B2,80B0C
98504,98777,9880F
809DD,80B08,80B0A
98530,9830E,984AB
809AB,80B54,80A9D
983E3,98466,98497
8086D,80B35,80B25
98581,984EB,98523
80898,809E9,809FE
9814B,98238,981DC
80902,80847,80814
9833B,98382,9861D
80A5F,808B5,8099E
984B8,98453,98225
80921,80AB1,80801
983A8,983F8,983B9
809CA,80908,80830
97B16,979DD,97BA3
80EE1,80E36,80F56
988AE,98773,988A2
80E74,80EA4,8101C
9885E,986BA,98688
81091,80F67,80D27
98774,98846,98914
80C52,80CFD,80C15
98625,98919,987C6
80D32,80ED9,80E8C
989C3,9893D,989B5
80FED,80EC2,80EAB
988A2,98989,98947
80EE0,80EE1,80DD2
98ABA,988FC,98A73
80E4D,80F58,80E9C
98B00,989A5,98915
80E5B,80EA2,80CB0
9890D,98749,986B3
80DEC,80E29,80E58
988DF,98857,98A99
80FA5,80EDA,80F23
98A67,988E3,98A66
80E02,80EC2,80F41
989F2,98A69,9898F
81047,80C9A,80D6D
987ED,986E6,9879F
80BBF,80DB9,80F41
98851,988D3,98993
80D76,80CA6,80C92
986A0,98771,98910
80E2A,80F1E,80D6B
98778,98804,9872B
80E61,80EF6,80D71
9889B,989C0,989C3
8102B,80EE9,80E56
98808,988EC,9893C
80C94,80DF7,80D43
987CF,98717,98A6A
80C22,80C98,80BAE
987BC,9884E,9870A
80E6B,80D63,80DE2
98775,9893D,98960
80DC1,80DA6,80F8E
987A9,98859,98B70
80E82,80F90,80EB8
988A8,989E4,987D9
