{'CALIB_RAW_DAC_START_I': 720896, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 6, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
9F3C9,9F27F,9F413
B6DF2,B6E27,B6CB1
9F4E1,9F2DC,9F49A
B6DA2,B6D58,B6CD7
9F521,9F3B3,9F312
B6DA8,B6D01,B6C67
9F2A9,9F3D5,9F291
B6E76,B6D1D,B6D83
9F1EA,9F247,9F22A
B6D85,B6D09,B6CE8
9F24C,9F2FD,9F308
B6D73,B6BED,B6D49
9F242,9F2D3,9F511
B6E2C,B6CD9,B6C62
9F28C,9F324,9F123
B6D02,B6E67,B6D23
9F3E6,9F1FA,9F2BE
B6ACF,B6D48,B6DAD
9F1C6,9F1A5,9F216
B6CFF,B6A51,B6AD4
9F276,9F3A0,9F1FC
B6EE0,B6D46,B6AE3
9F290,9F24D,9F0C5
B6CAB,B6C5E,B6F62
9F1BA,9F261,9F346
B6F60,B6E13,B6C9A
9F4F0,9F2A3,9F479
B6D69,B6F95,B6C2B
9F4AE,9F47A,9F302
B6D3F,B6D97,B6C46
9F4B5,9F2EB,9F1B7
B6CED,B6F34,B6D16
9F302,9F2D1,9F43C
B6F13,B6CAC,B6C4B
9F276,9F251,9F2A8
B6DD2,B6C60,B6D45
9F088,9F286,9F19D
B6B2D,B6D0A,B6B12
9F29B,9F1A6,9F0A4
B6D99,B7097,B6E8D
9F31C,9F28A,9F3E5
B6D6A,B6C16,B6C05
9F29F,9F351,9F47C
B6CCA,B6D98,B6DB1
9F30F,9F1A2,9F140
B6DA7,B6CC9,B6AF3
9F23A,9F235,9F203
B6D54,B6D57,B6DC8
9F284,9F0B9,9EEA4
B6A3A,B6B6F,B6BD0
9F360,9F2D5,9F1AC
B6C47,B6B9F,B6AC7
9F199,9F2E1,9F2DC
B6CF7,B6D02,B6C1E
9F267,9F1F6,9F0CA
B6CFB,B6E14,B6CA6
9F2C2,9F14C,9F345
B6AC3,B6AAB,B6E0F
9F205,9F1FB,9F32D
B6D05,B6E14,B6BB7
9F35E,9F425,9F3A9
B6EDF,B6C6C,B6CF8
9F220,9F1A9,9F319
B6C37,B6D3D,B6DB6
