{'CALIB_RAW_DAC_START_I': 753664, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 6, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
BD12E,BD113,BD0DC
D4C60,D4B33,D4B0D
BD19F,BD18A,BD04D
D4CB9,D4D96,D4E0E
BD32F,BD0B3,BD0D5
D4B44,D4C39,D4BC9
BD094,BD1C2,BD013
D4AA3,D4CB5,D4CC5
BD125,BD136,BD200
D4C92,D4CC8,D4B2C
BD07D,BD22C,BD238
D4D32,D4C95,D4CAD
BD15F,BD0A0,BD182
D4C0B,D4B5E,D4BC1
BD161,BD1E3,BD0E7
D4CA7,D4D3D,D4CF2
BD105,BD1D8,BD0AC
D4AE8,D48DF,D4AA8
BD032,BD173,BCEFE
D4A4F,D4B7D,D4CB6
BD169,BD14C,BD06C
D4AE0,D4B9F,D4AF2
BD135,BD01F,BD0E8
D4B67,D4B99,D4AB3
BD04C,BD24D,BD0E6
D4B19,D4A6E,D4A1E
BD007,BCEDA,BCF9F
D4BFF,D4B65,D4C80
BD18B,BCF08,BD197
D4B06,D490C,D4BA3
BCFF8,BCFBB,BCFD3
D4A1C,D48CE,D4AA8
BCEA1,BCE1C,BD03A
D4A51,D4BA9,D4AA1
BCDE9,BCF03,BCE73
D4A44,D4A95,D49C9
BD044,BCE7E,BCF11
D47BF,D4AA9,D48F7
BD079,BCFF0,BCE97
D4A37,D4A1E,D4A05
BD055,BCFDA,BD0A3
D4950,D4AA8,D4A63
BD0FF,BD0A8,BD121
D4AB2,D4AC9,D4B8D
BCFC2,BCF13,BD04B
D4A5D,D49F9,D4B97
BD2E3,BD067,BD035
D4ABC,D4C20,D4BA8
BCF3A,BCFBA,BD052
D4A6D,D4A8A,D4919
BD02A,BCF92,BCF46
D4891,D4913,D4A1F
BCDC3,BCDBB,BCE46
D47FA,D48C9,D4946
BCEBE,BCF32,BCF52
D49BA,D48DB,D4B8D
BCEDD,BCE09,BCFF9
D480E,D48F2,D492D
BCEC3,BCF28,BD095
D4B60,D4BC3,D4A8E
BD0CC,BD006,BD015
D489E,D4884,D481C
