{'CALIB_RAW_DAC_START_I': 786432, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 6, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
DB9FB,DBB2A,DBB07
F34C5,F3580,F3603
DB926,DBB0E,DB9C1
F3390,F32CC,F35BB
DBB8B,DBA64,DBBE8
F3524,F3550,F33B0
DBC98,DB9ED,DBAE3
F32F6,F355A,F36C2
DBB29,DB979,DBA1D
F3405,F3434,F3517
DB99B,DBA3B,DB904
F35E4,F3603,F3542
DBADA,DBA2F,DBB9A
F33D5,F3580,F34E8
DB86B,DBBBA,DBAE9
F348A,F35DF,F3442
DB996,DBA78,DB923
F32C2,F32D6,F3327
DB8A3,DB726,DBA1E
F331B,F347B,F3495
DB9CC,DB9CC,DB9AA
F3482,F3624,F3498
DBA40,DBA5A,DB91E
F3461,F32A4,F33FE
DBA30,DB9FA,DBA8A
F33B6,F320F,F3253
DBA12,DB861,DB97C
F3471,F332A,F332A
DBAB4,DB7E7,DBA05
F3421,F3420,F3301
DB909,DB912,DB6A6
F31C1,F31DE,F3192
DB86A,DB92A,DB7EB
F3274,F338A,F3446
DB91B,DB8FD,DB846
F3498,F355C,F33CB
DB9A7,DB902,DBA9A
F33D1,F32E7,F33AD
DB7FE,DB8B6,DB8EC
F3199,F3471,F34F7
DBA64,DB8DA,DB95C
F33C9,F31FB,F32BC
DB965,DB9A2,DB906
F326E,F3391,F31FE
DB8B5,DB60B,DB8FB
F3360,F32B0,F3456
DB841,DB86D,DB9CE
F3374,F3402,F3358
DB6C7,DB83A,DB832
F3281,F31A2,F315A
DB9A9,DB8B7,DB7F6
F30AE,F331F,F32EA
DB9AE,DB845,DB705
F3074,F322E,F3252
DB6FF,DB72B,DB6FA
F3326,F3139,F32F1
DB6F0,DB769,DB886
F333C,F323B,F3118
DB8E3,DB87C,DB7ED
F32B6,F32C1,F3353
DB9CD,DB79D,DB70B
F3215,F3273,F3191
DB750,DB8C1,DB8A3
F300B,F3111,F303C
DB642,DB78A,DB7E9
F319F,F3220,F31C9
DB74A,DB7B8,DB7BA
F3040,F328C,F3299
DB8EF,DB82D,DB720
F3227,F2FCF,F3175
DB678,DB785,DB781
F326A,F32F4,F32D9
DB5A2,DB772,DB79B
F31D4,F3403,F3500
DB91E,DB934,DB60F
F315A,F33E6,F3331
DB704,DB8E1,DB780
F32C0,F338F,F31B3
DB558,DB54C,DB653
F33A6,F31D3,F3341
DB790,DB72C,DB5F8
F30C0,F316F,F30CC
DB623,DB85C,DB4CC
F30B3,F3003,F3197
DB7CB,DB620,DB69F
F3134,F31B5,F3347
DB615,DB435,DB8C2
F3040,F3062,F327E
DB7CD,DB680,DB744
F319A,F31B3,F31FA
DB7BB,DB655,DB7FB
F3075,F310A,F3262
DB48E,DB6AB,DB62F
F314E,F311C,F3252
DB6E8,DB72E,DB5B3
F30AE,F302B,F3066
DB425,DB770,DB5DB
F2EB5,F30E7,F30F1
DB4B2,DB7AF,DB500
F2FAA,F2ECD,F3053
DB4D3,DB573,DB4C9
F3085,F3132,F2E9C
DB6F1,DB56F,DB58E
F3068,F2F64,F2FC7
DB642,DB7AD,DB53E
F2EE1,F3120,F30E6
DB6F1,DB601,DB678
F3021,F315D,F2F68
DB73A,DB66E,DB916
F315B,F309B,F3053
DB782,DB860,DB864
F3109,F325C,F3321
DB782,DB62A,DB606
F30E2,F30F2,F3003
DB61B,DB629,DB4C9
F3137,F3312,F3052
DB528,DB528,DB6BB
F308F,F3268,F30D8
DB5CA,DB66D,DB5F7
F318F,F30A3,F30F2
DB797,DB788,DB6DE
F3074,F2FA5,F317E
DB6EE,DB8B4,DB6DD
F305A,F304C,F3159
DB757,DB65A,DB623
F30A4,F2FF7,F3291
DB711,DB536,DB57E
F272B,F26AA,F2613
DBC8A,DBACD,DBBEA
F3481,F34C3,F34E1
DB951,DBB31,DBB22
F36CC,F3390,F36EB
DBA1E,DBBEA,DBBE8
F34BD,F3480,F34A9
DBA9D,DB9FB,DB9DC
F34C7,F360E,F3423
DB8FC,DBA1C,DB806
F3396,F3352,F3535
DBB37,DBA6E,DB948
F346D,F3548,F3455
DB945,DBB58,DB7D8
F35C4,F3446,F34E7
DB90F,DB8DF,DB9C5
F35A9,F359E,F333E
DBA39,DB919,DB9D3
F347A,F334D,F34B1
DB9DA,DBA0E,DB9A1
F34AB,F32FC,F33D0
DB9C2,DBC12,DB9B2
F3259,F329B,F34DD
DBB17,DBA38,DB973
F3329,F3427,F3402
DB7A2,DB96A,DB85E
F339C,F331F,F34C3
DB8A2,DB8E4,DB845
F3481,F32FC,F33A6
DB908,DB876,DB90A
F33C5,F32C5,F33D7
DBA22,DBA68,DB781
F33C5,F3215,F3298
DB93F,DB98D,DBA31
F32F7,F327B,F314E
DB8BD,DB820,DBA3D
