{'CALIB_RAW_DAC_START_I': 851968, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 6, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
118003,118001,117EEF
12FA50,12F95A,12FAE7
11808E,1180FA,117F70
12F829,12F9D5,12FB6E
117E07,11804A,117FF0
12F9D9,12F965,12F88D
117F4A,117F5A,117F4A
12FAB1,12FB0E,12FB02
117FA5,118045,11807E
12F911,12F9A1,12F97D
117E3B,117FE8,117EDC
12F931,12F901,12F921
117FD2,117ED1,117F4E
12F8D6,12F9AA,12F8F6
117F15,117EF6,117E8F
12F9AC,12F860,12F93C
117D5A,117DFD,117D7E
12F7F9,12F7AA,12F783
117E57,117DC7,117C38
12F9A2,12F8C6,12FA69
117EE6,117D3D,117DFD
12F818,12F7CF,12F754
117DB9,117CBA,117E60
12F9A4,12F96E,12F98C
117D6F,117D9A,117E2D
12F7FE,12FA9F,12F851
117E97,117E70,117E29
12F826,12F81F,12F926
117CCD,117D7F,117EE9
12F879,12F7FC,12F7DF
117ECB,117DA2,117D5C
12F690,12F830,12F8A7
117D46,117D81,117E74
12F74E,12F90C,12F688
117E1D,117E43,117D9E
12F932,12F6AC,12F713
117DDA,117E48,117F2A
12F794,12F8D6,12F6FA
117D56,117EA7,117BC3
12F8AB,12F7F7,12F6BA
117E63,117EBD,117E5F
12F7C3,12F750,12F73A
117E77,117F46,117CF4
12F7E0,12F8AA,12F913
117D46,117EBB,117EA1
12F73B,12F946,12F8E4
117EE5,117F99,117E2C
12FA56,12FA8C,12F906
117DC0,117C57,117DD5
12F76D,12F73D,12F8D3
117D3A,117CE2,117C38
12F72E,12F927,12F63E
117B94,117E25,117D5B
12F6B2,12F807,12F964
117C9C,117C25,117CC7
12F80C,12F683,12F68D
117D93,117D79,117C97
12F8C4,12F839,12F766
117E6E,117D71,117D0D
12F856,12F923,12F653
117E0B,117E32,117DCC
12F6EE,12F6DA,12F802
117BD8,117B12,117E2C
12F7AB,12F5BD,12F79A
117B9C,117B96,117A47
12F61E,12F45B,12F6AA
117B41,117C56,117C08
12F543,12F4EA,12F801
117D60,117BDA,117B7A
12F422,12F4EE,12F69C
117BB2,117A80,117A56
12F245,12F5D0,12F796
117CE1,117C74,117B8E
12F551,12F7E7,12F6CA
117B63,117CB5,117F9D
12F7F5,12F8B6,12F6EE
117C07,117BC3,117C01
12F886,12F77F,12F6DD
117DDC,117C32,117C65
12F706,12F717,12F5DD
117B88,117A82,117C7C
12F5C5,12F5F4,12F578
117C40,117B03,11796D
12F6C2,12F566,12F6A3
117A0E,117B78,1179D1
12F6CC,12F51F,12F6BB
117B2E,117ACF,117B0B
12F6B3,12F73C,12F5ED
117B17,117D4C,117D4C
12F563,12F603,12F703
117DD1,117D29,117CE1
12F4AB,12F60E,12F6C3
117B62,117B1A,117B3F
12F698,12F6D4,12F813
117A55,117CD2,117B8A
12F415,12F744,12F499
117ABB,1179D2,117B8F
12F452,12F76B,12F688
117C3F,117D52,117BC8
12F56C,12F66A,12F5E3
117BA6,117A78,117A61
12F5D2,12F3CB,12F720
117B57,117BB3,1178EE
12F4AD,12F569,12F3DF
1179F8,117B00,11797A
12F5E3,12F7C7,12F58B
117AFC,117A77,117A5B
12F49E,12F465,12F27A
1178D8,1178E6,117A54
12F581,12F53F,12F4A6
1179DC,117B99,1179D8
12F68B,12F64D,12F66E
11798F,117798,117AFE
12F462,12F6A5,12F535
1179A4,117950,117906
12F635,12F699,12F521
117C59,117937,117B0A
12F464,12F46C,12F556
117B63,1178F0,117A16
12F535,12F364,12F44B
117D2B,1179A7,117ABE
12F515,12F624,12F5A2
117AAC,117BC1,117BB8
12F509,12F40A,12F4B9
11794E,117BF1,1179D0
12F6CE,12F787,12F7F4
117D60,117C6B,117B2A
12EB7E,12EC09,12EA52
11809A,117DFE,117F26
12F83F,12FA1B,12FB98
117FF9,1180CB,117F17
12F99C,12F82F,12F92F
117EC5,117E30,117DB9
12F6E4,12FA47,12F84A
118013,117C6C,117DEB
12F78E,12F890,12F7F1
117E88,11807F,117E67
12F7E1,12FA9F,12FBFE
118023,117DA5,117E4A
12F9BA,12FAFE,12FAEA
117DDD,117E8A,117F46
12F932,12F7E3,12F8A6
117E3A,117F45,117D94
12F9FF,12F99F,12F9D4
117D14,117DC8,117CF6
12F8F9,12F805,12F8B2
117E7B,1180A8,117E0F
12F7CB,12F87F,12F87F
117D41,117ED7,117EE5
12FA76,12F9B3,12F939
117F27,117F21,117FA6
12FA02,12F917,12F977
117C24,11803F,117F7A
12FAB7,12F9F6,12F848
117F7F,117E96,117F05
12FA17,12F9E7,12FA77
117F59,1180B5,117F48
12F937,12F7DB,12F843
117CFB,117F1A,117EC2
12F6C2,12F95B,12F8B9
11802D,117F69,117EF5
12F96D,12F8FD,12F92E
117D9C,117F5E,117DF8
12F904,12F9AE,12F9C8
117E1E,118085,117EB1
12F830,12F902,12F924
1180BD,117EBD,117EBF
12F91F,12F95B,12F890
117FBE,117FAE,117DB3
12F6CB,12F7C2,12F7F5
117E68,117F91,117DAC
12F93A,12F861,12F7A9
117E43,117CA5,118040
12F8C9,12F9C7,12F8FB
117E9D,117DC9,117F6C
12F935,12F7EF,12FA3A
117D0B,117DD0,117D73
12F904,12F82D,12F8F1
117F7A,117EA9,117EEE
12F8B2,12FA2C,12F63C
117D85,117F0F,117DB4
12F75A,12F8A0,12F83C
