{'CALIB_RAW_DAC_START_I': 884736, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 6, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
1361B5,136163,1360C4
14D9FD,14DC38,14DA73
13609A,136225,13614D
14DC68,14DB2E,14DB9A
1361C6,13618D,13621A
14D961,14DC47,14DC80
1361D0,136183,13622E
14DC19,14DC0C,14DC2E
13630A,1361C5,136164
14DC6D,14DC39,14DC11
1362BC,1361D9,13617C
14DA3C,14DD73,14DC25
13627A,1360BE,1360D4
14DBE8,14DDDE,14DC4B
1362B3,1360FD,1361AB
14DD27,14DBFD,14DB49
135FAC,135DF5,135F20
14DB0C,14DB21,14DA42
136294,135F93,135FA7
14DB41,14DAA2,14DB19
1361B2,136044,1360CE
14DA6A,14DAD7,14D9B9
135F89,136153,135EA6
14DB17,14DB51,14D9D2
135F39,136081,135FD8
14DB4A,14DB04,14DC1F
1360DB,1360C0,1361BE
14DB63,14DC22,14DC78
13602C,1361ED,135FE5
14DC2D,14DC9A,14DB89
1360A6,135FC3,13600A
14D97E,14D9CC,14D985
135FEA,13601E,135F79
14DA1D,14DB9E,14DB76
135F1A,135FCB,13604D
14DA64,14DAE9,14DBDF
135F00,136017,135F05
14D999,14D984,14DB3F
135F98,135F6F,1361C3
14DC00,14DBCA,14DBBF
136259,1360EF,136157
14DBF5,14DA64,14DB91
1360CE,13607C,135DC7
14D925,14D9C9,14DA36
135F6F,135F22,135FCF
14DA35,14D97B,14D9BA
136040,135FF9,136158
14DC3D,14DC4E,14DD42
1361C6,1361CD,135F87
14D993,14DA14,14DB0A
136001,13609B,135FF9
14DA90,14DA2D,14DB0A
135EE3,135E8D,135E95
14DAFF,14D8F8,14D99B
136034,135E4E,135FF6
14DA0B,14DB45,14DB35
136070,135F1A,136180
14DAB0,14D8AF,14DC0E
136194,135FF1,1360AB
14DA19,14DBE1,14DC22
136066,135E30,1360FE
14DB38,14D97B,14DAE4
135F9C,135F83,135DD4
14DAC7,14D922,14DA21
135EC1,135F7D,136026
14D8C1,14D9BE,14D9E3
135F20,135DD2,135CFE
14D932,14D78E,14DA75
135F9F,135F86,135EB7
14D726,14D800,14D7CC
135E69,135D6F,135EC5
14D898,14D9B9,14D9D1
135FDA,135F11,13606A
14DA02,14D88A,14D7C2
135DDE,135E4A,135F5D
14D8F3,14D88D,14D850
135F39,135D84,135D46
14DB9C,14D6F8,14D881
135F58,135EA1,135DC5
14D87E,14D849,14D7A0
135D26,135F91,135C4A
14D884,14D966,14D8F4
135D8F,135D5F,135E7A
14D7EE,14D860,14D80D
135E5C,135D6E,135FB7
14D71F,14D8AA,14D84A
135CFF,135DD6,135CA9
14D980,14DA6C,14D849
136060,135EED,136052
14D86E,14D9F6,14D811
13601B,135ECF,135D5A
14D7CB,14D89B,14D84F
135CBB,135D42,135E31
14D7DA,14D8A0,14D903
135E77,135E39,135E27
14D7DA,14D81D,14D849
135D3F,135D90,135E89
14D770,14D8D3,14D683
135DE9,135E85,135DB5
14D81A,14D63D,14D8C4
135ED8,135DE4,135E14
14D824,14D7B1,14D81C
135D39,135E61,135E2A
14D87F,14D980,14D878
135DC0,135DBC,135DB5
14D78A,14D77B,14D81A
135CAA,135DB9,135DC9
14D854,14D724,14D675
135C76,135E81,135E79
14DA07,14D8AC,14D899
135E37,135DCD,135D2F
14D8BE,14D8EE,14D82F
135B82,135DB6,135CF1
14D6E3,14D838,14D7C9
135F82,135EE7,135CE0
14D7ED,14D754,14D805
135C5A,135C32,135DAC
14D5D2,14D702,14D666
135D09,135B63,135CF3
14D75D,14D77A,14D86E
135D7A,135BE2,135E0D
14D7B6,14D841,14D74F
135DC3,135C25,135A6F
14D63B,14D6FB,14D5FD
135BA1,135CD2,135E69
14D795,14D7F8,14D5C8
135DAA,135B43,135C12
14CFF3,14CD2A,14CD72
1360E5,136131,136101
14DA13,14DB40,14DB81
136133,13610A,136206
14DC62,14DA65,14D9DD
136061,13612D,135FA8
14DA44,14DAF2,14DA53
135FD9,135FA8,136029
14D97D,14DAA1,14DCA9
135F8F,1361E9,1360BA
14DAA2,14DB25,14DAA2
136280,135FE3,13616E
14D9E4,14DA87,14DA02
1361EB,13605B,13604B
14DCC3,14DB8D,14DAFC
136246,13623E,13609F
14DC9F,14DAE2,14DBA3
135EC1,135E40,13600A
14DA6E,14DA3E,14D8EA
135FDB,135E84,135FF3
14DB9B,14D887,14DA70
135F30,135DCF,135F0F
14DA33,14DAFD,14DB6F
136028,135EE1,135F77
14DB2E,14D8E2,14D8D3
136036,136169,135FD8
14DA0F,14DB3C,14DA74
135FF6,136073,136127
14DBFF,14DB89,14DA5C
135FD6,136119,136067
14D8F4,14DA64,14DAF2
135EED,136134,1360C2
14DA44,14DB89,14DB8B
13618B,135F56,136194
14D9EA,14DA3B,14D8D0
136067,135FC8,135EBD
14DA4D,14D910,14DB2A
135F58,135FAE,136131
14D89B,14D972,14DA5C
135EEF,135DA5,135F62
14D9E0,14DA68,14D968
136090,135F2B,135EE2
14D9C6,14DA70,14DA3F
1360A7,135FF1,1360F6
14D9BD,14D998,14DA20
1360C3,135F45,1360B3
14D9FC,14DA48,14D953
135F5B,135E32,135F12
14D95D,14D980,14D9F2
135D80,135E38,135E07
14D8FF,14D83E,14D833
136104,135ED8,135F3A
14D8EF,14DB29,14D9A7
135E8D,135EE9,135E73
14DA6D,14DABD,14D97C
135E92,135ECD,135F04
14DA4B,14DAFD,14DACF
136168,135F17,13601B
14DAFA,14DA7C,14DC0D
135F40,135FD5,1361A5
14DAD8,14D928,14DA96
135FE5,135FF0,1361A1
14DA58,14DA1D,14D9CA
135F93,1360EE,136012
14DAE5,14DA95,14DA3C
13601A,135F39,135E90
14D7DE,14D998,14D971
135DB7,135E0E,135DF0
14D92B,14D90C,14D5E8
135CAB,135D27,135D5B
14D83F,14D7FE,14D84F
135D5E,135F02,135DD2
14D91B,14D9FD,14D794
135E96,135FCC,135E4D
14DA51,14DCBC,14D842
135F46,135E4D,135EE2
14D7B8,14D934,14D9D1
135EDF,135F73,135F5B
14D7CB,14D894,14D84C
135F21,135D16,135D56
14D855,14D8FB,14DA40
135E72,135F4B,135E7B
14D6E5,14D887,14D860
135F16,135F3E,135F7F
14D996,14D9C4,14D932
135D6F,135E10,135C20
14D606,14D832,14D777
135D91,135B15,135E2F
14DA6A,14D7A3,14D704
135BBA,135D4C,135EBC
14D795,14D79E,14D7D9
135D60,135F03,135F28
14D71D,14DA73,14D8F6
135DE6,135CE6,135B33
14D645,14D939,14D828
135B45,135C4A,135EAC
14D6B5,14D734,14D952
135CAA,135D19,135EA9
14D7DC,14D96D,14D7D5
135BF0,135B7B,135CF1
14D82B,14D913,14D806
135BD4,135B67,135BAB
14D66E,14D6B8,14D83B
135E20,135E4F,135CFF
14D6C0,14D818,14D91F
135E20,135D72,135E24
14D7C8,14D7DD,14D7BE
135CAA,135D05,135C19
14D6E7,14D64B,14D916
135D91,135C01,135D61
14D773,14D80B,14D83F
135C59,135C96,135E61
14D855,14D894,14D7D6
135D09,135C0F,135C35
14D62E,14D6A7,14D6DA
135B6F,135AF7,135C06
14D715,14D6B2,14D732
135DA2,135C55,135CBB
14D7CD,14D87C,14D768
135D0C,135A39,135B2D
14D58D,14D756,14D6EF
135C1A,135C72,135E27
14D6FD,14D6DC,14D71B
135CF9,135D37,135B92
14D994,14D947,14D9F7
135F89,135E8F,135D43
14D8EF,14D7EC,14D88E
135E21,135FA6,135D7F
14C63C,14C68E,14C5D0
136836,1365BD,13654D
14E005,14DE7C,14E1CE
13650F,1365E9,13665C
14E127,14E077,14E0E1
136642,136653,136804
14E1DA,14E335,14E0A2
136691,136401,136511
14DFB9,14E0DD,14E149
13661C,1366DF,13663D
14DF84,14E1D6,14E064
136593,136786,13677D
14E062,14DFC1,14E193
1366C4,1364F5,136705
14DF29,14E0F4,14E286
1365F0,136657,13659A
14E2C0,14E2E0,14E062
13669C,1364E9,13651E
14E019,14DF2F,14E0FE
136555,13657A,136535
14DE34,14DF58,14DF70
1365D2,136437,1363F1
14DF64,14DFFD,14DE74
136623,136571,136433
14E05A,14E040,14E071
1365A4,1366C7,1364CB
14E121,14DFCA,14E117
136560,136629,136554
14DF36,14E01D,14E108
136673,136698,136657
14E1F8,14E249,14E16A
1366D2,136519,1364F6
14DF3F,14DD42,14DF34
1363EC,1365BF,1365C2
14DF7A,14E145,14DE25
1363D1,13669A,1363D7
14E098,14DD7A,14DDC7
1365A9,1364EB,136528
14DEC5,14DEEB,14DE48
136482,1363F8,1363DD
14DF63,14E060,14DDF0
13640E,136354,13645C
14DF0D,14DFFD,14DDEE
1364E9,13656C,1366A5
14DF67,14DFDB,14E00A
136396,136518,136572
14DF85,14E189,14DD9C
13633E,136430,13640C
14DECD,14DFEC,14E04E
1364AA,13656E,1362A1
14DEAF,14DF80,14DEFD
136653,136519,13657E
14DF65,14DF80,14E0AB
1367A3,136540,1363BA
14DFA7,14E0BA,14E154
13654C,13659A,1363F0
14DECF,14E0D3,14E005
136545,136565,1366E9
14E031,14DE18,14DFE1
