{'CALIB_RAW_DAC_START_I': 917504, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 6, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
155006,154E3C,15501E
16C92B,16C9BC,16CBCA
154FE8,155187,154FE6
16CA31,16CAF6,16CABB
155122,154E92,154FCA
16CA12,16CA6A,16CA9B
1550DE,15500C,1551ED
16C9DA,16CB7A,16CC15
155009,154FA2,15500C
16CB0D,16CA3E,16CB8E
154FF8,155066,154F79
16C9E4,16CB73,16CBA5
15507A,1550D7,154FA4
16CB0D,16CBCC,16CA68
155049,155012,154F0F
16CB3A,16CB04,16CA39
155001,1550D2,154F3F
16CAD0,16C825,16C937
154F5F,1550CC,154E99
16CAF6,16CB8C,16CAB7
155030,155088,154FDE
16CAA9,16CB28,16CB41
155100,154E7F,155125
16CBDE,16CA62,16CABB
1550BC,154FEB,154F9E
16CBEE,16CC76,16CB62
155092,154FBF,154EA6
16CA30,16CA47,16CB0D
155084,1550FE,154F59
16C9D7,16CA0C,16CC06
1550CA,1550A7,154FD3
16CBA1,16CBA3,16C9F8
154FC6,154F3D,154FAF
16CA57,16C933,16CA0B
155008,154DFD,155047
16C846,16C839,16C8A5
154DDC,154D53,154EF1
16C9BE,16C8EF,16C7FC
15503F,154F24,154DE2
16C884,16C8DB,16C84A
154E68,154E57,154FF0
16C9FE,16C8F0,16CA4C
154FB4,154F4B,154EEA
16CA75,16CA65,16CA81
155109,154FFB,155138
16C925,16C9FD,16C83A
154E58,154F50,154E8D
16C9A5,16CA1F,16CBF6
154F64,15502A,154FDE
16CAF1,16CA05,16C775
15509E,154F4D,154FAB
16CB1B,16CB06,16C79A
1550C8,154F8C,154F18
16C986,16C9F2,16C943
154F5B,154F24,154DF8
16C94C,16C8E5,16C8C8
154F60,154F17,15506E
16CA17,16C896,16CB11
154F13,154E3E,154FB3
16C8F6,16CAE0,16CADB
154F19,154DD7,154F37
16CB65,16C97B,16CA7B
154E34,154F02,1550D2
16C97E,16C7D4,16C766
155041,154E0C,154E2C
16C9E5,16CA83,16C953
154DC1,154EBE,154F07
16C942,16C993,16CACC
154F04,154DE6,154EFA
16C7C5,16C830,16CA2A
154EF2,154EE7,155003
16C817,16C824,16C898
154DAF,154E0D,154DE9
16C997,16CB2D,16C88F
154F89,154DC2,154EFE
16C764,16C6A5,16C7CF
154EEE,154CED,154F4C
16C910,16C7D4,16C8B3
154E13,154CFF,154ED4
16C87C,16C939,16C946
154CD1,154C17,154EA8
16C6AC,16C925,16C87A
154C43,154E04,154E33
16C887,16C84F,16C82E
154C0F,154AE4,154C64
16C806,16C8D0,16C816
154E88,154C76,154BF9
16C886,16CAA5,16C7E7
15503E,154EFE,154DE4
16C862,16CAAA,16CA62
154E2A,154CB3,154CB1
16C908,16C7A6,16C8FC
154FE5,154EE2,154EAF
16C742,16CA91,16CA3C
154DA8,154E1D,154F07
16C79C,16C7DD,16C8C4
154D2D,154CB8,154D84
16C944,16C90B,16C707
154F17,154E81,154CF4
16CA19,16C876,16C737
154D3E,154D73,154D6D
16C8C1,16C81F,16C7C3
154B76,154D78,154D15
16C88D,16C943,16C748
154F73,154EE5,154E51
16C98B,16C7D5,16C832
154DBC,154EE2,154DDE
16C8DB,16C9A7,16C8DF
154C56,15500D,154FF4
16C88F,16C9B2,16C9B1
154CCF,154D7D,154D3B
16C9F8,16CA1D,16C7F9
154CAD,154C77,154D77
16C7BD,16C958,16C898
154ECE,154D08,154E32
16C842,16C8DF,16C558
154DF4,154C26,154B99
16C79F,16C622,16C7AE
154D69,154DEE,154B7A
16C885,16C7B3,16C79D
154CD5,154D52,154D94
16C79B,16C777,16C8F9
154E04,154C7F,154D91
16C75F,16C761,16C7A6
154D4F,154AFE,154ACB
16C838,16C750,16C6CF
154D8B,154BB1,154D2C
16BE51,16BD3F,16BC7A
15510C,155037,1550C6
16CB3F,16CA92,16CC05
1551AA,155151,1551CE
16CC98,16CC10,16CBE8
15525E,1551DB,1551D0
16CC8F,16CA08,16CCD5
154F83,155334,15513E
16CC94,16CAA7,16CC11
1552E5,1552E9,155163
16CB82,16CBB8,16CD24
1552A4,1550D0,1551D7
16CA6F,16CC10,16CBBA
1553BA,15510E,155103
16C9E7,16CCDF,16CAFC
155216,15517D,1551F2
16CD97,16CBFC,16CB55
154FD1,1551CC,155057
16C98C,16CAC6,16CAC2
1551BD,155206,15519F
16CD7D,16CC1A,16CCE0
155273,1552C6,1550A3
16CA12,16CCDA,16CB65
155177,154F1F,154F95
16CB0A,16CAF7,16C9F4
155044,154FD9,1550A3
16CB01,16C9D5,16C914
155028,155064,154FC8
16CA55,16CA94,16CAB0
154F64,154FF1,154F7F
16CAE9,16C9F5,16CAE6
155163,15524E,155070
16CAEE,16C9FC,16CAB7
154EEF,1551B4,154FEA
16CB3E,16CAF5,16CB83
1550B4,155050,15509E
16CA78,16CA23,16CB5E
155231,154E9A,154F87
16CC94,16C9EC,16CB73
154FBB,155040,155125
16C9EF,16CAFB,16CA04
155308,155002,155073
16CCC6,16CB60,16CA71
1550F2,15511B,155112
16CAAF,16CC99,16CC68
15517E,1550F8,15517E
16CA93,16CB3A,16CB22
154F6D,154F47,154F9D
16CAC1,16CBA5,16CB95
154EF9,154E78,154F1A
16CC16,16CA0C,16CAD9
154FCD,155090,154EE4
16C9F4,16C8E5,16CADD
154DF6,154F47,154ED9
16CA52,16CA51,16C8A9
1551CF,155023,154F10
16C9EC,16C9FE,16CA24
15500E,154ECB,155105
16CA41,16CA47,16C9C3
15506F,15510A,155060
16CA77,16CA06,16CC4B
154F67,154F5A,154F17
16C990,16CB2F,16CB3E
154F30,154F7D,155055
16C9FC,16CBEE,16CA3A
154DCB,154CBF,154E12
16C92D,16C84D,16C729
154DB7,154D98,154E7C
16C8CB,16C637,16C7B7
154D8B,154C89,154EBC
16C8E9,16C8D9,16C931
154D79,154EAF,154F6F
16CA5F,16CAA6,16CAD5
154EEE,154F9E,154F42
16C89B,16C891,16CA37
154FC8,154FE7,154F49
16C778,16C96F,16C9F4
154F46,154F3C,154F67
16CA61,16CAD1,16CA03
154E4A,154EA1,154E7E
16CA6A,16C845,16CC43
154F3D,154EE0,15500D
16C9C4,16C865,16CA8E
154F3F,154F59,154F8F
16C8DA,16C839,16C71D
154DD8,154E83,154E91
16C8C6,16CA4C,16CB40
154E58,154FA7,154EE9
16C96E,16C9F2,16C925
1550CC,154F49,154FB6
16CA6C,16CB34,16C984
154D16,154F42,154FF4
16C8F1,16C906,16C89F
155096,1550E3,154E48
16C821,16C785,16C83F
154C47,154E73,154E24
16C58E,16C7B3,16C7DE
154E1D,154BBE,154BA3
16C6B9,16C619,16C751
154BE8,154C9B,154E74
16C79D,16C80F,16C7C0
154C61,154ECA,154DE3
16C61B,16C87B,16C680
154CA3,154CCE,154D36
16C992,16C738,16C8A2
154B62,154D60,154E0F
16C84F,16C7E6,16C7FE
154BE8,154C3F,154DE5
16C96E,16C89C,16CA44
154E6E,154E20,154E76
16C99D,16C89B,16C9F5
154DCB,154C65,154D0A
16C952,16C991,16C95F
154CB6,154CBF,154E3F
16C77D,16C82C,16C67A
154CAC,154C0E,154D01
16C864,16C71E,16C79F
154C87,154CE8,154B7C
16C737,16C6F5,16C90E
154D15,154B81,154E45
16C7E6,16C813,16C703
