{'CALIB_RAW_DAC_START_I': 950272, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 6, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
1731FB,1731B8,172FA6
18AD20,18AB7E,18ABB4
173225,17321C,1731F7
18ACB9,18AE9F,18ACFB
1733C3,173019,17308E
18ACA1,18AAD4,18AB4F
173104,1730DF,1730A5
18AB7A,18ABE8,18ADDD
1731B9,1733B0,1733AF
18AB5F,18ADFC,18ABBD
1730E8,1730C2,17305F
18AB8B,18AC19,18ABF6
173053,173200,173211
18AA6E,18AABB,18A8A7
172FEC,173115,173034
18ABF1,18AB7B,18AB36
173071,1731D3,17307F
18AA8F,18AB10,18ABB0
173098,1730FB,17310D
18AA32,18A9B6,18AAD3
172F96,172FCC,173063
18AAC9,18A9F3,18AA51
173370,1731AA,1731AF
18AB45,18AB7D,18AB12
1730D0,172EBC,173123
18AA6B,18AAC7,18AB18
173058,17308E,173139
18AB0B,18AB3F,18AC73
173123,173064,173020
18AAAB,18AB19,18AA81
173237,173040,172F79
18AA3A,18A871,18ABE5
172EC2,172FBD,173019
18A837,18A8FD,18A901
172F42,172ED8,172E77
18A9CC,18A785,18AA74
172F19,172D22,172E62
18A8A1,18A91A,18A72E
172EE5,173029,172E14
18A9D7,18AA36,18A9E0
17302A,172E62,172F6D
18AA8A,18A956,18AA20
172E25,172DBF,172DDE
18A8B9,18AA19,18AC1B
173124,172ED9,173104
18A950,18AA72,18AA73
172EF0,173095,172F21
18AA5F,18A9A2,18AABA
172FAE,1730AD,172F13
18A82A,18AA15,18AA47
172DFE,172E53,172E8A
18A828,18A8E3,18AB10
172EDA,172EB8,173150
18AB72,18A993,18A72E
1730F6,1730E2,172EFF
18A92C,18AA78,18A976
173060,173001,17307F
18A8EE,18AA49,18A93E
172FB2,172FE9,172F76
18A9AB,18AC7F,18AB06
173009,172DD2,172FC9
18ABDC,18AAF1,18AA8F
1730AE,172EFD,172F3B
18A8D9,18A9B1,18AA82
172F8D,172E7F,172ECD
18A880,18A8EA,18A7DA
172F9C,172D7F,172D11
18A7C5,18A842,18AA64
172E72,172E5D,172C94
18A85B,18A8DB,18A72E
1730A1,172D42,172E66
18A97A,18A8B8,18A82C
173110,172DBD,172E41
18A992,18A77A,18A6FF
172D43,172DE5,172D1D
18A781,18A6CA,18A88C
172F62,172DE0,172CBA
18A816,18A916,18AA09
172EBF,172D71,172D5A
18A99C,18A91A,18A819
172C87,172E04,172F27
18A72C,18A9EF,18A5DB
172C0C,172D01,172E3A
18A745,18AA31,18A7E0
172F80,172C9A,172DEC
18A87D,18A80B,18A7F6
172E27,172F49,172C51
18A8F2,18A7E0,18A811
172F12,172CCC,172C87
18A827,18A963,18A950
172D09,172E0D,172E40
18A7A2,18AA04,18A8F8
173026,172E5D,172D3F
18A863,18A845,18A894
172F06,172E30,172FEC
18A810,18A659,18A5E0
172E97,172D1E,172B74
18A6B9,18A4C0,18A88E
172F3C,172DA9,172CC5
18A778,18A89C,18A6D9
172EA9,172E1C,172CA5
18A7BB,18A7B7,18A73E
172E3C,172F8C,172E7F
18A8B4,18AB0A,18A83A
172E0A,172DFC,172E12
18A739,18A8E7,18AA32
172F61,172FCC,172E06
18A883,18A7CE,18A9B1
173052,172D11,172D8D
18A7F0,18A685,18AA38
172E05,172D12,172E4F
18A85E,18A9FC,18A804
172D01,172B91,172F44
18A5F9,18A92A,18A80B
172F0E,172DDF,172E99
18A6D2,18A8D6,18A762
172C2A,172C74,172D97
18A6B6,18A743,18A833
172D7B,172C48,172BFE
18A888,18A91A,18A9C0
172DBB,172EB2,172FC3
18A975,18A840,18A76C
172C5C,172D92,172BBE
18A76E,18A70E,18A661
172E65,172E64,172D3D
18A79F,18A796,18A896
172C4C,172CA6,172C50
189C8D,189CCF,189E3D
1730BA,17333F,172FD2
18AAE5,18AA79,18AAF4
173169,172FE7,172F67
18ABAF,18AADA,18AA16
173125,173227,173118
18A89E,18AC21,18ABAA
1730CB,173079,17300B
18AC6A,18AD16,18ABCD
173168,1731B7,173010
18AB39,18AAD8,18ABED
17315C,173248,173118
18ABBA,18AA3F,18AC4A
172F85,173006,1730AF
18AD12,18AC84,18AB0C
173197,1730CC,173206
18AD4D,18ACBC,18AD26
17312F,173097,17305E
18AA36,18AAF1,18AB86
173089,173017,173011
18AAEC,18AAF0,18ABD1
17300B,172EAA,172F76
18A987,18A841,18A931
172DC1,172E86,172F84
18A870,18AC91,18A9C9
1730F0,173077,173009
18AB96,18AC6A,18AC4B
172FE8,1731C8,173231
18A92B,18AC1F,18AAFA
172FFD,172FFB,17317C
18AC28,18AB3E,18AADE
172E15,17326C,17307D
18A97F,18AA70,18AA76
173025,172ED4,173124
18A997,18ABB4,18A9E6
172F32,172F7A,172F44
18A93A,18A98B,18AA2C
172FB2,17303F,172FBD
18A983,18A850,18A903
17315A,172F92,1730AD
18A9A3,18AAFE,18AA71
172FCE,172FBA,172E58
18AB93,18AB09,18AC2F
173188,173121,17324B
18AA26,18AC0A,18AB9A
