{'CALIB_RAW_DAC_START_I': 983040, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 6, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
1901A4,190093,1900AE
1A7AB6,1A7AD5,1A79E4
1900B3,1901EE,1901DA
1A7BD6,1A7BFC,1A7D43
18FEA0,1901F6,18FF74
1A7B57,1A7BEF,1A7B07
18FFFE,18FF5B,190080
1A796A,1A7B92,1A7B2E
18FFE1,190176,1902D2
1A7CD1,1A7C05,1A7BCB
1900CE,18FF6B,18FF74
1A7A8B,1A7B12,1A7C58
1901D1,19003E,190262
1A7BB4,1A7AB1,1A7D66
19018F,190044,1901F2
1A7C8E,1A7C53,1A7DE4
19001A,190126,190180
1A7B95,1A7C12,1A7C10
190046,190024,19008B
1A7BA1,1A7B6F,1A7CFE
190220,190218,1900DC
1A793E,1A7BB8,1A7B2A
190008,1900CA,1900F8
1A798C,1A7ABB,1A7CA0
190293,190092,18FF21
1A7AFD,1A78C2,1A7AE5
18FF97,190043,190106
1A7AFB,1A7B7E,1A7B97
18FF97,18FFBD,18FF92
1A795F,1A79F9,1A7A0C
190059,18FF8A,190012
1A781A,1A7945,1A7A64
190034,1900E0,190023
1A7834,1A7A1D,1A79E3
18FE8F,18FFDC,18FF00
1A7A41,1A785F,1A78C4
18FF22,18FDE2,18FE18
1A7925,1A792F,1A79BB
190175,18FF46,18FFB8
1A7C60,1A7AF3,1A7960
18FFFC,18FFF5,18FFB5
1A7A66,1A7C2B,1A7B6C
18FF48,190147,18FFF0
1A7B0D,1A7C09,1A7B6C
19002D,190048,19009B
1A79B8,1A79C9,1A7B62
18FFE5,18FFD4,18FF8C
1A7BDB,1A7C50,1A7A59
18FF43,18FDC9,18FFA3
1A7804,1A7AC1,1A7992
18FFC8,190098,18FF81
1A7936,1A79C8,1A7924
19008B,18FF4A,18FDE2
1A7A46,1A7A28,1A7BBF
19001F,190008,18FD1E
1A7B6A,1A7AC7,1A7ABD
18FEC8,18FF75,18FF14
1A798E,1A7B8A,1A7B6A
18FF40,18FE87,18FF50
1A7C26,1A7B96,1A7AF5
18FFB4,190038,190044
1A7AE9,1A79B5,1A79B5
18FFCB,18FF8B,190002
1A7AB9,1A7B2D,1A7863
18FD81,18FDD4,18FD75
1A7A8C,1A78DB,1A7954
18FE9D,18FFA5,190078
1A7975,1A77D6,1A7885
18FC81,18FCC7,18FDA6
1A77D5,1A78A4,1A7709
18FE26,18FDD0,18FD84
1A7A2A,1A77FB,1A7800
18FEB5,18FD88,18FE9E
1A7922,1A7A9E,1A780C
18FFE0,18FF7F,18FD4B
1A793A,1A7852,1A7A26
18FEE1,18FEDD,18FDD3
1A7838,1A7932,1A7845
18FEAD,18FD88,18FF1F
1A79ED,1A78BD,1A79DC
18FD07,18FF10,18FDDD
1A77DC,1A7788,1A7884
18FD5C,18FF65,18FD84
1A797B,1A7800,1A779B
18FDC7,18FE59,18FAB7
1A76ED,1A7818,1A789D
18FED2,18FC8E,18FBE0
1A7641,1A77B5,1A7621
18FDF4,18FDF0,18FE47
1A778C,1A7866,1A7943
18FE22,18FCFE,18FEFA
1A7731,1A7902,1A7928
18FF44,18FD23,18FE43
1A7779,1A7883,1A79D6
18FDE4,18FD62,18FE63
1A776E,1A7668,1A7765
18FDE3,18FDE6,18FDC1
1A770A,1A7876,1A7864
190033,18FD38,18FCD4
1A76B3,1A7785,1A7799
18FD8E,18FC9E,18FDDB
1A7678,1A773F,1A75F7
18FCA9,18FCD4,18FC66
1A772F,1A77CF,1A7937
18FB85,18FC1B,18FC9C
1A7790,1A7612,1A7821
18FC27,18FE21,18FD3F
1A76D3,1A778A,1A78E8
18FBD7,18FC45,18FDAB
1A7771,1A7910,1A789D
18FD8F,18FD57,18FE40
1A78AE,1A7869,1A7856
18FD9B,18FD39,18FC67
1A763C,1A7757,1A7858
18FDAA,18FC72,18FEF7
1A7833,1A7738,1A782F
18FD26,18FD21,18FF1F
1A7687,1A774E,1A76C8
18FDB9,18FB83,18FDA2
1A7812,1A75E6,1A76A8
18FC51,18FB1E,18FE14
1A77DA,1A783C,1A77C8
18FD42,18FF41,18FD2C
1A784E,1A786A,1A75B2
18FBFC,18FD03,18FD32
1A7792,1A78F9,1A76BF
18FB7B,18FAEC,18FC57
1A6BD1,1A6B75,1A6E23
1900A3,1901CB,190131
1A7A50,1A7B35,1A7A60
19021A,190220,19010F
1A7B06,1A7B51,1A7B2C
1900E8,18FFCB,1901E3
1A79CF,1A7ACF,1A7A60
190121,18FEFB,19013B
1A7A8E,1A7B45,1A7A11
18FFAC,1900D8,190213
1A7A94,1A7BF3,1A7ACF
190152,19021D,18FFE8
1A7BE5,1A7C64,1A7A8A
1900AB,190049,19006C
1A7B2D,1A7B32,1A7C66
1901D3,1900D8,1900B7
1A7D5F,1A7ADB,1A7DD9
19018C,1900DC,18FFEF
1A7922,1A7966,1A795B
18FFB1,18FF78,18FDFC
1A79CF,1A79DA,1A7B96
18FF05,190090,18FE23
1A7A01,1A7A8D,1A79DF
19009E,190248,1901E5
1A7B2D,1A7AA3,1A79EA
190106,190017,1901A0
1A7B92,1A7BE3,1A7BAB
1901D2,19002D,19009A
1A7B84,1A7BFF,1A79A1
190001,19002C,18FF7C
1A7A2C,1A7A77,1A7936
190075,19014E,19006F
1A79A0,1A79E5,1A78E0
18FFCA,18FEDF,18FF1B
1A7A0E,1A7A22,1A78D3
18FED4,18FE4F,18FF07
1A7B8A,1A7B51,1A7AB6
190068,19016F,1900E3
1A7ACF,1A7ADE,1A7B41
19011E,1901A2,18FE6A
1A7B4B,1A7A55,1A7AC3
19026D,19018D,190036
1A7A54,1A78E7,1A7AC9
1900E1,18FE67,1900B7
1A7A7F,1A7B28,1A7A1A
18FEC2,1900B4,190079
1A7AAF,1A7A1E,1A7BBD
19010D,18FE2D,19003A
1A7B22,1A7B05,1A7B47
18FECB,18FED2,18FEE0
1A789C,1A7B49,1A7AD2
18FCCC,18FE2D,18FFB0
1A77E0,1A7A52,1A7A1B
18FF35,18FFED,18FE95
1A78DB,1A7886,1A7A11
18FE83,18FEB4,18FE68
1A7700,1A7A25,1A797B
1900AD,190024,18FD39
1A7A3E,1A7AE7,1A7A2E
19014C,190099,18FF8C
1A79E3,1A7A09,1A7A7A
18FF13,18FE02,18FF84
1A7895,1A784F,1A79E9
18FFED,18FEF0,18FED6
1A7856,1A7ADD,1A7982
18FD0D,18FF28,18FE37
1A77A8,1A7897,1A7919
18FD81,18FE51,18FD98
1A779C,1A79C8,1A7779
18FD0F,18FD9F,18FC5C
1A76B0,1A7817,1A7795
18FD6E,18FE8C,18FB57
1A7900,1A780F,1A781B
18FBBC,18FD1C,18FE0B
1A76C8,1A7751,1A78C8
18FE70,18FE7F,18FD6A
1A796E,1A781C,1A798D
18FDE8,18FD36,18FF88
1A7766,1A793E,1A7997
18FE3A,18FEB5,18FD9F
1A79EF,1A78D1,1A7AA4
18FE02,18FBC6,18FD1C
1A77C2,1A7571,1A77E0
18FDD2,18FC85,18FC10
1A7647,1A761A,1A77F9
18FCC8,18FBF3,18FCD6
1A792C,1A78A8,1A7903
18FF22,18FDE6,18FC92
1A78D9,1A77E6,1A78DA
18FD22,18FEEC,18FB87
1A79E6,1A7929,1A7896
18FD41,18FC18,18FE14
1A7859,1A76F5,1A7881
18FF3E,18FD77,18FDB4
1A7A32,1A7918,1A7801
18FEE3,18FCA3,18FF50
1A77F5,1A7855,1A7842
18FE5C,18FD4B,18FDED
1A777F,1A76F9,1A77FB
18FD3A,18FE56,18FDAC
1A769A,1A7788,1A77F8
18FECB,18FD0D,18FC40
1A785B,1A783C,1A7748
18FDE9,18FCBC,18FCD7
1A7841,1A7803,1A78F6
18FCCA,18FEAF,18FE1F
1A78CC,1A78A0,1A7922
18FDFA,18FD33,18FBF9
1A77AF,1A782E,1A7933
18FED4,18FC6F,18FDD7
1A7713,1A775D,1A78E2
18FE2B,18FE46,18FCD2
1A7727,1A775F,1A79CD
18FC22,18F93C,18FC83
1A7725,1A77D8,1A7830
18FC63,18FE16,18FD76
1A778A,1A7604,1A770F
18FB03,18FC23,18FBB9
1A773E,1A763A,1A785E
18FCEE,18FCDC,18FDD9
1A7860,1A7829,1A7A0D
18FE4D,18FD09,18FDED
1A7755,1A771F,1A7A95
18FB0B,18FDDB,18FCB8
1A7609,1A77C7,1A7761
18FE36,18FF26,18FE3B
1A7790,1A7625,1A7691
18FC8F,18FE35,18FE47
1A660A,1A665C,1A66C8
190558,190661,190519
1A7EC4,1A801F,1A80A0
190588,1905B7,190694
1A80ED,1A81B4,1A815B
190612,190304,1906DC
1A7E13,1A7FB4,1A800C
1905DD,1906DD,19046C
1A8150,1A7E42,1A7FE2
190722,190535,1906A5
1A8259,1A8316,1A8082
19057D,190602,1906EC
1A8185,1A809C,1A8116
190719,190754,19069D
1A7F08,1A7FD2,1A80FE
190520,190736,1907C1
1A8183,1A81A6,1A8092
190505,190498,1905CE
1A8105,1A802D,1A8105
190503,1905A6,19077A
1A7FD0,1A80D9,1A8134
1906AF,190479,190429
1A7E11,1A80A4,1A8018
1905C1,1905EA,1904A4
1A7FC8,1A7FCA,1A7FCB
190516,1904E1,19042A
1A7FC8,1A7DF4,1A8024
190622,19043B,1903A6
1A7F5B,1A7E0B,1A7FE7
19050A,19037F,1905D5
1A7EB2,1A7EF0,1A800C
19049D,19038E,19038D
1A7E62,1A7D80,1A80BE
190754,19046F,19054C
1A809B,1A7FD7,1A8033
19044B,190661,1903A0
1A7FF4,1A7EFE,1A80AD
19078C,190448,190321
1A7F3A,1A8073,1A7DF9
1905D1,19039E,1902E1
1A8074,1A7E1E,1A7FCF
190585,19041B,190454
1A7E92,1A7F38,1A7F4E
19056A,1904AC,1905E1
1A7F2E,1A7F90,1A7E78
19057C,1906F5,190463
1A80AA,1A81E3,1A81B4
1905B3,190552,1906DA
1A7F05,1A8050,1A8144
190630,1904C3,19055F
1A7D88,1A7E78,1A80B7
19049E,1902EB,19042E
1A7E4F,1A7EDB,1A7ECA
1903FC,19044F,190443
1A7E0D,1A7F90,1A7F97
1904CB,19027B,1904B5
1A8085,1A7F5D,1A7F82
1905FF,190651,1904F4
1A7F8A,1A8101,1A805E
190556,190375,19050F
1A7E22,1A8038,1A7F90
1904AC,190380,1904B0
1A8029,1A7F17,1A7FD1
19041B,190511,190531
1A8043,1A8056,1A803B
19035C,190366,19044F
1A7D50,1A7F18,1A7DBE
19033B,1905B3,19048F
1A7FFF,1A8034,1A7EC5
19036A,190628,190451
1A7DD1,1A7CF0,1A7E3E
1903F7,19042B,190443
1A7CC2,1A7CBC,1A7F4F
190489,19042F,1903EF
1A7D56,1A7E13,1A7D81
190400,190409,1903DD
1A7E06,1A7D2D,1A7E8A
19043E,19027E,1903BE
1A7CBB,1A802D,1A7E5E
190361,190377,19052B
1A7E22,1A7E97,1A7EB2
19053E,190357,190327
1A7C6C,1A7C94,1A7D7C
190447,19042C,190369
1A7BA3,1A7CDC,1A7C4D
190384,19030F,19038F
1A7C12,1A7D11,1A7BB1
19042C,190333,19021C
1A7CCD,1A7FD4,1A7F13
19043A,1902EB,19028C
1A7C2F,1A7E2D,1A7EBF
190439,19044A,190255
1A7E00,1A7CCA,1A7CF1
1902C6,19025D,1902BD
1A7CFE,1A7C32,1A7C5E
1901C0,190333,1900DE
1A7CB4,1A7B50,1A7D65
1903F3,1901DA,1901CC
1A7AB4,1A7BDF,1A7BCA
1902B8,1902FE,190132
1A7EA0,1A7E39,1A7E23
1903B2,1902D3,19028E
1A7CE1,1A7D44,1A7B6B
190199,190328,1902D8
1A7DF3,1A7C74,1A7D28
190489,1903E6,19023C
1A7DE0,1A7D92,1A7EBA
190352,1903B1,1902F9
1A7BD1,1A7E52,1A7E35
1902AD,19017E,19005C
1A7B83,1A7CB7,1A7C3C
19026E,190232,190277
1A7DF2,1A7E03,1A7EF3
1904B6,19029D,190217
1A7A57,1A7BF7,1A7B38
190181,1902F9,19032B
1A7C9D,1A7CB0,1A7C8F
190173,19003E,1901AB
1A7B4F,1A7BCC,1A7D31
1904A7,190284,1900E9
1A7CD0,1A7D72,1A7E5E
1902EB,190216,19033F
1A7D03,1A7B88,1A7EF3
190432,19030D,1902B8
1A7DAB,1A7B7F,1A7CCD
190349,190084,1902FF
1A7E4A,1A7CC8,1A7DD5
1902A9,19021E,190190
1A71D0,1A71E4,1A731C
190694,190675,190479
1A8136,1A80E8,1A7F2B
19046B,190727,1905B4
1A8076,1A8012,1A8213
1906AD,190627,190556
1A7F80,1A7F06,1A804F
190695,1905BD,190619
1A817E,1A7F72,1A7FCA
190726,190691,19064B
1A8093,1A82C2,1A80ED
19065B,1906A2,1906C8
1A8019,1A8064,1A7F5E
190518,1905A3,1905DA
1A8063,1A822D,1A825F
190706,1906CF,19067A
1A81D1,1A818B,1A8203
190564,1906BE,190749
1A7FD5,1A7FBC,1A8114
1907A4,19056C,1906B8
1A8139,1A8275,1A802F
1907A3,19068F,190521
1A8085,1A81D8,1A80B0
190749,1905CB,19057D
1A7FD4,1A7FDC,1A7F26
1904E4,190574,19066B
1A7F97,1A7E6C,1A8092
1905BC,1905F2,1905B0
1A7F6E,1A7FCC,1A7F26
1905B0,190531,1904FA
1A7F25,1A7FCB,1A7F3B
1905F4,1905A5,1905A5
1A7FD8,1A7F91,1A7F89
19056E,190478,190544
1A7F23,1A7EE2,1A8068
19059B,190464,1904E1
1A7DD7,1A7F9C,1A7D51
19045B,190419,19049B
1A8114,1A7FA2,1A7F58
190616,1903CF,1905D5
1A7F84,1A800F,1A805F
1905A0,1905D3,1905D8
1A7FA5,1A7EB3,1A7F3A
190621,190466,190414
1A7EC7,1A80A0,1A7E1D
190406,190506,1905A7
1A7CE4,1A7E34,1A7EF0
19043A,190141,1905D7
1A8056,1A7ED2,1A7F53
1902C3,190355,19029D
1A7C6F,1A7EAE,1A7FBF
1904A2,19034E,1903D7
1A7DEA,1A7DBA,1A7E15
190583,1903F0,1902DC
1A7F0A,1A7EB3,1A7D40
190370,19031A,190381
1A7E3A,1A7E42,1A7EC2
190483,190444,190384
1A7F95,1A7DB5,1A7D97
190464,19058B,19052A
1A7DB2,1A7FBF,1A7EDC
190496,1903C1,190585
1A7EE6,1A7EDB,1A7EDD
190453,19025A,190423
1A8096,1A810A,1A807B
190600,19044D,1904A3
1A7F4C,1A7F3F,1A7BBD
190421,190361,1902CF
1A7C75,1A7E1E,1A7D30
190351,190518,190430
1A7E08,1A7D72,1A7DB2
19034C,19035B,190281
1A7C3B,1A7D28,1A7C8E
190304,190420,190225
1A7C4B,1A7BCF,1A7DD3
1903E0,190474,1902A7
1A7DC2,1A7D65,1A7D7D
190426,190272,1903E6
1A7D91,1A7DDF,1A7D62
18FFF8,19034E,1902E8
1A7EA9,1A7EB8,1A7CC6
19021F,1901D2,190209
1A7D22,1A7CDC,1A7D97
1903E9,1901CA,190292
1A7D19,1A7C35,1A7C81
19023B,190185,19025A
1A7D0E,1A7C0C,1A7BA4
1902C0,190175,190206
1A7D54,1A7D11,1A7CC6
190202,19005D,190232
1A7C3D,1A7C00,1A7EDD
190211,190212,19025F
1A7CA2,1A7E23,1A7D76
190344,19022A,1902D6
1A7E7B,1A7E04,1A7E15
19051C,19040D,190297
1A7BC3,1A7CC9,1A7C89
1901C1,190206,18FF54
1A7D00,1A7B7C,1A7CC8
190185,18FFE0,190158
1A7CD9,1A7DD1,1A7EE0
1902A5,19031A,1902DA
1A7BE0,1A7CD6,1A7B99
190427,190185,1902D3
1A7D7F,1A7BC0,1A7DFA
190287,19019D,1901BD
1A7BFD,1A7C60,1A7E37
190284,19016D,1902CF
1A7E0B,1A7D7B,1A7D1A
19032F,190232,19022C
1A7D29,1A7DE2,1A7E58
1902DA,1902FA,1902D2
1A7CF4,1A7D4C,1A7C94
1901C0,18FFC8,1900FA
1A7C2B,1A7B1C,1A7B9C
19029F,190284,1902F0
1A7BC9,1A7BBC,1A7C56
1902B7,1901F8,1901FE
1A7CD1,1A7D1D,1A7BAD
19021D,19013E,19003D
1A7C1F,1A7D80,1A7B5B
19029B,19027B,19022C
1A7BD1,1A7E9C,1A7DC9
190245,190200,190136
1A7B2B,1A7C87,1A7C5B
1902FD,1901BF,1901E2
1A7C07,1A7DB7,1A7B68
190121,19040B,1900BD
1A76FF,1A793F,1A7803
18FDAD,18FB4D,18FC1A
1A7480,1A770A,1A77E8
18FB52,18FE7E,18FE9A
1A7696,1A76B7,1A776E
18FB98,18FC3A,18FBD0
1A76D7,1A7761,1A752D
18FBBD,18FC3D,18FD24
1A7695,1A7638,1A7792
18FD43,18FC93,18FC8F
1A761B,1A76B0,1A760E
18FBEB,18FBC9,18FBF9
1A7684,1A772E,1A76C1
18FCAF,18FBDF,18FC97
1A7924,1A777B,1A7552
18FBF5,18FB18,18FAF2
1A7743,1A769A,1A7957
18FD10,18FD0A,18FB2D
1A7654,1A7613,1A75B8
18FC93,18FD2D,18FCED
1A75B5,1A76EB,1A7701
18FC77,18FCE7,18FBEC
1A76D7,1A76F7,1A7727
18FC58,18FA06,18FB6A
1A7643,1A75A4,1A7725
18FD06,18FCE6,18FB03
1A7789,1A775A,1A7802
18FB15,18FC05,18FC6E
1A761D,1A7657,1A768C
18FBE2,18FB53,18FA89
