{'CALIB_RAW_DAC_START_I': 1015808, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 6, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
1ADE0C,1ADE43,1ADD6B
1C581B,1C576A,1C5728
1ADCF3,1ADC5D,1ADBDB
1C5732,1C5792,1C560D
1ADCF7,1ADB50,1ADCFF
1C55F8,1C557C,1C54B7
1ADCC6,1ADC1A,1ADBE3
1C55EF,1C5697,1C563A
1ADBE8,1ADBB4,1ADC6D
1C5689,1C56F8,1C5730
1AE02D,1ADBBD,1ADD3D
1C574E,1C567C,1C56D7
1ADCC0,1ADC66,1ADC13
1C574F,1C568B,1C56E5
1ADC92,1ADC06,1ADB96
1C581E,1C58FD,1C57B2
1ADB6F,1ADAD0,1ADAA1
1C55C1,1C55B4,1C5556
1ADD3C,1AD983,1ADADD
1C565A,1C5552,1C5769
1ADBB3,1AD9D3,1ADAB8
1C55E3,1C5660,1C5514
1ADCBB,1ADC39,1ADBF3
1C5675,1C5629,1C5580
1AD9E3,1AD9B6,1ADAB0
1C55F7,1C5808,1C563F
1ADC5C,1ADB9E,1ADA90
1C550B,1C56DF,1C55B4
1ADBDD,1ADAEB,1ADBE1
1C5739,1C582E,1C565A
1ADB38,1ADB5C,1ADC3D
1C5548,1C56E7,1C5556
1ADB50,1ADB83,1AD997
1C5602,1C5480,1C555D
1ADB68,1AD996,1AD9A3
1C5660,1C554A,1C5487
1ADAD2,1ADAAC,1ADA8B
1C5653,1C5477,1C56D1
1ADC35,1ADB7B,1ADCB5
1C57C8,1C545D,1C54E5
1ADAEC,1ADB20,1ADD5C
1C559B,1C55FF,1C55EA
1ADD4C,1ADADF,1ADC64
1C5610,1C56D2,1C560F
1ADC0A,1ADA3E,1ADBD8
1C5710,1C572D,1C54FB
1ADBBC,1ADB17,1ADB30
1C55FF,1C55EB,1C5791
1ADC4A,1ADC94,1ADBEA
1C55BA,1C5625,1C5723
1ADA61,1ADBEC,1ADBA9
1C52C8,1C53EE,1C5423
1ADBD4,1AD9AB,1ADA88
1C55E1,1C54FE,1C56E0
1ADBD4,1ADB2A,1ADB0C
1C5712,1C570A,1C5694
1ADA76,1ADBD9,1ADC83
1C56DF,1C57B4,1C5822
1ADC87,1ADBD7,1ADC7F
1C562B,1C5787,1C562D
1ADAA1,1ADBF0,1ADBF6
1C545A,1C56C8,1C55F8
1ADBCC,1ADC16,1ADB44
1C53E4,1C54CB,1C53B2
1ADAE2,1ADB32,1ADA99
1C5609,1C52EC,1C532B
1ADAEA,1ADAB6,1AD9E7
1C555D,1C54C1,1C55F4
1AD9CC,1ADA3C,1AD910
