{'CALIB_RAW_DAC_START_I': 0, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 8, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
2BE41,2BFC2,2BE43
43997,438D8,43857
2BF24,2BFE8,2BED5
4387C,4396A,43985
2BEFC,2BF92,2BFF5
43ACF,439C4,43A1D
2C1A0,2C103,2BF9C
43979,438ED,43A48
2C1CE,2BE62,2BFD7
43983,43961,4396C
2BFF2,2BF36,2BEA5
43B1F,439C6,439E7
2BEB1,2C082,2BFB0
43BAE,43AD3,43B48
2BD95,2C117,2BF2C
43B76,43DF6,439E1
2BFC5,2BF63,2C09D
43974,43A53,439AC
2C0EC,2BE0F,2BFEC
43918,439A7,43991
2C050,2C15B,2BF70
43A33,43AF0,43B20
2BF15,2BE55,2C007
43A09,439F3,43B3A
2C1B9,2BF39,2C0E6
43A50,43AAD,43A3B
2C055,2BFDC,2BFC7
43D1C,438DA,437B2
2C033,2BFCC,2C03B
43A9E,4397C,43B7B
2C193,2C096,2C1D8
43A69,439F4,438EB
2BFEB,2BEF0,2BE0D
439F6,439B7,43AA3
2C101,2C147,2BF4F
43A75,43AE4,43A69
2C16A,2C07A,2BE82
43B6B,43B9B,43A22
2C06B,2C10C,2C079
438F2,43C09,439CA
2C00C,2C003,2C145
438AC,43A64,43C5E
2C1E3,2C223,2C20E
43ADF,43ACF,43B4D
2C14F,2C0F0,2C3B4
43AB3,43BE2,43B0B
2C28E,2C01E,2C201
43BF3,43C29,43C2A
2C054,2C038,2BFC2
43A11,43A28,43816
2BF3E,2C0A1,2C071
43B0E,43ADC,4398D
2C0A2,2BF1E,2C096
43A5E,43A1A,43B90
2C0E6,2C035,2BF4C
43B9D,43BD4,43AB6
2BEA7,2C020,2C0C1
43AF8,439CF,439E8
2BFAE,2C049,2C0E3
43B49,43B3D,43A56
2C0E0,2C06D,2C103
4398A,43A4C,43A76
2C1D0,2C10C,2C20F
43DF1,43D42,43CD1
2C348,2C1BF,2C124
43E80,43D27,43D41
2C2C1,2C2DB,2C319
43CC1,43EFB,43CB5
2C23F,2C3EE,2C371
43C98,43CEF,43F3A
2C307,2C39B,2C3F3
43CE0,43F11,43E02
2C1CD,2C274,2C2BE
43B19,43C6A,43D79
2C293,2C38C,2C2B2
43EB0,43D52,43CA9
2C2F2,2C0EC,2C2E0
43D6C,43DC7,43EEE
2C329,2C27E,2C223
43DC3,43FD2,43F11
2C576,2C491,2C394
43D4C,43E5F,43D1F
2C2E2,2C431,2C22D
43DD9,43D2E,43D72
2C253,2C2BB,2C22D
43CFE,43D65,43CF3
2C4CF,2C1D1,2C37B
43E5C,43F0E,43F78
2C2B8,2C4AB,2C53C
43EB7,43D88,43DC8
2C555,2C2AB,2C36C
43D42,43D58,43D57
2C4D2,2C45A,2C49A
