{'CALIB_RAW_DAC_START_I': 98304, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 8, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
183D5,1838C,1827F
2FECD,2FCD7,2FE01
18388,18436,1819E
2FDC5,2FD61,2FEB0
182DE,18466,18536
2FFB7,2FE59,2FE43
1852C,18472,184FE
2FF0C,2FF59,30024
18553,1843B,1831A
2FDB6,2FEAA,2FEE0
18519,18403,1853E
2FE44,2FF06,2FF45
185EB,1840B,184D4
300A5,301FD,30096
1855E,1862D,18578
2FF11,2FFBE,30100
18326,183DF,18525
2FD5A,2FE0B,2FEDE
184DF,183D3,18451
2FE84,30086,2FE64
1846F,1854A,1855E
2FD8D,2FFB6,2FDE3
183F3,184E6,18518
2FFC2,2FF2C,300DA
186A3,18434,18488
3003D,2FEEF,30144
18537,184CD,1850D
2FEDF,3002C,2FF68
184A1,18477,1847E
2FF0E,2FFE1,2FDDB
184CB,18532,182F2
2FC8C,2FC75,2FB7A
1835F,18460,182DC
2FDF0,2FBCF,2FDC7
181CC,182A5,1833F
2FDC7,2FE1E,2FE14
185DB,183E8,182D6
2FE50,2FC84,2FE99
18535,1845B,182AB
2FCA9,2FDA7,2FE94
1829C,18418,181F8
2FDCC,2FE31,2FCE9
182D4,183FD,183AF
2FECC,2FF4C,2FEE6
184F6,183F5,18479
2FF0A,2FEB0,2FF87
183A5,1845C,18574
2FE38,2FE93,2FF8D
18515,183C4,183F1
2FE71,2FD5C,2FC47
18331,1835E,182A4
2FCB2,2FDA6,2FE32
1856A,182B5,1848C
2FFFE,2FDC3,2FD89
185CB,18482,183B2
2FE76,2FD83,2FF43
1837D,182EF,184F1
2FDB8,30109,2FD93
1849E,1823A,18425
2FDAA,2FDF8,2FE21
184E3,183BA,18538
2FFEB,2FF7A,2FF93
18381,18520,184F8
2FFDC,301DD,30183
18640,18585,186F6
300FE,2FF9E,2FFB9
186EC,1874A,18752
3007D,30092,30023
18816,18613,184A4
2FE56,302BC,300C2
18812,1860F,1842F
3017B,30128,30143
18774,18711,187A2
301BD,30319,30080
18675,1853D,188DF
301B4,30226,30295
18922,189F9,18923
3028F,30261,30260
188D5,187AD,186EE
3037F,30427,3029B
188A9,1874F,18687
300F2,30265,30220
1882E,18600,18875
3026E,302D2,302BF
1889D,188CF,1888D
30362,302F6,3026C
1865D,187FA,18722
303C0,301C3,3015F
18833,18853,1862D
30427,301A4,30220
187E4,18597,18851
30222,3033F,3029C
18546,1883A,188CC
30103,303B1,30402
188A5,188A0,1891A
301BF,301B4,30212
186A3,186F3,18492
3005C,30094,30167
18624,18788,185D0
300C0,2FFBB,30192
188E4,18810,188F0
30314,30235,301D8
188DA,1858A,186E9
30134,30295,30265
1867D,18682,186C3
301A3,300A9,30361
187B2,18979,1872F
30253,304BA,30440
187DF,18711,18872
30099,3023E,30008
18652,18783,188DE
30273,301F8,302AA
186DB,1885D,18668
30255,30127,30007
18605,1869B,18671
301C5,30235,3024B
187C9,184E1,18A14
30058,301AD,3016C
186F8,18633,18709
30276,30153,2FFE9
188CD,186A0,1874F
300FF,3025A,3015C
185CC,18661,1871C
2FFD1,3011F,3024C
18642,18862,18762
2FE78,30215,302BC
18824,18749,186E1
2F929,2F7B8,2F913
18B9C,18B04,189F2
3051C,3051E,30647
18BEC,18AF2,18BD4
30797,30505,305BD
18B21,18B86,18C03
30633,30432,30519
18BA0,18B62,18B04
305FC,3050A,3064C
18BBB,18C92,18B67
30538,306EF,30532
18C49,18B66,18C46
307F2,307E1,30853
18AC0,18BFF,18BA8
306A9,30808,306AB
18B0B,18B64,18FAB
30756,30624,30717
18B9F,18C69,18A12
304EB,305C6,304A2
18BCA,18A2D,18C4F
304F3,30522,303D3
18A94,18B1A,18AD4
305F7,3062E,30625
18B87,18B1F,18AC9
30636,30503,3060B
18C71,18B22,18BF3
305EB,3051A,30683
