{'CALIB_RAW_DAC_START_I': 196608, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 8, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
3B1D,37C4,389A
1B5ED,1B742,1B3BD
39B1,3B70,3B12
1B4AE,1B51E,1B5B1
3B2D,3B42,3BE4
1B5EA,1B5F9,1B47C
3AA4,3AE0,3C31
1B6B7,1B5AF,1B5E6
39DB,3BE1,398B
1B552,1B620,1B6BB
3C65,3BF2,3BF3
1B602,1B529,1B674
3B45,3B79,3DF5
1B62C,1B77C,1B7AC
3BDB,3CFD,3A96
1B7F2,1B80E,1B717
3C7D,3B15,3C58
1B450,1B6DE,1B5B2
3C29,3CCE,3D1A
1B667,1B62C,1B539
3C5A,3B2C,3B8A
1B754,1B5AA,1B5A6
3CA4,3BDE,3C90
1B9A5,1B872,1B8AF
3D14,3B40,3AFF
1B6F5,1B6B7,1B88C
3CB1,3CEA,3BFC
1B673,1B5E4,1B562
3D9D,3B94,3CC0
1B6E9,1B60D,1B649
3BAB,3D00,3B31
1B59C,1B587,1B4CA
3992,3BB1,3A85
1B504,1B692,1B555
398B,39C3,39CC
1B462,1B66A,1B5C8
3ADF,386D,3993
1B56F,1B5B9,1B68C
3A58,3AD8,3A24
1B564,1B6C4,1B5FC
3D5B,3B37,3952
1B63B,1B644,1B541
3C2F,3C35,3BD2
1B8F4,1B6F9,1B61D
3D73,3D35,3C7C
1B5FA,1B6D6,1B5DA
3B6E,3D91,3BF8
1B6F4,1B7C0,1B77A
3C4C,3C13,3B12
1B557,1B657,1B795
3CFA,3BC0,3C2D
1B538,1B8A1,1B7B7
3DCB,3C6E,3BA5
1B7FC,1B73B,1B611
3C61,3F19,3D17
1B8F8,1B7BC,1B8A1
3CE2,3C8C,3E9F
1B531,1B956,1B7F7
3E35,3C3D,3CBA
1B8D8,1B817,1B896
3B1C,3D10,3C40
1B713,1B701,1B72F
3F1E,3D23,3BA7
1B8EB,1BA99,1B983
3E73,3DCD,3F2B
1B880,1B874,1B8E7
3D85,3CC6,3FCA
1B91C,1BB69,1BA5A
3E51,3E0C,3E0E
1B827,1B908,1B976
3D50,3D18,3EF4
1BABC,1B81E,1BB4E
3E4F,3FBB,3ED4
1BA9C,1BA21,1B983
3C3E,3D71,3DD0
1B715,1B96C,1BA33
3FA0,3FCA,40F8
1BAF1,1B8BE,1B9DF
3E69,4026,3E72
1B974,1BABE,1BA22
3D2B,3C38,400A
1B854,1B9DD,1BA6B
40B6,3EC6,3FC3
1B8DF,1BA21,1B79A
40BA,40B6,3E6B
1B9C8,1BA28,1BB69
401E,3ED2,3F0B
1BB3C,1B98E,1BAD4
3F44,3EB5,406C
1B950,1BA3E,1B92C
3EFC,401F,3F6E
1B9F7,1BBF1,1BB8C
403D,40D4,3FE2
1BAC4,1B881,1B92F
3E25,3EFD,40A0
1B920,1B884,1B8FE
3DF2,3EB8,3EBE
1B7AA,1B860,1B8D7
3E7C,3FE5,3E3E
1B8FE,1B65A,1BA7F
3E75,3DC8,3E85
1B978,1B829,1BA6F
3DE6,3D51,40B3
1B827,1B88B,1B946
40C5,3FAE,3DAC
1B95A,1B824,1B712
3CF3,3F60,3E54
1B831,1B7C0,1B8AE
3DE3,3F57,3DF7
1BA24,1B82C,1BADD
3C78,3CA3,3E00
1B8C2,1BA52,1B94B
3E3C,3EED,3D50
1B965,1B92B,1B8DE
3F43,3FEC,3DC6
1BB50,1BA2F,1B9F2
3E5D,407B,3EF0
1B8E0,1BA13,1B87A
3F21,3F56,3F6C
1B80F,1B9A8,1B8E7
4045,3E5A,3FAC
1B9C7,1BA49,1B72A
3EF4,3FE2,3F52
1BA29,1B90C,1B8A0
3EB9,40F7,4075
1B859,1BACA,1B82C
3F8C,400B,3F62
1AFEE,1B1A6,1ADD6
429E,42DC,43D5
1BDB2,1BD5B,1BD89
42F3,423F,4108
1BB99,1BC89,1BCE0
4325,4222,4268
1BCF8,1BDB8,1BDBB
43A2,4303,4349
1BD2D,1BD17,1BEA1
43C0,42DC,438E
1BE70,1BF55,1BEFC
44C2,43C2,442E
1BE26,1BF83,1BF06
445F,4343,4558
1BF99,1BF78,1C147
43F1,469D,4444
1C112,1C05A,1BEF4
453B,450D,45CC
1BFAF,1BEF8,1C005
42DB,4459,43AF
1BDDC,1BD91,1BD37
444A,4473,4463
1BE2C,1BEE8,1BDD2
4499,453E,4531
1BFBD,1BF53,1BF12
443F,453F,4744
1BDFE,1BF00,1BFBF
45AE,4433,4414
1BF20,1BD4A,1BEE3
45DA,44DD,458B
1C0FD,1BDDA,1C01E
442E,434D,45E2
1BEB8,1BE83,1BE8B
428B,4361,431B
1BDE2,1BDA5,1BBE7
43CA,447E,4338
1BD6D,1BDFA,1BCBA
44B7,438A,4444
1BD8C,1C125,1BA5E
42B8,42A4,4390
1BCDC,1BF61,1BEE7
44DC,4329,42E7
1BE8B,1BC82,1BDB9
41B3,417E,42A6
1BE08,1BDA6,1BFAE
424D,44D7,4488
1BDC8,1BE4E,1BE11
435E,44E6,43C6
1BF09,1BEA8,1BF82
43FA,4427,432C
1BD0C,1BF64,1BD4B
442C,433C,4480
1C006,1BE43,1BEAB
4320,42B6,43D6
1BE7E,1BE9A,1BF48
44A4,44DB,43A4
1BE61,1BCED,1BFA5
433F,4370,43B1
1BDF4,1BF29,1BDAE
462F,4560,45E1
1BF2D,1BE0F,1BFF5
43D8,45F5,4435
1BD25,1BDB8,1BE2C
444A,43A2,4535
1C245,1C12A,1C257
48E4,4819,4582
1C1A5,1C1F9,1BF7E
474D,46C5,477C
1C0C1,1C24A,1C083
466C,4706,46F1
1C064,1C10B,1C0B5
451D,4637,46F1
1C1A2,1C219,1C1F0
47C3,4796,45B7
1C0EB,1C01A,1C14F
46A2,4759,44BA
1C1CD,1C1D8,1C281
4529,463D,46DD
1C0C9,1C35B,1C247
45FA,470D,4790
1C33C,1C406,1C1C6
46BA,472F,46FD
1C059,1C2AB,1C291
4730,474B,45C0
1C057,1C021,1C13F
4740,478D,4991
1C1D8,1C0BC,1C2BC
4756,47BF,4837
1C1BB,1C31A,1C32E
466F,46CE,45ED
1C435,1C262,1C23A
48CE,467F,48DA
1C463,1C336,1C390
498A,48F3,4805
1C2B6,1C254,1C2B4
4679,484C,4900
1BFB9,1C065,1C02C
465C,44F8,44FE
1BF72,1C0BD,1C029
4675,45E4,451D
1BF19,1BF2C,1C133
4574,4536,4558
1C104,1BFFC,1BE08
471F,47BD,4657
1C012,1BF18,1C15D
45E8,43F8,476D
1BFD5,1BEE0,1C1BA
4430,4611,45F1
1BE84,1C048,1BEE9
463D,462B,468E
1C008,1C139,1C073
4646,45DE,453E
1C156,1C08F,1C292
471E,469D,46B0
1C053,1C101,1C177
46F3,4776,479E
1C1C1,1C2BB,1C175
4876,46DC,4815
1C0F6,1C0D3,1C27C
4846,48CD,4857
1C1C7,1C2B7,1C32C
47A0,4609,4811
1C297,1C183,1C27F
4625,47C3,47D6
1C25D,1C388,1BFCB
4841,4890,484B
1C18D,1C1A1,1C0D5
4795,467B,468B
1AE1C,1ACC9,1ACD0
456E,43FC,45F7
1C0A4,1BFB1,1BE38
443C,450C,457F
1C069,1BEFA,1C014
465D,45E3,47A6
