{'CALIB_RAW_DAC_START_I': 294912, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 8, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-10F51,-10C74,-10FC2
6B17,6E1A,6CA7
-10DBC,-10CA1,-10CC1
6E2F,6F13,6CA2
-10D52,-10E2E,-10EAC
6D5D,6D08,6BE9
-10DC6,-10C22,-10E12
6BDA,6C8C,6C7A
-10BDD,-10EBE,-10DEE
6C08,6E03,6BCB
-10B6A,-10D60,-10CCE
6E8F,6A40,6C23
-10D56,-10CA1,-10D74
6C22,6D5D,6DCD
-10AE2,-10C9D,-10DA5
6F00,6F0E,6EF3
-10D15,-10D0B,-10F09
6C70,6CA8,6E1F
-10CBE,-10CE2,-10AD8
6DEF,701E,6FAF
-10B2C,-10D19,-10CC8
6C08,6D87,6D1F
-10C5C,-10D3F,-10CBD
6DE6,6DE2,6CDB
-10ABA,-10D45,-10CFD
6D1A,6BAF,6AA9
-10D1C,-10C0D,-10D7E
6CEA,6EA9,6E79
-10CA2,-10CC6,-10C36
6C2E,6CCF,6CBF
-10C38,-10A3B,-10B31
6CAE,6BA0,6CDE
-10F95,-10D9E,-10D4D
6A3E,6C90,6BF8
-10EE8,-10E97,-10F06
6B61,6AC6,6B92
-10C20,-10EB5,-10C4F
6B0F,6B0D,6CEE
-10D99,-10E04,-10EAF
6BCF,6BF9,6C28
-10DE9,-10ED2,-10E18
6C31,6D34,6B52
-10F21,-10EFE,-10DEB
6B89,6CFD,6B8F
-10D66,-10E2D,-10DC6
6DE9,6CBB,6B6A
-10DBD,-10DC5,-10CE0
6C5F,6D0F,6DEB
-10C86,-10E3A,-10DB6
6BBE,6BB2,6B70
-10E3C,-10E83,-10FEB
6D62,6C80,6A9D
-10DFA,-11120,-10F6D
6A70,6B0D,6B3E
-10E6D,-10F5D,-10E6A
6BC1,6B35,6B69
-11046,-10EDC,-10F49
6BAD,6AC8,6BCF
-10D9A,-10F0F,-10F07
6BF7,6BC3,6D1D
-10E1D,-10E21,-10D6D
6C41,6B3D,69E4
-10D17,-10E75,-10DC5
6E7C,6FF7,6F3B
-10C32,-10B91,-10AD8
6CD0,6E78,6F23
-10CF8,-10ADF,-10B33
6E2B,6E46,6FA3
-10BFF,-10AB1,-10B51
6F17,6FCF,6D3E
-10AAB,-10B36,-10C3E
6F26,6EDB,6FA1
-109F4,-10AA6,-10BCD
6E1C,6F2A,6EB6
-10B1C,-10B10,-10BB6
6C90,7064,6FE3
-10B6E,-108C6,-109A0
6D27,6F3A,6E62
-1088C,-10947,-109D5
6FC3,70B3,7171
-10ADE,-10C20,-10935
6EC0,6E81,6C30
-10B63,-10B50,-10B76
706F,703F,6ECE
-10A45,-10AAB,-109BC
6F36,6FB9,6FD9
-10804,-10956,-10A0A
71F4,715E,7030
-108B5,-10952,-1096C
6FC0,7082,6E95
-10AB3,-109B5,-10914
7221,7304,70C0
-10891,-1083A,-10952
73B1,70D6,721B
-1089A,-107BA,-10A93
6EFA,6EAF,6CEE
-10BDD,-10C4C,-10B63
6DE7,6DB5,7002
-10D31,-10B80,-10AF8
6E55,6E90,704E
-10AEA,-10B08,-10A8E
6F5B,70A7,6F97
-10C2F,-109A4,-10900
70DA,6FD3,6FDC
-10B98,-1095D,-10961
6FA9,7162,70C0
-10AA9,-1096D,-10BAD
6EDE,6F40,7140
-10A01,-10A19,-108FE
6FDE,7158,7357
-1086C,-10928,-108DA
7261,72DA,7281
-1095D,-10B67,-10AAE
7293,70BD,724B
-1080D,-10852,-10824
70A4,7165,705B
-1089F,-10ABC,-10814
6E21,70BC,7093
-10A2E,-10978,-10864
6EA6,7110,7179
-109A8,-10A0B,-1095F
71C2,706D,728F
-107FB,-10876,-10992
7171,6F3E,6F48
-10987,-10A67,-10976
6F84,7058,70C8
-1099C,-109DB,-107D0
6735,665B,6694
-10611,-107D3,-1074C
72FE,730B,727A
-10718,-107C8,-10809
7558,712F,742E
-105FA,-108B3,-1069C
7320,7492,74B7
-10659,-107CF,-106DE
7459,734E,7199
-10818,-107FB,-10730
71FA,7309,7368
-10870,-10828,-109EE
7341,7463,739B
-1066D,-1081D,-10825
72E6,74CA,7455
-10675,-105F5,-10731
76DA,754A,745F
-107DF,-1075F,-10745
7562,7552,747C
-104AD,-10644,-104BD
742B,7669,7550
-10474,-1050F,-1065E
73B5,7522,7480
-1051B,-10402,-10598
743D,7576,740B
-10541,-105C8,-1059D
755D,7579,745C
-103CA,-10470,-10536
7578,76D1,744D
