{'CALIB_RAW_DAC_START_I': 327680, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 8, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-16DFE,-16CDF,-16D71
D5F,E2C,E51
-16C37,-16D49,-16D9A
E98,E15,EDD
-16C5D,-16D5C,-16956
B12,E9A,DEF
-16E5A,-16C37,-16D0E
E54,E27,EEF
-16B88,-16C71,-16D55
CE3,DBA,DB6
-16CD5,-16AAB,-16CB8
F57,1041,F6E
-16A36,-16C10,-16C58
EDE,D14,EE8
-16BCB,-16E11,-16C03
10BB,FB7,E46
-16B76,-16BF1,-16A52
FB6,D67,F22
-16DA4,-16AB3,-16C4E
E41,DC4,EAD
-16F36,-16A47,-16C23
F02,DA6,DC3
-16C22,-16D61,-16B3A
EF6,DB4,E47
-16C68,-16D70,-17006
EFB,D7F,D29
-16B43,-16AC1,-16CC3
FB3,E96,EDB
-16B8B,-16B69,-16B71
FD7,F4B,E3D
-16AEF,-169B7,-16A8C
E73,E70,DF5
-16B31,-16AE1,-16C2C
CFA,DD7,DD3
-16CCD,-16C28,-16DBE
DBE,D6B,C62
-16CD0,-16CAB,-16C18
DA3,CE5,E21
-16A80,-16AA7,-16D37
CFE,E71,1064
-16AD0,-16CEA,-16B52
E8C,E92,CB5
-16C4F,-16ADB,-16C95
E66,D1E,DEE
-16D65,-16AF9,-16BDA
CD6,C8F,DC0
-16BAD,-16C42,-16C5C
F89,FCF,1049
-16C89,-16C50,-16D4D
CFE,F15,CF7
-16CBD,-16D1C,-16BBA
1051,FFA,EE6
-16A83,-16CD9,-16C23
D7B,F56,E11
-16B89,-16A46,-16CD3
E32,D8A,F5F
-16A78,-16BCA,-16B64
F04,1075,E20
-16A9F,-16B5B,-16B27
E7A,10B1,11CB
-16B9E,-16BF6,-1693E
116E,1074,1090
-16B9F,-16AAA,-16954
10BB,1272,1202
-169D3,-1689A,-16A8B
10A5,10D8,10E6
-16874,-16A89,-16730
11F6,1211,11C4
-1682E,-1697B,-16B41
FCF,109F,1223
-1687D,-168E1,-1691A
1103,1206,10CA
-16816,-16917,-16ADB
F2E,10FD,F66
