{'CALIB_RAW_DAC_START_I': 393216, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 8, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-25A75,-25C0E,-25BFC
-E2DE,-E29C,-E176
-25BA4,-2598D,-2599D
-DF93,-DF05,-DEE2
-2587D,-25AA3,-259EA
-DEBC,-E0EA,-DFAA
-25960,-25AB3,-259FB
-E132,-E0C0,-E091
-25C78,-2591A,-259C2
-E2A1,-DF38,-E025
-259AD,-25A43,-25B4E
-DDB4,-DEC8,-DFED
-25AAA,-25A93,-2582C
-E078,-DE21,-DFB7
-25B03,-259BF,-2582B
-DE24,-DC32,-DD2D
-2585F,-25ACA,-25A1B
-DFAD,-DE7F,-E0AF
-2582C,-25858,-259CF
-DD35,-DEB3,-DF51
-25A74,-25AB8,-25A3B
-DEC1,-DFE6,-DFDF
-259C5,-257B4,-259E4
-DF03,-E153,-DD66
-25ADE,-25B29,-25AE3
-DF94,-E10E,-DF20
-256DA,-25820,-25830
-DDF4,-E036,-DF26
-258EB,-258E4,-258BA
-E01A,-DF33,-DD60
-259D3,-25909,-25A6E
-DEF5,-DFDD,-E0A7
-259C7,-25BCB,-2594F
-E019,-E0AD,-DFD9
-25A7E,-25A1E,-25ACD
-E050,-DFC6,-E0D3
-25B1B,-25BD0,-25AE4
-DF09,-E012,-DFF5
-25A18,-259B6,-25B41
-E0DC,-E0B3,-DF1A
-25950,-259E0,-257B8
-E0C7,-DF54,-DF21
-25A52,-25BB8,-25B57
-E20D,-E1F3,-E1B5
-25B05,-25A26,-25A51
-E00A,-E00E,-DE36
-25AA4,-25898,-25A2B
-DDE9,-DDF9,-DF2D
-25922,-259F8,-25A42
-DEF5,-E0BD,-E0A6
-25876,-25BDE,-25A18
-DD95,-E105,-DED5
-25873,-25AAB,-25A84
-DFF0,-DFEE,-E0D4
-25795,-259FA,-2583A
-DC2A,-DECA,-DE89
-257F2,-25866,-25918
-E091,-DF57,-DF60
-25808,-2596C,-259CD
-DE34,-DE33,-DE12
-259C9,-25A83,-25ACE
-DDE8,-DD7D,-DD8C
-258C5,-259B5,-259AE
-DDA4,-DB5D,-DC73
-25867,-2588A,-2579A
-DD10,-DCBE,-DC16
-256BF,-2555B,-2573B
-DA96,-DAD6,-DAD8
-25691,-255F2,-25664
-DD96,-DB54,-DB7F
-25537,-256E7,-254D6
-DBAD,-DAED,-DD14
-2571A,-255A2,-2553D
-DCCC,-DCF1,-DB1D
-25657,-256C8,-25893
-DBBD,-DB6F,-DC5F
-25568,-2559C,-25618
-DBD3,-DB59,-DCE0
-255A2,-255B3,-25879
-D9ED,-DAF4,-DC8B
-2554F,-2588F,-257EA
-DD9F,-DB1D,-DC4B
-257EE,-2585B,-2565C
-DACC,-DAFC,-DCC1
-257B1,-258CD,-25707
-DE05,-DBB6,-DC72
-255ED,-25752,-2580C
-DC48,-DDF0,-DB9F
-2549C,-25606,-256DF
-DC0B,-DB49,-DB01
-25433,-25529,-255C2
-DAC1,-DB24,-DC49
-255EB,-25565,-25599
-DBF6,-DAC6,-DB68
-25538,-254D2,-25548
-DCDB,-DD51,-DBD0
-25777,-257AC,-25790
-DB5D,-DCA1,-DCDA
-2585E,-257AD,-25601
-DBCC,-DE30,-DE2B
-25779,-255D2,-25936
-DB6D,-DD0B,-DC22
-2562C,-2567C,-254DB
-DABF,-DCCC,-DC26
-2574C,-25850,-2571E
-DCEF,-DD79,-DCD3
-256E9,-257F2,-2598F
-DC02,-DC57,-DD3C
-25694,-25876,-2587F
-DC07,-DDF3,-DEE3
-25623,-257E0,-25722
-DAA6,-DC52,-DA07
-255B1,-2567E,-25721
-DDCD,-DE3D,-DC9A
-25621,-2560A,-255DC
-DD69,-DBF5,-DDCF
-2558E,-2559C,-2578E
-DD48,-DA7E,-DDAE
-2576A,-2568C,-257A5
-DAAD,-DA72,-DB96
-2583D,-256DC,-255ED
-DAF0,-DB5D,-DCA1
-2564B,-25563,-25608
-DB77,-DAB6,-D9F9
-2551A,-254F8,-25516
-DA8C,-D9AE,-DA24
-252F9,-2547B,-2544B
-E63C,-E4A0,-E4B0
-25154,-25276,-252C9
-D9E4,-D6CB,-D711
-25267,-250AF,-25249
-D74A,-D5FA,-D8D8
-25362,-252CB,-25008
-D623,-D88F,-D729
-25181,-250A9,-25115
-D67A,-D880,-D59D
-24FB0,-25014,-251A2
-D74E,-D649,-D7FD
-25197,-251B0,-24F5E
-D7FD,-D7F4,-D667
-2516F,-25133,-250FF
-D82A,-D562,-D5C6
-24F75,-2516C,-25201
-D6E2,-D5F4,-D5F7
-251BA,-24F00,-25106
-D766,-D4FB,-D4DF
-25162,-25056,-250D3
-D7CA,-D6A7,-D5DE
-24E25,-2524D,-25031
-D4E3,-D3C7,-D6DE
-250F4,-24EA3,-2510A
-D48A,-D449,-D331
-24DBF,-250C7,-2504B
-D571,-D619,-D5D3
-24FEC,-24E78,-2515F
-D6B6,-D5EF,-D5FA
-24FE4,-25052,-24E0C
-D5DB,-D3F2,-D678
-2516E,-25039,-24D8B
-D5C9,-D551,-D651
-250DD,-2516A,-24EB5
-D710,-D79A,-D7D5
-2510A,-24F21,-25118
-D828,-D7A4,-D692
-2504F,-251F1,-25126
-D650,-D5B3,-D653
-25032,-2510F,-2520E
-D83F,-D814,-D61B
-251C0,-25121,-2531B
-D866,-D77A,-D7F4
-24F2E,-2512B,-25084
-D554,-D68D,-D68F
-25246,-25310,-252F5
-D84F,-D5A7,-D73D
-2510C,-24FDC,-25148
-D708,-D730,-D53F
-2531B,-2509A,-25264
-D961,-D8A8,-D84D
-250FE,-25196,-25251
-D716,-D65F,-D7C8
-2507D,-2529E,-251F3
-D664,-D78C,-D7A5
-25316,-250E4,-25190
-D730,-D6CD,-D7EE
-250FC,-25152,-25183
-D71F,-D629,-D57D
-24F90,-250AF,-2519A
-D6DB,-D780,-D5C1
-24FD9,-24F72,-2504A
-D5BB,-D589,-D419
-25224,-24F16,-2516E
-D344,-D523,-D2C6
-24EF9,-24CB7,-24FEE
-D462,-D3C0,-D54F
