{'CALIB_RAW_DAC_START_I': 425984, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 8, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-2BB20,-2BC53,-2B999
-140F9,-14165,-13FED
-2BA86,-2BCCC,-2BBBE
-14096,-140F5,-141C6
-2B8C9,-2BBFF,-2BB53
-14039,-14272,-14161
-2BB26,-2BD1D,-2BCB3
-140EB,-1429E,-14201
-2BA79,-2BB21,-2BADE
-141B6,-141D9,-14097
-2BAC1,-2BA0E,-2BB70
-14038,-141B4,-141BA
-2BA0B,-2BB40,-2BB0C
-14106,-141F8,-141E1
-2BB94,-2BAC5,-2BB23
-14064,-1403B,-141E3
-2BB36,-2BC06,-2B98E
-14163,-14079,-141A7
-2BA16,-2BBEF,-2BBC7
-140E0,-13F9C,-1415A
-2BB56,-2BBC1,-2B835
-13F45,-13F69,-13F22
-2BA1C,-2BB9E,-2BC0E
-1403E,-13EDC,-13F0D
-2B95E,-2B989,-2B9B3
-13ED7,-13F32,-13FA9
-2B8D7,-2BAE7,-2BC79
-13F81,-13E6F,-13DF2
-2B86D,-2B87F,-2B9BA
-14127,-13DBD,-13EC2
-2B9E6,-2B9D3,-2BA05
-13FD0,-13EA0,-13F44
-2BC1C,-2BB95,-2BC65
-142B9,-14017,-14141
-2BAC1,-2B96E,-2BB18
-141BF,-143A7,-14012
-2BAC8,-2BC80,-2BB57
-141A6,-142D2,-1406F
-2BCDD,-2BA3E,-2BAA1
-13F69,-13F87,-140EE
-2BA23,-2BB6B,-2BCEF
-13F67,-1424F,-13FD0
-2BA32,-2BC11,-2B9F3
-13FDC,-1407A,-13EDD
-2BDC0,-2BB92,-2B9B4
-140D3,-14018,-140CF
-2B9F4,-2BA3F,-2B93E
-1414D,-13F3E,-13DCB
-2BB05,-2BABA,-2BB06
-13F5E,-1404E,-141F7
-2BAFB,-2BB9F,-2BB7A
-141F6,-1403C,-14216
-2BC18,-2B9F3,-2BCB8
-140D6,-13FFC,-14004
-2BB81,-2B9B0,-2B8FD
-13E68,-14130,-13F85
-2BADA,-2BCF7,-2B9FC
-13FDD,-14123,-1403B
-2B9C8,-2B95D,-2B785
-13F2D,-13EFB,-13E88
-2B88A,-2B957,-2B8B9
-13FE2,-13EAC,-13FC7
-2B7EA,-2B943,-2B800
-13DC4,-13C08,-13C98
-2B704,-2B76F,-2B92A
-13E7E,-13E9E,-13D99
-2B8B2,-2B632,-2B7FC
-13E06,-13D7E,-13C04
-2B6D2,-2B74D,-2B65B
-13D8F,-13E57,-13E01
-2B7DA,-2B616,-2B6CB
-13C86,-13B92,-13D2A
-2B6AA,-2B59B,-2B6C0
-13A93,-13C34,-13D69
-2B84A,-2B789,-2B857
-13CF8,-13EFB,-13C4D
-2B80B,-2B981,-2B7D5
-13D9F,-13DDB,-13D7F
-2B6C1,-2B640,-2B924
-13D54,-13D02,-13BC1
-2B9A9,-2B7C5,-2B799
-13E1B,-13EAF,-13E21
-2B96D,-2B8A2,-2B91B
-13E76,-13CC8,-13A74
-2B5B3,-2B6D6,-2B7BF
-13BCB,-13CE5,-13BFE
-2B640,-2B5D8,-2B4F0
-13A9D,-13B67,-13C17
-2B5FF,-2B6A1,-2B6D3
-13C98,-13B19,-13BB0
-2B4DB,-2B6DB,-2B56A
-13B32,-13AEA,-13B6F
-2B551,-2B4F5,-2B6C3
-13DEC,-13AD8,-13BE5
-2B583,-2B60E,-2B719
