{'CALIB_RAW_DAC_START_I': 458752, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 8, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-33175,-3315D,-3314D
-1B66E,-1B616,-1B57F
-3307E,-33159,-32FF7
-1B5ED,-1B6A9,-1B6DC
-332BB,-331D6,-32FEE
-1B726,-1B66A,-1B499
-3302A,-3303C,-3311B
-1B5A2,-1B608,-1B3F0
-32F8F,-33098,-32FB9
-1B650,-1B457,-1B395
-32F41,-32D97,-32D0F
-1B4F7,-1B419,-1B3FD
-32F36,-33059,-32E71
-1B4C9,-1B35A,-1B4D3
-32EFE,-32EDC,-33072
-1B386,-1B5CD,-1B2DD
-32FE3,-32F53,-330BB
-1B57D,-1B3D2,-1B54E
-32F42,-32FBB,-32FB6
-1B5E9,-1B50F,-1B456
-32FE3,-33065,-32E52
-1B429,-1B57A,-1B551
-32FC4,-32EDD,-32E42
-1B482,-1B4AA,-1B3C9
-330AB,-33058,-32D6D
-1B45B,-1B752,-1B39F
-32EBC,-32C9C,-32EB3
-1B3EB,-1B2F9,-1B2EC
-32EA4,-32F54,-32EA0
-1B485,-1B4E0,-1B54E
-32D87,-32E75,-32F2D
-1B7D0,-1B5C8,-1B6D6
-33132,-3314A,-33252
-1B7AB,-1B7DE,-1B7CC
-331D7,-33292,-332EB
-1B779,-1B75D,-1B81B
-33077,-33098,-330ED
-1B566,-1B6AB,-1B4C0
-330CC,-330ED,-330F8
-1B535,-1B6B3,-1B5FF
-330BA,-330EC,-32FC0
-1B6D0,-1B63B,-1B425
-331CD,-32F54,-32E0C
-1B365,-1B443,-1B530
-32EFC,-33125,-331B7
-1B673,-1B88B,-1B52E
-33019,-33258,-3309E
-1B6A5,-1B4F3,-1B4B2
-32FE8,-33001,-330C2
-1B615,-1B71F,-1B5BB
-32EC9,-32F60,-32F90
-1B4AC,-1B495,-1B5BC
-32DBB,-32EF9,-32EF2
-1B532,-1B50E,-1B4DF
-330C7,-32E9E,-33101
-1B475,-1B505,-1B624
-32E97,-32E3C,-32F17
-1B5EA,-1B41B,-1B37C
-32DED,-32E04,-330C0
-1B4F9,-1B2EE,-1B44D
-32D3C,-32F83,-32EA2
-1B4E0,-1B36A,-1B346
-32E27,-32DB1,-32E3F
-1B1F2,-1B134,-1B1AE
-32B18,-32D73,-32B3E
-1B3BF,-1B3AD,-1B408
-32D3E,-32C50,-32CD1
-1B4A0,-1B0E4,-1B20D
-32C80,-328E9,-32B29
-1B20C,-1B20D,-1B270
-32C3B,-32D6E,-32D78
-1B1D8,-1B187,-1B0A3
-32AC7,-32DB0,-32C0B
-1B4BE,-1B3D1,-1B2F0
-32CE4,-32CEA,-32CAF
-1B13B,-1B1C3,-1B367
-32DAB,-32B39,-32DAF
-1B0D0,-1B1FC,-1B187
-32B6E,-32CE3,-32B5E
