{'CALIB_RAW_DAC_START_I': 491520, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 8, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-3A784,-3A720,-3A71E
-22E08,-22C42,-22BC6
-3A42F,-3A726,-3A6E4
-22C3C,-22CD8,-22B4D
-3A4D2,-3A682,-3A769
-22BB9,-22AE8,-22C2D
-3A680,-3A642,-3A708
-22C08,-22BBD,-22B7B
-3A562,-3A7F8,-3A61B
-22D5D,-22B32,-22CF8
-3A755,-3A7CA,-3A68B
-22A8E,-22B2A,-22A5F
-3A4F2,-3A667,-3A562
-22C6A,-22A78,-22B94
-3A5E9,-3A723,-3A5A9
-22AC8,-22A42,-228BD
-3A64D,-3A58A,-3A6EE
-22BF8,-22CD6,-22C14
-3A778,-3A8C3,-3A770
-22D32,-22A37,-22ADF
-3A73F,-3A760,-3A64B
-22C0E,-22D52,-22BC3
-3A572,-3A40C,-3A700
-22A77,-22B54,-22B3A
-3A577,-3A46A,-3A333
-22B47,-22D46,-22B46
-3A57D,-3A64C,-3A7C7
-22BCE,-22C21,-229B9
-3A3F8,-3A5A5,-3A5D0
-22C22,-22BE3,-22BF3
-3A6D6,-3A8B3,-3A7D7
-22F37,-22BB4,-22D02
-3A5FE,-3A750,-3A588
-22DA0,-22C31,-22D6D
-3A73E,-3A693,-3A955
-22A20,-22DB5,-22C6D
-3A63D,-3A768,-3A61F
-22D11,-22DFC,-22C60
-3A749,-3A7A1,-3A810
-22C92,-22CF0,-22B26
-3A585,-3A75E,-3A475
-22B98,-22D0C,-22B6A
-3A5B4,-3A5AD,-3A556
-22C52,-22AEE,-22CA4
-3A5F6,-3A4E0,-3A6A1
-22B5B,-22CE2,-22B00
-3A5AD,-3A4DE,-3A6D4
-22B63,-22C6F,-22B28
-3A800,-3A78A,-3A5FE
-22C61,-22AED,-229A5
-3A5EE,-3A8A6,-3A629
-22D0D,-22CF0,-22DA6
-3A516,-3A67A,-3A871
-22CCE,-22B81,-22CDC
-3A79D,-3A6FA,-3A71C
-22A8F,-22AA7,-22A32
-3A391,-3A5F3,-3A592
-22CB4,-22DBF,-22B71
-3A480,-3A534,-3A5D8
-22DC3,-22C0A,-22A58
-3A6D2,-3A83D,-3A79A
-22CC1,-22B35,-22AD7
-3A68E,-3A687,-3A6B4
-22CB2,-22D1F,-22CA5
-3A43A,-3A462,-3A7C6
-22AB8,-22ADF,-22AD8
-3A3F4,-3A4BB,-3A53E
-2291C,-22A46,-228B0
-3A3A7,-3A3FB,-3A40E
-2282F,-22A2F,-228CD
-3A202,-3A4F6,-3A3CB
-2294A,-2287A,-229FD
-3A572,-3A35D,-3A36C
-2297B,-22A28,-22878
-3A3A6,-3A2B5,-3A2F0
-22B07,-22857,-2286C
-3A49C,-3A3B6,-3A593
-22A91,-227FE,-2277A
-3A472,-3A44E,-3A2EA
-22A20,-2280F,-22726
-3A3B5,-3A449,-3A373
-22869,-22A46,-22A78
-3A3B9,-3A39B,-3A4A3
-22734,-229E8,-22714
-3A354,-3A27A,-3A12D
-22868,-228B4,-2287A
-3A234,-3A1A7,-3A2E7
-226F3,-22766,-227E8
-3A2D1,-3A194,-3A47F
-22755,-22A27,-22982
-3A1B7,-3A154,-3A2B7
-22847,-227B8,-22652
-3A23C,-3A38F,-3A2E0
-2295A,-2281D,-22805
-3A28D,-3A126,-3A3AD
-22AC9,-22AD4,-22C19
-3A5B4,-3A710,-3A66E
-22C95,-22C06,-229D7
-3A6A5,-3A6DE,-3A607
-22D4A,-22955,-22B04
-3A4E1,-3A42C,-3A4E0
-22A69,-22A0F,-22B14
-3A602,-3A4D4,-3A4E5
-228C2,-228AB,-229C3
-3A485,-3A362,-3A2C5
-229ED,-2283D,-22962
-3A259,-3A4E1,-3A48D
-2287B,-229BD,-22777
