{'CALIB_RAW_DAC_START_I': 557056, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 8, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-47006,-46F92,-46F8F
-2F630,-2F5F2,-2F611
-46E2B,-47178,-46E79
-2F44B,-2F2EC,-2F4B6
-46EAF,-46D9B,-46D7B
-2F44F,-2F476,-2F53D
-46F0D,-46DE4,-46F2B
-2F4D7,-2F1D2,-2F4D8
-46DCA,-46D43,-46DBB
-2F318,-2F460,-2F37D
-46C54,-46CD2,-46C17
-2F0BB,-2F0BE,-2F008
-46CA1,-46DA8,-46EE8
-2F306,-2F56A,-2F428
-46ECC,-46C1B,-46FA8
-2F2CF,-2F2AF,-2F0E4
-46EEB,-46FDE,-46E15
-2F2F4,-2F336,-2F38D
-46EEC,-46F87,-46F4B
-2F53C,-2F58D,-2F4F0
-46EAA,-46F6F,-46ED7
-2F384,-2F3B5,-2F48B
-46ED1,-46F7F,-4707F
-2F3AC,-2F693,-2F59F
-46ED3,-46EFD,-46E65
-2F5F4,-2F35A,-2F538
-46EBF,-46E67,-47012
-2F13A,-2F317,-2F32F
-46D1A,-46D11,-46EE9
-2F360,-2F3D1,-2EFE1
-46C84,-46C40,-46EEE
-2F3C0,-2F32B,-2F45D
-46E18,-46E50,-4707F
-2F49A,-2F56D,-2F3D9
-46E64,-46EB2,-46F5E
-2F5AF,-2F235,-2F48A
-46E0D,-46EDC,-46DC5
-2F3B9,-2F457,-2F568
-46EA4,-46E9F,-46DBB
-2F362,-2F46A,-2F2AD
-46FE0,-46E44,-46F03
-2F4F5,-2F3A0,-2F4D1
-46E7F,-46F0E,-46D12
-2F4C9,-2F58A,-2F31F
-46D39,-46CAC,-47075
-2F495,-2F4EE,-2F37D
-46E11,-46E76,-46E2E
-2F3AE,-2F55E,-2F489
-46E30,-46E72,-47069
-2F5C3,-2F537,-2F3D4
-46D22,-46CFF,-46C87
-2F307,-2F376,-2F55F
-470A2,-46F01,-46E68
-2F517,-2F3B2,-2F485
-46DFF,-46F05,-46F78
-2F57F,-2F380,-2F406
-46F11,-46D73,-46DCC
-2F2D3,-2F645,-2F585
-46FD1,-46D6D,-46FDD
-2F480,-2F3E9,-2F424
-46DC4,-46D9A,-46E2D
-2F2BC,-2F2F7,-2F2D7
-46D4A,-46D52,-46FB0
-2F2D8,-2F0D2,-2F1CE
-46DD9,-46DE6,-46C9E
-2F347,-2F347,-2F0F7
-46DB8,-46B81,-46EB2
-2F384,-2F197,-2F0D5
-46C53,-46D1E,-46D66
-2F34D,-2F35B,-2F36C
-46D44,-46D24,-46D37
-2F2E0,-2F384,-2F2F4
-46B85,-46BF3,-46E5C
-2F1F4,-2F171,-2F141
-46B95,-46C0B,-46B95
-2F302,-2F083,-2F123
-46B73,-46CF2,-46CB8
-2F110,-2F157,-2F2F8
-46C11,-46C60,-46BB0
-2EDDA,-2F247,-2F1D0
-46BD2,-46BC5,-46CF9
-2F28D,-2F231,-2F2B5
-46BB0,-46D5B,-46BCE
-2F2EA,-2F0D9,-2F1E5
-46BA6,-46C3F,-46C04
-2F3F4,-2F44B,-2F295
-46C70,-46CA8,-46DB9
-2F313,-2F1DF,-2F203
-46DD6,-46C8B,-46BBB
-2F222,-2F295,-2F329
-46BBA,-46E2D,-46C23
-2F280,-2F22B,-2F218
-46CF6,-46D10,-46A9B
-2F052,-2F182,-2F03E
-46A51,-46AFB,-46A7A
-2F480,-2F313,-2F1C7
-46C6E,-46D1E,-46BA7
-2F266,-2F134,-2F2E1
-46DA6,-46D8A,-46CA7
-2F227,-2F179,-2F246
-46BC5,-46C81,-46BE2
-2F421,-2F327,-2F1E3
-46C65,-46E12,-46C77
-2EFC3,-2F078,-2F175
-46B34,-46D58,-46D97
-2F2A7,-2F131,-2F177
-46BDA,-46B30,-46B7B
-2F151,-2F14D,-2F1C8
-46CB3,-46C55,-46BFA
-2F24B,-2F17A,-2F257
-46C37,-46BEF,-46B7D
-2EFF1,-2EFF7,-2F0D3
-46ACB,-46C42,-46BB0
-2EFC0,-2F03A,-2F264
-46A6F,-46B8C,-46BF8
-2F090,-2F07F,-2F12E
-46B75,-46A87,-46B28
-2EF97,-2F059,-2F205
-46C68,-46A7D,-46D53
-2F0E5,-2F09E,-2F093
-46B4B,-46B76,-46B21
-2F0A5,-2F241,-2F0A2
-469B1,-46B7E,-46919
-2EFD1,-2EFAE,-2F060
-46AA8,-46ADF,-46D5F
-2F1CA,-2EF35,-2EE75
-468B6,-469FF,-46B0C
-2F905,-2FA6B,-2FA20
-466F5,-467C3,-46708
-2EDF7,-2EC41,-2ED71
-468AA,-46809,-46867
-2ECF4,-2ED3C,-2EEBE
-4686B,-46720,-467D8
-2ECBE,-2ED18,-2EE34
-467C8,-46728,-4684C
-2ED6E,-2EEF2,-2EE2F
-468F8,-46838,-4677E
-2EF3C,-2ED9D,-2ECCF
-46730,-46762,-46774
-2EB5E,-2EBC2,-2EB67
-4671F,-46711,-466D7
-2EC43,-2EEA6,-2ECD4
-466C7,-46898,-4676C
-2ECB5,-2EDB7,-2EC86
-467F9,-46904,-467C9
-2EC24,-2EE84,-2EEB6
-467B8,-466D8,-4688C
-2EDB8,-2EC88,-2EC79
-467C0,-467D1,-4684B
-2EF29,-2EE01,-2EC45
-466E6,-4687C,-467AB
-2ECD1,-2EA47,-2EC1B
-4666C,-467A8,-465D8
-2EE97,-2ED5B,-2ECFA
-4684F,-46726,-469A4
-2EDCF,-2ED6F,-2ED6E
-466B8,-466B6,-4673D
-2EDAC,-2EC72,-2EC2A
-4672E,-46893,-467FE
-2EFDA,-2EF8F,-2EF1F
-46904,-46A37,-46955
-2EF8F,-2ED5A,-2EFC1
-468C4,-46ADE,-46A9E
