{'CALIB_RAW_DAC_START_I': 589824, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 8, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-4D5B6,-4D6D2,-4D611
-35ABB,-359DE,-35B77
-4D5B3,-4D4D9,-4D5C8
-35899,-359D8,-35B1D
-4D3ED,-4D4C6,-4D45B
-35A3C,-3593C,-35B6A
-4D543,-4D401,-4D43D
-35A78,-359C7,-35C19
-4D44B,-4D5B3,-4D4E5
-359F4,-358A0,-358CD
-4D24B,-4D59E,-4D581
-35991,-35A20,-35930
-4D457,-4D377,-4D479
-35872,-35926,-358F4
-4D602,-4D3E3,-4D588
-35A46,-35800,-35948
-4D4AB,-4D622,-4D5EE
-35C16,-35968,-35AA7
-4D5EA,-4D5D9,-4D342
-35A69,-35A3B,-3599C
-4D4ED,-4D6A5,-4D5F5
-359B5,-35B72,-35C01
-4D5B7,-4D517,-4D50E
-35A30,-35982,-35CD7
-4D615,-4D4AC,-4D3B0
-35A70,-35927,-35792
-4D248,-4D17F,-4D2E6
-357A0,-3592A,-35997
-4D4A7,-4D296,-4D446
-358B3,-359D6,-359D7
-4D368,-4D51E,-4D527
-35A75,-35C5D,-35C5E
-4D43D,-4D5EA,-4D5C3
-35A9D,-35BDA,-35ACC
-4D503,-4D52E,-4D721
-35C23,-35BA1,-35C13
-4D6A9,-4D55F,-4D741
-35B79,-35B2D,-35B71
-4D718,-4D531,-4D470
-35992,-359F5,-35A39
-4D668,-4D52D,-4D5B3
-35CF8,-35AC8,-35B8C
-4D760,-4D55D,-4D6C2
-35A62,-35A45,-35AA2
-4D5AE,-4D65D,-4D501
-35B6D,-35B39,-35BD1
-4D570,-4D757,-4D42D
-35A30,-35865,-35A8D
-4D52D,-4D2AD,-4D4BD
-35C6B,-35AF3,-35C4C
-4D42A,-4D422,-4D605
-35B75,-3594A,-35A15
-4D4DB,-4D3AB,-4D66B
-359E1,-35A93,-35C08
-4D68F,-4D53F,-4D44C
-35B1C,-359A0,-359F0
-4D40C,-4D344,-4D416
-35AE2,-35B72,-35AD6
-4D583,-4D4C7,-4D356
-35981,-35B4E,-35AFB
-4D565,-4D5E3,-4D59A
-35AEC,-35901,-35CA6
-4D55B,-4D4EE,-4D2F5
-357AD,-356E5,-3567A
-4D11B,-4D152,-4D2A0
-358AE,-35918,-35A2F
-4D4C0,-4D356,-4D2D8
-3585B,-35A77,-358CE
-4D1DD,-4D479,-4D488
-358F9,-356FD,-35863
-4D1C0,-4D552,-4D2A3
-35A58,-35957,-357B7
-4D18F,-4D1DC,-4D1A7
-357FB,-35693,-35819
-4CF88,-4D0DD,-4D23A
-3561C,-35757,-3576A
-4D100,-4D120,-4D221
-357ED,-35717,-3571F
-4D2FC,-4D0CE,-4D1CD
-35526,-3567C,-3567F
-4D1D2,-4D309,-4D2F8
-35687,-3592A,-35677
-4D006,-4D230,-4D17B
-35648,-35731,-35651
-4D0D3,-4D22A,-4D261
-35754,-356A4,-356C7
-4D04D,-4D159,-4CFF5
-3555E,-356A3,-3577F
-4D45A,-4D06A,-4D183
-3575F,-3568D,-357E7
-4D060,-4D185,-4D0C6
-35647,-3565E,-35627
-4D0AD,-4CEBF,-4CFF8
-3545A,-356BE,-357CD
-4D1A1,-4D139,-4D281
-35854,-3583C,-35764
-4D33D,-4D40C,-4D388
-358AC,-359C5,-3584C
-4D25C,-4D3FB,-4D393
-3573E,-35699,-355E9
-4D324,-4D4E5,-4D0C2
-356F5,-35897,-35727
-4D08F,-4D0ED,-4D1B3
-35754,-35772,-356F0
-4D16D,-4D31E,-4D06A
-356B8,-3569C,-357D2
-4D200,-4D308,-4D212
-357D2,-35663,-355F4
-4D10C,-4D083,-4D2EA
-3578F,-356E0,-35859
-4D1C9,-4D2ED,-4D386
-356FB,-354D4,-35564
-4D107,-4D2D4,-4D3A0
-35680,-354B3,-3585A
-4D234,-4D479,-4D21F
-35939,-35690,-359E7
-4D3A4,-4D1EA,-4D363
-3573F,-3578C,-3592A
-4D21D,-4D157,-4D21A
-357B4,-35620,-35624
-4D133,-4D306,-4D1B8
-35652,-35428,-35629
-4CF6F,-4D17F,-4D100
-355D3,-35745,-355D1
-4CEC9,-4D151,-4D0FC
-356DB,-3564E,-357EE
-4D2A1,-4D151,-4D33E
-36225,-3618B,-360DC
-4CDCB,-4CE4E,-4CE2E
-350E4,-351D8,-35229
-4CF14,-4CE8F,-4CE80
-3536D,-3528D,-3546E
-4CCE5,-4CEB4,-4CEE5
-3523F,-35306,-352D3
-4CC6B,-4CC23,-4CCAD
-3512D,-351F3,-35486
-4CC31,-4CBCF,-4CEF3
-351DF,-3529A,-3520B
-4CDA2,-4CD64,-4CBCD
-35343,-353C8,-3522D
-4CCE1,-4CDCC,-4CCDB
-35309,-35317,-34FF8
-4CD30,-4CA68,-4CAF1
-351D2,-350E7,-350C4
-4CC2C,-4CD9F,-4CCF2
-35384,-351C0,-35322
-4CD6D,-4CD66,-4CC24
-3515A,-3537E,-352D2
-4CCA8,-4CD8A,-4CC8E
-351D4,-351E3,-350FD
-4CC46,-4CA50,-4CC3C
-350A9,-34FC1,-35004
-4C955,-4C952,-4CB41
-351C7,-350F3,-34FEB
-4CB79,-4CA61,-4CA34
-34FD5,-34FB8,-3511E
-4CB22,-4CDCA,-4CA80
-35162,-350B0,-3511A
-4CA97,-4CAFB,-4CCBE
-35433,-3534F,-3528A
-4CE79,-4CCA6,-4CE3E
-35248,-35015,-35333
-4CC48,-4CC44,-4CD89
-3545C,-3544D,-352A9
-4CC68,-4CB67,-4CC81
-350F2,-35138,-352CB
-4C95C,-4CBCE,-4CCA7
-3529E,-35443,-35020
-4CD81,-4CD79,-4CB45
-35252,-35179,-352C9
-4CBA6,-4CE1C,-4CCCC
-350DB,-35283,-3515F
-4CB1F,-4CBA0,-4CAE3
-350A1,-35130,-3506B
-4CB5B,-4CA05,-4CBAF
-34F82,-34F67,-34E23
